AREACD,AREANM,Geography,Period,Unit,Indicator,Observation,Lower_confidence_interval_95,Upper_confidence_interval_95,Numerator,Total,Observation_status
n92000002,northern-ireland,nation,2022,%,employment-rate,71.9,70.9,73.0,841000,1169000,
n09000001,antrim-and-newtownabbey,local-authority-district,2022,%,employment-rate,74.8,71.1,78.5,69000,92000,
n09000002,armagh-city-banbridge-and-craigavon,local-authority-district,2022,%,employment-rate,75.2,72.1,78.4,102000,136000,
n09000003,belfast,local-authority-district,2022,%,employment-rate,65.5,62.9,68.2,144000,220000,
n09000004,causeway-coast-and-glens,local-authority-district,2022,%,employment-rate,67.6,63.0,72.1,53000,78000,
n09000005,derry-city-and-strabane,local-authority-district,2022,%,employment-rate,67.6,63.4,71.9,59000,88000,
n09000006,fermanagh-and-omagh,local-authority-district,2022,%,employment-rate,73.3,69.1,77.6,50000,68000,
n09000007,lisburn-and-castlereagh,local-authority-district,2022,%,employment-rate,75.0,71.5,78.5,74000,98000,
n09000008,mid-and-east-antrim,local-authority-district,2022,%,employment-rate,76.9,73.2,80.5,67000,87000,
n09000009,mid-ulster,local-authority-district,2022,%,employment-rate,73.8,70.1,77.5,68000,92000,
n09000010,newry-mourne-and-down,local-authority-district,2022,%,employment-rate,74.9,71.5,78.3,82000,110000,
n09000011,ards-and-north-down,local-authority-district,2022,%,employment-rate,72.8,69.3,76.3,73000,100000,
n92000002,northern-ireland,nation,2022,%,economic-inactivity-rate,26.3,25.3,27.4,308000,1169000,
n09000001,antrim-and-newtownabbey,local-authority-district,2022,%,economic-inactivity-rate,23.6,20.0,27.1,22000,92000,
n09000002,armagh-city-banbridge-and-craigavon,local-authority-district,2022,%,economic-inactivity-rate,22.6,19.6,25.7,31000,136000,
n09000003,belfast,local-authority-district,2022,%,economic-inactivity-rate,32.1,29.5,34.8,71000,220000,
n09000004,causeway-coast-and-glens,local-authority-district,2022,%,economic-inactivity-rate,30.1,25.6,34.5,24000,78000,
n09000005,derry-city-and-strabane,local-authority-district,2022,%,economic-inactivity-rate,30.6,26.4,34.8,27000,88000,
n09000006,fermanagh-and-omagh,local-authority-district,2022,%,economic-inactivity-rate,25.2,21.0,29.3,17000,68000,
n09000007,lisburn-and-castlereagh,local-authority-district,2022,%,economic-inactivity-rate,23.4,20.0,26.7,23000,98000,
n09000008,mid-and-east-antrim,local-authority-district,2022,%,economic-inactivity-rate,22.1,18.5,25.6,19000,87000,
n09000009,mid-ulster,local-authority-district,2022,%,economic-inactivity-rate,25.1,21.5,28.8,23000,92000,
n09000010,newry-mourne-and-down,local-authority-district,2022,%,economic-inactivity-rate,24.6,21.2,27.9,27000,110000,
n09000011,ards-and-north-down,local-authority-district,2022,%,economic-inactivity-rate,25.2,21.7,28.6,25000,100000,
