AREACD,AREANM,Geography,Variable Name,Indicator,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
K04000001,England and Wales,Country,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,57,Percentage,%,,,,1,
E92000001,England,Nation,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,58,Percentage,%,,,,1,
E12000001,North East,Region,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,48,Percentage,%,,,,1,
E47000006,Tees Valley,Combined Authority or City Region,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,51,Percentage,%,,,,1,
E47000014,North East,Combined Authority or City Region,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,47,Percentage,%,,,,1,
E06000047,County Durham,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,25,Percentage,%,,,,1,
E06000005,Darlington,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,65,Percentage,%,,,,1,
E06000001,Hartlepool,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,46,Percentage,%,,,,1,
E06000002,Middlesbrough,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,55,Percentage,%,,,,1,
E06000057,Northumberland,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,26,Percentage,%,,,,1,
E06000003,Redcar and Cleveland,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,45,Percentage,%,,,,1,
E06000004,Stockton-on-Tees,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,46,Percentage,%,,,,1,
E08000037,Gateshead,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,56,Percentage,%,,,,1,
E08000021,Newcastle upon Tyne,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,67,Percentage,%,,,,1,
E08000022,North Tyneside,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,83,Percentage,%,,,,1,
E08000023,South Tyneside,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,85,Percentage,%,,,,1,
E08000024,Sunderland,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,35,Percentage,%,,,,1,
E12000002,North West,Region,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,70,Percentage,%,,,,1,
E06000008,Blackburn with Darwen,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,79,Percentage,%,,,,1,
E06000009,Blackpool,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,90,Percentage,%,,,,1,
E06000049,Cheshire East,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,51,Percentage,%,,,,1,
E06000050,Cheshire West and Chester,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,60,Percentage,%,,,,1,
E06000006,Halton,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,75,Percentage,%,,,,1,
E06000007,Warrington,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,57,Percentage,%,,,,1,
E06000063,Cumberland,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,40,Percentage,%,,,,1,
E06000064,Westmorland and Furness,County or Unitary Authority,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,60,Percentage,%,,,,1,
E47000001,Greater Manchester,Combined Authority or City Region,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,79,Percentage,%,,,,1,
E08000001,Bolton,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,71,Percentage,%,,,,1,
E08000002,Bury,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,66,Percentage,%,,,,1,
E08000003,Manchester,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,92,Percentage,%,,,,1,
E08000004,Oldham,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,78,Percentage,%,,,,1,
E08000005,Rochdale,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,60,Percentage,%,,,,1,
E08000006,Salford,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,84,Percentage,%,,,,1,
E08000007,Stockport,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,95,Percentage,%,,,,1,
E08000008,Tameside,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,93,Percentage,%,,,,1,
E08000009,Trafford,Local Authority District,Percentage of resident population within a 30 minute walk of their nearest railway station,Residents within a 30 minute walk of their nearest railway station,2024-06,92,Percentage,%,,,,1,
