AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
N92000002,Northern Ireland,Nation,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2017-08-01T00:00:00/P1Y,380.0207663,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N92000002,Northern Ireland,Nation,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2018-08-01T00:00:00/P1Y,388.4493311,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N92000002,Northern Ireland,Nation,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2019-08-01T00:00:00/P1Y,295.3818629,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N92000002,Northern Ireland,Nation,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2020-08-01T00:00:00/P1Y,380.0952191,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N92000002,Northern Ireland,Nation,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2021-08-01T00:00:00/P1Y,443.751863,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2021-08-01T00:00:00/P1Y,412.3976508,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2019-08-01T00:00:00/P1Y,286.5924932,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2020-08-01T00:00:00/P1Y,303.1921308,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2017-08-01T00:00:00/P1Y,386.0969826,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2018-08-01T00:00:00/P1Y,427.6344556,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2017-08-01T00:00:00/P1Y,334.9881182,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2018-08-01T00:00:00/P1Y,279.8401256,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2019-08-01T00:00:00/P1Y,273.3860733,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2020-08-01T00:00:00/P1Y,311.7137183,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2021-08-01T00:00:00/P1Y,448.8477429,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000003,Belfast,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2021-08-01T00:00:00/P1Y,308.1873923,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000003,Belfast,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2020-08-01T00:00:00/P1Y,280.8544872,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000003,Belfast,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2017-08-01T00:00:00/P1Y,340.7086886,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000003,Belfast,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2018-08-01T00:00:00/P1Y,322.1199906,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000003,Belfast,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2019-08-01T00:00:00/P1Y,247.0103478,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000004,Causeway Coast and Glens,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2017-08-01T00:00:00/P1Y,333.5843242,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000004,Causeway Coast and Glens,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2018-08-01T00:00:00/P1Y,414.1655089,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000004,Causeway Coast and Glens,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2019-08-01T00:00:00/P1Y,291.6721083,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000004,Causeway Coast and Glens,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2020-08-01T00:00:00/P1Y,332.0720422,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000004,Causeway Coast and Glens,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2021-08-01T00:00:00/P1Y,475.8399495,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000005,Derry City and Strabane,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2017-08-01T00:00:00/P1Y,572.1066237,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000005,Derry City and Strabane,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2018-08-01T00:00:00/P1Y,632.8631983,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000005,Derry City and Strabane,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2019-08-01T00:00:00/P1Y,479.4267066,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000005,Derry City and Strabane,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2020-08-01T00:00:00/P1Y,809.9552083,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000005,Derry City and Strabane,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2021-08-01T00:00:00/P1Y,712.2614933,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000006,Fermanagh and Omagh,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2021-08-01T00:00:00/P1Y,559.950516,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000006,Fermanagh and Omagh,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2020-08-01T00:00:00/P1Y,684.3344085,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000006,Fermanagh and Omagh,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2017-08-01T00:00:00/P1Y,396.5202873,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000006,Fermanagh and Omagh,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2018-08-01T00:00:00/P1Y,467.325519,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000006,Fermanagh and Omagh,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2019-08-01T00:00:00/P1Y,311.3975872,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000007,Lisburn and Castlereagh,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2017-08-01T00:00:00/P1Y,319.6386693,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000007,Lisburn and Castlereagh,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2018-08-01T00:00:00/P1Y,282.5052809,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000007,Lisburn and Castlereagh,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2019-08-01T00:00:00/P1Y,235.2102032,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
