AREACD,Period,Gross value added in pounds (million)
S01007409,1998,29.617
S01007410,1998,1.179
S01007411,1998,5.085
S01007412,1998,0.834
S01007413,1998,2.606
S01007414,1998,1.236
S01007415,1998,2.178
S01007416,1998,0.523
S01007417,1998,1.045
S01007418,1998,2.413
S01007419,1998,1.045
S01007420,1998,46.811
S01007421,1998,0.794
S01007422,1998,5.727
S01007423,1998,1.472
S01007424,1998,0.943
S01007425,1998,0.613
S01007426,1998,2.462
S01007427,1998,6.469
S01007428,1998,6.469
S01007429,1998,6.469
S01007430,1998,0.684
S01007431,1998,3.941
S01007432,1998,2.271
S01007433,1998,2.444
S01007434,1998,1.557
S01007435,1998,7.218
S01007436,1998,7.027
S01007437,1998,1.206
S01007438,1998,0.261
S01007439,1998,3.039
S01007440,1998,0.155
S01007441,1998,0.792
S01007442,1998,1.215
S01007443,1998,2.825
S01007444,1998,11.974
S01007445,1998,2.003
S01007446,1998,0.645
S01007447,1998,3.014
S01007448,1998,11.233
S01007449,1998,0.069
S01007450,1998,2.477
S01007451,1998,0.64
S01007452,1998,3.343
S01007453,1998,0.634
S01007454,1998,2.517
S01007455,1998,7.271
S01007456,1998,0.263
S01007457,1998,7.271
S01007458,1998,0.864
S01007459,1998,0.057
S01007460,1998,31.071
S01007461,1998,4.362
S01007462,1998,6.837
S01007463,1998,5.577
S01007464,1998,1.328
S01007465,1998,1.328
S01007466,1998,84.762
S01007467,1998,11.72
S01007468,1998,0.602
S01007469,1998,0.796
S01007470,1998,1.185
S01007471,1998,0.052
S01007472,1998,0.052
S01007473,1998,0.612
S01007474,1998,0.709
S01007475,1998,1.365
S01007476,1998,26.944
S01007477,1998,1.75
S01007478,1998,9.598
S01007479,1998,2.622
S01007480,1998,11.213
S01007481,1998,1.171
S01007482,1998,1.394
S01007483,1998,0.463
S01007484,1998,2.318
S01007485,1998,0.677
S01007486,1998,0.677
S01007487,1998,23.604
S01007488,1998,66.297
S01007489,1998,7.845
S01007490,1998,2.331
S01007491,1998,2.331
S01007492,1998,56.496
S01007493,1998,1.027
S01007494,1998,5.778
S01007495,1998,7.188
S01007496,1998,7.522
S01007497,1998,9.382
S01007498,1998,12.418
S01007499,1998,5.336
S01007500,1998,4.214
S01007501,1998,6.677
S01007502,1998,2.43
S01007503,1998,11.58
S01007504,1998,4.066
S01007505,1998,5.223
S01007506,1998,6.499
S01007507,1998,3.751
S01007508,1998,5.976
S01007509,1998,5.468
S01007510,1998,11.625
S01007511,1998,9.206
S01007512,1998,6.013
S01007513,1998,3.081
S01007514,1998,11.194
S01007515,1998,3.684
S01007516,1998,2.286
S01007517,1998,1.268
S01007518,1998,7.328
S01007519,1998,10.23
S01007520,1998,6.842
S01007521,1998,8.078
S01007522,1998,4.393
S01007523,1998,8.554
S01007524,1998,39.347
S01007525,1998,2.952
S01007526,1998,10.367
S01007527,1998,2.963
S01007528,1998,5.036
S01007529,1998,4.705
S01007530,1998,9.684
S01007531,1998,8.475
S01007532,1998,8.364
S01007533,1998,3.451
S01007534,1998,5.339
S01007535,1998,11.003
S01007536,1998,9.618
S01007537,1998,9.718
S01007538,1998,11.465
S01007539,1998,1.902
S01007540,1998,6.476
S01007541,1998,4.524
S01007542,1998,1.976
S01007543,1998,2.388
S01007544,1998,13.436
S01007545,1998,10.104
S01007546,1998,15.277
S01007547,1998,9.779
S01007548,1998,3.306
S01007549,1998,3.705
S01007550,1998,10.797
S01007551,1998,10.255
S01007552,1998,16.522
S01007553,1998,16.522
S01007554,1998,0.614
S01007555,1998,15.742
S01007556,1998,3.642
S01007557,1998,0.334
S01007558,1998,1.694
S01007559,1998,27.764
S01007560,1998,7.992
S01007561,1998,3.099
S01007562,1998,5.411
S01007563,1998,5.201
S01007564,1998,4.373
S01007565,1998,8.422
S01007566,1998,8.284
S01007567,1998,7.194
S01007568,1998,8.268
S01007569,1998,6.842
S01007570,1998,23.711
S01007571,1998,6.489
S01007572,1998,7.486
S01007573,1998,1.811
S01007574,1998,0.053
S01007575,1998,6.542
S01007576,1998,3.433
S01007577,1998,0.053
S01007578,1998,0.327
S01007579,1998,0.053
S01007580,1998,1.702
S01007581,1998,3.284
S01007582,1998,4.918
S01007583,1998,2.001
S01007584,1998,1.89
S01007585,1998,37.264
S01007586,1998,4.918
S01007587,1998,7.967
S01007588,1998,3.102
S01007589,1998,1.498
S01007590,1998,1.025
S01007591,1998,1.251
S01007592,1998,1.078
S01007593,1998,7.175
S01007594,1998,21.071
S01007595,1998,28.58
S01007596,1998,6.33
S01007597,1998,5.395
S01007598,1998,52.018
S01007599,1998,51.569
S01007600,1998,52.018
S01007601,1998,1.562
S01007602,1998,1.921
S01007603,1998,1.098
S01007604,1998,1.207
S01007605,1998,2.181
S01007606,1998,1.14
S01007607,1998,1.34
S01007608,1998,1.945
S01007609,1998,3.716
S01007610,1998,22.438
S01007611,1998,7.816
S01007612,1998,121.594
S01007613,1998,28.72
S01007614,1998,6.39
S01007615,1998,18.254
S01007616,1998,1.971
S01007617,1998,0.538
S01007618,1998,0.538
