AREACD,Period,Gross value added in pounds (million)
S01007619,1998,1.005
S01007620,1998,24.999
S01007621,1998,1.64
S01007622,1998,8.756
S01007623,1998,21.4
S01007624,1998,1.641
S01007625,1998,21.4
S01007626,1998,6.848
S01007627,1998,15.659
S01007628,1998,10.414
S01007629,1998,9.181
S01007630,1998,10.002
S01007631,1998,2.586
S01007632,1998,6.127
S01007633,1998,1.859
S01007634,1998,49.569
S01007635,1998,2.536
S01007636,1998,10.78
S01007637,1998,2.511
S01007638,1998,9.275
S01007639,1998,20.396
S01007640,1998,43.453
S01007641,1998,4.522
S01007642,1998,5.437
S01007643,1998,6.269
S01007644,1998,2.71
S01007645,1998,7.966
S01007646,1998,10.089
S01007647,1998,11.143
S01007648,1998,5.813
S01007649,1998,1.214
S01007650,1998,3.758
S01007651,1998,6.343
S01007652,1998,5.028
S01007653,1998,4.185
S01007654,1998,7.423
S01007655,1998,9.895
S01007656,1998,11.66
S01007657,1998,5.317
S01007658,1998,4.255
S01007659,1998,12.545
S01007660,1998,3.126
S01007661,1998,20.284
S01007662,1998,29.905
S01007663,1998,3.793
S01007664,1998,3.764
S01007665,1998,1.301
S01007666,1998,1.922
S01007667,1998,0.744
S01007668,1998,2.452
S01007669,1998,4.251
S01007670,1998,0.744
S01007671,1998,52.244
S01007672,1998,2.349
S01007673,1998,7.602
S01007674,1998,1.048
S01007675,1998,4.088
S01007676,1998,17.056
S01007677,1998,0.734
S01007678,1998,2.941
S01007679,1998,3.002
S01007680,1998,12.198
S01007681,1998,4.583
S01007870,1998,7.49
S01007871,1998,0.373
S01007872,1998,2.339
S01007873,1998,0.743
S01007874,1998,7.001
S01007875,1998,2.989
S01007876,1998,0.995
S01007877,1998,1.476
S01007878,1998,0.501
S01007879,1998,0.501
S01007880,1998,7.719
S01007881,1998,4.469
S01007882,1998,19.544
S01007883,1998,1.753
S01007884,1998,0.875
S01007885,1998,5.592
S01007886,1998,5.592
S01007887,1998,8.707
S01007888,1998,0.79
S01007889,1998,1.653
S01007890,1998,2.128
S01007891,1998,3.469
S01007892,1998,4.676
S01007893,1998,1.14
S01007894,1998,3.557
S01007895,1998,2.437
S01007896,1998,1.385
S01007897,1998,11.222
S01007898,1998,4.289
S01007899,1998,13.26
S01007900,1998,0.239
S01007901,1998,1.298
S01007902,1998,0.239
S01007903,1998,1.611
S01007904,1998,15.076
S01007905,1998,1.461
S01007906,1998,0.371
S01007907,1998,0.049
S01007908,1998,4.927
S01007909,1998,0.607
S01007910,1998,0.917
S01007911,1998,9.235
S01007912,1998,0.68
S01007913,1998,1.219
S01007914,1998,0.128
S01007915,1998,1.219
S01007916,1998,13.323
S01007917,1998,1.227
S01007918,1998,24.922
S01007919,1998,1.163
S01007920,1998,8.73
S01007921,1998,1.726
S01007922,1998,1.92
S01007923,1998,17.629
S01007924,1998,2.986
S01007925,1998,3.663
S01007926,1998,9.895
S01007927,1998,7.914
S01007928,1998,3.919
S01007929,1998,6.411
S01007930,1998,8.123
S01007931,1998,2.439
S01007932,1998,2.984
S01007933,1998,3.22
S01007934,1998,1.215
S01007935,1998,11.122
S01007936,1998,3.233
S01007937,1998,5.338
S01007938,1998,1.012
S01007939,1998,0.964
S01007940,1998,1.631
S01007941,1998,4.67
S01007942,1998,1.93
S01007943,1998,1.448
S01007944,1998,1.478
S01007945,1998,3.296
S01007946,1998,12.121
S01007947,1998,12.121
S01007948,1998,0.997
S01007949,1998,1.117
S01007950,1998,4.006
S01007951,1998,3.187
S01007952,1998,9.274
S01007953,1998,1.293
S01007954,1998,0.52
S01007955,1998,0.784
S01007956,1998,0.416
S01007957,1998,6.018
S01007958,1998,1.497
S01007959,1998,2.336
S01007960,1998,0.646
S01007961,1998,28.657
S01007962,1998,0.878
S01007963,1998,0.452
S01007964,1998,3.714
S01007965,1998,2.75
S01007966,1998,2.75
S01007967,1998,0.016
S01007968,1998,0.408
S01007969,1998,25.465
S01007970,1998,0.814
S01007971,1998,25.465
S01007972,1998,0.411
S01007973,1998,1.138
S01007974,1998,7.941
S01007975,1998,84.66
S01007976,1998,21.864
S01007977,1998,4.388
S01007978,1998,5.099
S01007979,1998,10.883
S01007980,1998,13.042
S01007981,1998,0.805
S01007982,1998,0.985
S01007983,1998,0.215
S01007984,1998,3.282
S01007985,1998,2.424
S01007986,1998,0.532
S01007987,1998,0.348
S01007988,1998,1.007
S01007989,1998,0.135
S01007990,1998,0.757
S01007991,1998,8.839
S01007992,1998,1.186
S01007993,1998,1.334
S01007994,1998,0.837
S01007995,1998,1.876
S01007996,1998,4.284
S01007997,1998,2.744
S01007998,1998,2.355
S01007999,1998,0.718
S01008000,1998,3.267
S01008001,1998,0.354
S01008002,1998,3.86
S01008003,1998,0.078
S01008004,1998,0.556
S01008005,1998,0.601
S01008006,1998,1.234
S01008007,1998,6.894
S01008008,1998,0.393
S01008009,1998,0.601
S01008010,1998,17.329
S01008011,1998,13.273
S01008012,1998,106.728
S01008013,1998,52.606
S01008014,1998,0.616
S01008015,1998,4.636
S01008016,1998,0.974
S01008017,1998,7.922
S01008018,1998,4.064
S01008019,1998,1.816
S01008020,1998,1.671
S01008021,1998,0.807
S01008022,1998,7.922
S01008023,1998,1.571
S01008024,1998,48.774
S01008025,1998,0.458
S01008026,1998,2.994
S01008027,1998,51.561
S01008028,1998,0.958
S01008029,1998,51.561
S01008030,1998,2.587
S01008031,1998,8.406
S01008032,1998,0.814
S01008163,1998,1.639
S01008164,1998,8.798
S01008165,1998,3.131
S01008166,1998,1.487
S01008167,1998,4.643
S01008168,1998,3.131
S01008169,1998,8.798
S01008170,1998,1.507
S01008171,1998,1.576
S01008172,1998,1.087
S01008173,1998,1.675
S01008174,1998,1.188
S01008175,1998,1.4
S01008176,1998,50.255
S01008177,1998,14.191
S01008178,1998,1.33
S01008179,1998,1.513
S01008180,1998,19.386
S01008181,1998,3.197
S01008182,1998,2.545
S01008183,1998,0.845
S01008184,1998,7.872
S01008185,1998,8.793
S01008186,1998,8.793
S01008187,1998,1.663
S01008188,1998,9.516
S01008189,1998,0.972
S01008190,1998,0.235
S01008191,1998,1.519
S01008192,1998,9.373
S01008193,1998,1.612
S01008194,1998,2.396
S01008195,1998,1.22
S01008196,1998,1.072
S01008197,1998,1.767
S01008198,1998,2.173
S01008199,1998,0.04
S01008200,1998,0.205
S01008201,1998,2.493
S01008202,1998,2.142
S01008203,1998,2.903
S01008204,1998,11.947
S01008205,1998,0.924
S01008206,1998,2.173
S01008207,1998,1.037
S01008208,1998,2.173
S01008209,1998,1.347
S01008210,1998,2.818
S01008211,1998,2.328
S01008212,1998,1.006
S01008213,1998,0.282
S01008214,1998,3.52
S01008215,1998,1.0
S01008216,1998,0.832
S01008217,1998,2.935
S01008218,1998,16.732
S01008219,1998,6.768
S01008220,1998,0.898
S01008221,1998,16.732
S01008222,1998,0.145
S01008223,1998,0.855
S01008224,1998,0.234
S01008225,1998,1.17
S01008226,1998,4.294
S01008227,1998,2.416
S01008228,1998,1.716
S01008229,1998,1.066
S01008230,1998,0.058
S01008231,1998,6.529
S01008232,1998,1.68
S01008233,1998,6.529
S01008234,1998,1.021
S01008235,1998,6.247
S01008236,1998,3.428
S01008237,1998,5.103
S01008238,1998,1.349
S01008239,1998,43.156
S01008240,1998,1.713
S01008241,1998,2.959
S01008242,1998,6.239
S01008243,1998,3.901
S01008244,1998,3.581
S01008245,1998,9.86
S01008246,1998,3.835
S01008247,1998,7.347
S01008248,1998,7.249
S01008249,1998,4.47
S01008250,1998,16.567
S01008251,1998,11.222
S01008252,1998,5.848
S01008253,1998,18.143
S01008254,1998,3.461
S01008255,1998,2.109
S01008256,1998,11.152
S01008257,1998,25.221
S01008258,1998,2.805
S01008259,1998,6.978
S01008260,1998,5.732
S01008261,1998,1.461
S01008262,1998,15.682
S01008263,1998,6.508
S01008264,1998,2.451
S01008265,1998,1.834
S01008266,1998,3.978
S01008267,1998,22.769
S01008268,1998,5.823
S01008269,1998,3.387
S01008270,1998,4.951
S01008271,1998,8.402
S01008272,1998,4.994
S01008273,1998,6.293
S01008274,1998,3.126
S01008275,1998,2.28
S01008276,1998,8.225
S01008277,1998,4.634
S01008278,1998,2.593
S01008279,1998,2.892
S01008280,1998,5.175
S01008281,1998,7.117
S01008282,1998,76.034
S01008283,1998,1.367
S01008284,1998,2.428
S01008285,1998,6.105
S01008286,1998,1.748
S01008287,1998,2.168
S01008288,1998,5.075
S01008289,1998,1.793
S01008290,1998,5.286
S01008291,1998,3.719
S01008292,1998,6.829
S01008293,1998,1.182
S01008294,1998,3.176
S01008295,1998,1.531
S01008296,1998,2.59
S01008297,1998,1.734
S01008298,1998,6.81
S01008299,1998,2.267
S01008300,1998,1.397
S01008301,1998,1.446
S01008302,1998,2.788
S01008303,1998,2.146
S01008304,1998,3.751
S01008305,1998,3.751
S01008306,1998,2.113
S01008307,1998,9.356
S01008308,1998,1.466
S01008309,1998,8.052
S01008310,1998,12.668
S01008311,1998,0.755
S01008312,1998,3.6
S01008313,1998,15.366
S01008314,1998,3.39
S01008315,1998,15.079
S01008316,1998,0.787
S01008317,1998,7.812
S01008318,1998,11.514
S01008319,1998,1.544
S01008320,1998,1.016
S01008321,1998,1.975
S01008322,1998,0.596
S01008323,1998,1.692
S01008324,1998,1.403
S01008325,1998,2.859
S01008326,1998,0.741
S01008327,1998,1.079
S01008328,1998,12.579
S01008329,1998,3.715
S01008330,1998,2.476
S01008331,1998,2.636
S01008332,1998,3.969
S01008333,1998,4.35
S01008334,1998,5.628
S01008335,1998,1.41
S01008336,1998,19.266
S01008337,1998,1.852
S01008338,1998,1.758
S01008339,1998,1.962
S01008340,1998,3.321
S01008341,1998,2.61
S01008342,1998,1.506
S01008343,1998,2.004
S01008344,1998,5.979
S01008345,1998,7.171
S01008346,1998,7.197
S01008347,1998,3.295
S01008348,1998,1.25
S01008349,1998,2.87
S01008350,1998,7.317
S01008351,1998,3.404
S01008352,1998,3.081
S01008353,1998,3.314
S01008354,1998,5.329
S01008355,1998,2.967
S01008356,1998,2.238
S01008357,1998,1.796
S01008358,1998,18.45
S01008359,1998,2.987
S01008360,1998,1.968
S01008361,1998,18.45
S01008362,1998,2.325
S01008363,1998,1.768
S01008364,1998,5.836
S01008365,1998,12.064
S01008366,1998,2.624
S01008367,1998,5.86
S01008368,1998,5.303
S01008369,1998,1.737
S01008370,1998,2.924
S01008371,1998,2.438
S01008372,1998,2.546
S01008373,1998,1.983
S01008374,1998,3.166
S01008375,1998,4.622
S01008376,1998,2.92
S01008377,1998,5.198
S01008378,1998,8.981
S01008379,1998,1.945
S01008380,1998,3.43
S01008381,1998,2.31
S01008382,1998,3.374
S01008383,1998,9.182
S01008384,1998,1.788
S01008385,1998,2.397
S01008386,1998,3.279
S01008387,1998,1.555
S01008388,1998,1.503
S01008389,1998,2.431
S01008390,1998,3.53
S01008391,1998,3.206
S01008392,1998,2.054
S01008393,1998,4.376
S01008394,1998,1.882
S01008395,1998,3.802
S01008396,1998,4.019
S01008397,1998,2.645
S01008398,1998,2.986
S01008399,1998,9.044
S01008400,1998,2.336
S01008401,1998,3.554
S01008402,1998,2.748
S01008403,1998,6.34
S01008404,1998,1.594
S01008405,1998,5.639
S01008406,1998,6.136
S01008407,1998,2.587
S01008408,1998,1.724
S01008409,1998,14.567
S01008410,1998,9.672
S01008411,1998,1.532
S01008412,1998,0.457
S01008413,1998,12.549
S01008414,1998,1.507
S01008415,1998,8.808
S01008416,1998,20.676
S01009014,1998,5.413
S01009015,1998,3.505
S01009016,1998,1.632
S01009017,1998,6.977
S01009018,1998,7.5
S01009019,1998,7.784
S01009020,1998,14.605
S01009021,1998,2.969
S01009022,1998,5.746
S01009023,1998,3.543
S01009024,1998,6.293
S01009025,1998,4.42
S01009026,1998,2.736
S01009027,1998,2.737
S01009028,1998,4.271
S01009029,1998,2.019
S01009030,1998,4.271
S01009031,1998,1.431
S01009032,1998,1.506
S01009033,1998,0.951
S01009034,1998,2.259
S01009035,1998,1.804
S01009036,1998,1.489
S01009037,1998,2.912
S01009038,1998,34.786
S01009039,1998,2.126
S01009040,1998,7.991
S01009041,1998,81.32
S01009042,1998,8.571
S01009043,1998,9.859
S01009044,1998,1.649
S01009045,1998,9.859
S01009046,1998,8.9
S01009047,1998,1.341
S01009048,1998,0.235
S01009049,1998,0.344
S01009050,1998,12.682
S01009051,1998,1.565
S01009052,1998,1.054
S01009053,1998,0.188
S01009054,1998,0.188
S01009055,1998,6.083
S01009056,1998,1.31
S01009057,1998,4.307
S01009058,1998,16.281
S01009059,1998,7.837
S01009060,1998,7.825
S01009061,1998,0.664
S01009062,1998,0.571
S01009063,1998,1.308
S01009064,1998,3.385
S01009065,1998,3.385
S01009066,1998,0.443
S01009067,1998,1.718
S01009068,1998,2.359
S01009069,1998,0.869
S01009070,1998,1.181
S01009071,1998,3.12
S01009072,1998,1.394
S01009073,1998,3.792
S01009074,1998,0.608
S01009075,1998,3.324
S01009076,1998,0.982
S01009077,1998,1.956
S01009078,1998,0.958
S01009079,1998,11.355
S01009080,1998,1.786
S01009081,1998,1.122
S01009082,1998,1.875
S01009083,1998,2.967
S01009084,1998,37.106
S01009085,1998,1.315
S01009086,1998,1.014
S01009087,1998,0.299
S01009088,1998,202.132
S01009089,1998,5.464
S01009090,1998,1.991
S01009091,1998,1.477
S01009092,1998,4.857
S01009093,1998,27.751
S01009094,1998,0.67
S01009095,1998,14.882
S01009096,1998,3.597
S01009097,1998,2.423
S01009098,1998,2.345
S01009099,1998,8.308
S01009100,1998,12.554
S01009101,1998,0.734
S01009102,1998,0.576
S01009103,1998,0.551
S01009104,1998,0.551
S01009105,1998,1.554
S01009106,1998,1.267
S01009107,1998,18.736
S01009108,1998,0.813
S01009109,1998,0.974
S01009110,1998,0.329
S01009111,1998,1.503
S01009112,1998,1.575
S01009113,1998,4.228
S01009114,1998,0.953
S01009115,1998,5.234
S01009116,1998,0.773
S01009117,1998,5.932
S01009118,1998,1.781
S01009119,1998,1.002
S01009120,1998,1.888
S01009121,1998,45.866
S01009122,1998,7.089
S01009123,1998,1.252
S01009124,1998,2.05
S01009125,1998,3.757
S01009126,1998,2.344
S01009127,1998,0.337
S01009128,1998,0.727
S01009129,1998,0.337
S01009130,1998,0.538
S01009131,1998,7.969
S01009132,1998,6.724
S01009133,1998,25.402
S01009134,1998,0.589
S01009135,1998,5.753
S01009136,1998,6.724
S01009137,1998,6.724
S01009138,1998,16.882
S01009139,1998,0.882
S01009140,1998,37.287
S01009141,1998,5.621
S01009142,1998,3.211
S01009143,1998,1.619
S01009144,1998,120.281
S01009145,1998,2.135
S01009146,1998,1.83
S01009147,1998,1.407
S01009148,1998,0.885
S01009149,1998,66.42
S01009150,1998,0.606
S01009151,1998,17.494
S01009152,1998,3.88
S01009153,1998,24.223
S01009154,1998,20.804
S01009155,1998,7.703
S01009156,1998,1.419
S01009157,1998,2.385
S01009158,1998,0.639
S01009159,1998,0.951
S01009160,1998,7.516
S01009161,1998,1.783
S01009162,1998,4.92
S01009163,1998,1.1
S01009164,1998,0.498
S01009165,1998,33.705
S01009166,1998,33.705
S01009167,1998,0.375
S01009168,1998,4.401
S01009169,1998,1.011
S01009170,1998,5.106
S01009171,1998,0.618
S01009172,1998,1.706
S01009173,1998,2.546
S01009174,1998,1.646
S01009175,1998,1.699
S01009176,1998,8.854
S01009177,1998,1.23
S01009178,1998,0.523
S01009179,1998,0.361
S01009180,1998,2.016
S01009181,1998,1.894
S01009182,1998,1.644
S01009183,1998,0.817
S01009184,1998,4.179
S01009185,1998,2.413
S01009186,1998,1.515
S01009187,1998,1.185
S01009188,1998,7.128
S01009189,1998,1.031
S01009190,1998,9.79
S01009191,1998,1.926
S01009192,1998,9.79
S01009193,1998,0.074
S01009194,1998,2.61
S01009195,1998,2.026
S01009196,1998,1.487
S01009197,1998,2.263
S01009198,1998,1.662
S01009199,1998,1.151
S01009200,1998,8.115
S01009201,1998,1.593
S01009202,1998,0.539
S01009203,1998,3.507
S01009204,1998,0.073
S01009205,1998,1.378
S01009206,1998,0.76
S01009207,1998,1.0
S01009208,1998,2.251
S01009209,1998,4.127
S01009210,1998,124.631
S01009211,1998,1.113
S01009212,1998,0.442
S01009213,1998,8.249
S01009214,1998,6.747
S01009215,1998,3.101
S01009216,1998,1.898
S01009217,1998,2.143
S01009218,1998,0.511
S01009219,1998,1.103
S01009220,1998,7.9
S01009221,1998,1.249
S01009222,1998,3.576
S01009223,1998,1.576
S01009224,1998,0.055
S01009225,1998,1.067
S01009226,1998,95.528
S01009227,1998,0.499
S01009228,1998,0.728
S01009229,1998,417.934
S01009230,1998,0.69
S01009231,1998,1.391
S01009232,1998,0.029
S01009233,1998,0.692
S01009234,1998,18.774
S01009235,1998,29.603
S01009236,1998,18.774
S01009237,1998,0.692
S01009238,1998,2.94
S01009239,1998,0.674
S01009240,1998,0.481
S01009241,1998,1.154
S01009242,1998,2.94
S01009243,1998,0.79
S01009244,1998,13.612
S01009245,1998,13.612
S01009246,1998,5.228
S01009247,1998,0.543
S01009248,1998,1.985
S01009249,1998,1.568
S01009250,1998,0.438
S01009251,1998,0.053
S01009252,1998,0.406
S01009253,1998,0.562
S01009254,1998,0.608
S01009255,1998,10.81
S01009256,1998,0.812
S01009257,1998,2.154
S01009258,1998,4.109
S01009259,1998,4.123
S01009260,1998,58.965
S01009261,1998,2.049
S01009262,1998,1.742
S01009263,1998,0.201
S01009264,1998,71.171
S01009265,1998,1.39
S01009266,1998,1.713
S01009267,1998,1.628
S01009268,1998,3.454
S01009269,1998,0.675
S01009270,1998,10.604
S01009271,1998,1.103
S01009272,1998,0.75
S01009273,1998,2.473
S01009274,1998,1.372
S01009275,1998,11.4
S01009276,1998,1.375
S01009277,1998,6.236
S01009278,1998,1.039
S01009279,1998,1.647
S01009280,1998,2.549
S01009281,1998,1.024
S01009282,1998,2.758
S01009283,1998,3.356
S01009284,1998,0.29
S01009285,1998,1.992
S01009286,1998,2.243
S01009287,1998,2.491
S01009288,1998,14.054
S01009289,1998,4.642
S01009290,1998,1.809
S01009291,1998,1.503
S01009292,1998,1.196
S01009293,1998,2.698
S01009294,1998,1.286
S01009295,1998,1.825
S01009296,1998,1.128
S01009297,1998,7.246
S01009298,1998,2.555
S01009299,1998,7.132
S01009300,1998,2.168
S01009301,1998,5.063
S01009302,1998,1.022
S01009303,1998,12.755
S01009304,1998,0.558
S01009305,1998,1.094
S01009306,1998,0.957
S01009307,1998,42.071
S01009308,1998,29.089
S01009309,1998,31.912
S01009310,1998,6.259
S01009311,1998,0.073
S01009312,1998,5.727
S01009313,1998,6.972
S01009314,1998,0.72
S01009315,1998,2.794
S01009316,1998,3.468
S01009317,1998,1.529
S01009318,1998,1.514
S01009319,1998,1.263
S01009320,1998,2.027
S01009321,1998,1.149
S01009322,1998,1.277
S01009323,1998,0.939
S01009324,1998,0.824
S01009325,1998,11.104
S01009326,1998,11.104
S01009327,1998,1.769
S01009328,1998,2.092
S01009329,1998,1.745
S01009330,1998,1.735
S01009331,1998,2.917
S01009332,1998,1.995
S01009333,1998,1.281
S01009334,1998,2.565
S01009335,1998,2.565
S01009336,1998,6.073
S01009337,1998,1.268
S01009338,1998,3.462
S01009339,1998,1.911
S01009340,1998,1.318
S01009341,1998,0.592
S01009342,1998,0.934
S01009343,1998,0.695
S01009344,1998,1.486
S01009345,1998,1.375
S01009346,1998,1.37
S01009347,1998,1.708
S01009348,1998,5.045
S01009349,1998,2.276
S01009350,1998,1.658
S01009351,1998,0.823
S01009352,1998,1.329
S01009353,1998,0.219
S01009354,1998,1.482
S01009355,1998,1.031
S01009356,1998,1.096
S01009357,1998,288.56
S01009358,1998,1.124
S01009359,1998,1.242
S01009360,1998,12.791
S01009361,1998,124.156
S01009362,1998,0.508
S01009363,1998,0.542
S01009364,1998,5.089
S01009365,1998,1.773
S01009366,1998,2.377
S01009367,1998,1.089
S01009368,1998,1.283
S01009369,1998,3.132
S01009370,1998,1.283
S01009371,1998,1.314
S01009372,1998,1.332
S01009373,1998,3.715
S01009374,1998,5.72
S01009375,1998,3.466
S01009376,1998,0.603
S01009377,1998,180.915
S01009378,1998,1.133
S01009379,1998,1.469
S01009380,1998,2.008
S01009381,1998,22.656
S01009382,1998,1.556
S01009383,1998,9.429
S01009384,1998,9.429
S01009385,1998,0.608
S01009386,1998,3.173
S01009387,1998,3.173
S01009388,1998,3.173
S01009389,1998,2.079
S01009390,1998,1.632
S01009391,1998,1.761
S01009392,1998,1.134
S01009393,1998,12.075
S01009394,1998,13.698
S01009395,1998,13.698
S01009396,1998,3.072
S01009397,1998,1.139
S01009398,1998,0.169
S01009399,1998,1.767
S01009400,1998,1.106
S01009401,1998,2.008
S01009402,1998,1.66
S01009403,1998,118.532
S01009404,1998,41.935
S01009405,1998,13.906
S01009406,1998,3.459
S01009407,1998,0.744
S01009408,1998,1.133
S01009409,1998,2.435
S01009410,1998,4.135
S01009411,1998,8.368
S01009412,1998,2.435
S01009413,1998,40.396
S01009414,1998,0.656
S01009415,1998,40.396
S01009416,1998,0.704
S01009417,1998,37.799
S01009418,1998,2.311
S01009419,1998,0.839
S01009420,1998,0.839
S01009421,1998,3.703
S01009422,1998,0.839
S01009423,1998,0.757
S01009424,1998,4.128
S01009425,1998,0.731
S01009426,1998,1.067
S01009427,1998,1.231
S01009428,1998,2.833
S01009429,1998,1.605
S01009430,1998,3.469
S01009431,1998,2.603
S01009432,1998,0.55
S01009433,1998,0.385
S01009434,1998,0.588
S01009435,1998,0.385
S01009436,1998,1.491
S01009437,1998,5.641
S01009438,1998,1.878
S01009439,1998,1.022
S01009440,1998,1.136
S01009441,1998,2.368
S01009442,1998,21.946
S01009443,1998,21.946
S01009444,1998,1.341
S01009445,1998,16.022
S01009446,1998,5.173
S01009447,1998,2.05
S01009448,1998,6.262
S01009449,1998,0.672
S01009450,1998,2.436
S01009451,1998,1.121
S01009452,1998,1.643
S01009453,1998,2.081
S01009454,1998,3.631
S01009455,1998,43.733
S01009456,1998,43.733
S01009457,1998,3.631
S01009458,1998,1.91
S01009459,1998,4.451
S01009460,1998,16.613
S01009461,1998,0.131
S01009462,1998,3.465
S01009463,1998,1.324
S01009464,1998,5.405
S01009465,1998,1.022
S01009466,1998,0.323
S01009467,1998,0.858
S01009468,1998,3.126
S01009469,1998,2.03
S01009470,1998,0.815
S01009471,1998,0.51
S01009472,1998,1.658
S01009473,1998,3.003
S01009474,1998,3.394
S01009475,1998,0.129
S01009476,1998,4.123
S01009477,1998,6.313
S01009478,1998,9.448
S01009479,1998,51.209
S01009480,1998,4.332
S01009481,1998,2.573
S01009482,1998,2.274
S01009483,1998,0.712
S01009484,1998,31.512
S01009485,1998,0.735
S01009486,1998,0.67
