Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
abbey-parks-north,Abbey Parks North,abbey-parks-north,,0,
abbey-parks-south-and-brucefield-north-west,Abbey Parks South and Brucefield North West,abbey-parks-south-and-brucefield-north-west,,1,
abbeyhill-01,Abbeyhill - 01,abbeyhill-01,,2,
abbeyhill-02,Abbeyhill - 02,abbeyhill-02,,3,
abbeyhill-03,Abbeyhill - 03,abbeyhill-03,,4,
abbeyview-central,Abbeyview Central,abbeyview-central,,5,
abbeyview-east,Abbeyview East,abbeyview-east,,6,
abbeyview-linburn,Abbeyview Linburn,abbeyview-linburn,,7,
abbeyview-north,Abbeyview North,abbeyview-north,,8,
abbeyview-south-east,Abbeyview South East,abbeyview-south-east,,9,
abbeyview-west,Abbeyview West,abbeyview-west,,10,
aberchirder-and-whitehills-01,Aberchirder and Whitehills - 01,aberchirder-and-whitehills-01,,11,
aberchirder-and-whitehills-02,Aberchirder and Whitehills - 02,aberchirder-and-whitehills-02,,12,
aberchirder-and-whitehills-03,Aberchirder and Whitehills - 03,aberchirder-and-whitehills-03,,13,
aberchirder-and-whitehills-04,Aberchirder and Whitehills - 04,aberchirder-and-whitehills-04,,14,
aberchirder-and-whitehills-05,Aberchirder and Whitehills - 05,aberchirder-and-whitehills-05,,15,
aberdour,Aberdour,aberdour,,16,
aberhill,Aberhill,aberhill,,17,
aberuthven-and-almondbank-01,Aberuthven and Almondbank - 01,aberuthven-and-almondbank-01,,18,
aberuthven-and-almondbank-02,Aberuthven and Almondbank - 02,aberuthven-and-almondbank-02,,19,
aberuthven-and-almondbank-03,Aberuthven and Almondbank - 03,aberuthven-and-almondbank-03,,20,
aberuthven-and-almondbank-04,Aberuthven and Almondbank - 04,aberuthven-and-almondbank-04,,21,
aberuthven-and-almondbank-05,Aberuthven and Almondbank - 05,aberuthven-and-almondbank-05,,22,
aboyne-and-south-deeside-01,Aboyne and South Deeside - 01,aboyne-and-south-deeside-01,,23,
aboyne-and-south-deeside-02,Aboyne and South Deeside - 02,aboyne-and-south-deeside-02,,24,
aboyne-and-south-deeside-03,Aboyne and South Deeside - 03,aboyne-and-south-deeside-03,,25,
aboyne-and-south-deeside-04,Aboyne and South Deeside - 04,aboyne-and-south-deeside-04,,26,
aboyne-and-south-deeside-05,Aboyne and South Deeside - 05,aboyne-and-south-deeside-05,,27,
aboyne-and-south-deeside-06,Aboyne and South Deeside - 06,aboyne-and-south-deeside-06,,28,
aboyne-and-south-deeside-07,Aboyne and South Deeside - 07,aboyne-and-south-deeside-07,,29,
abronhill-north-01,Abronhill North - 01,abronhill-north-01,,30,
abronhill-north-02,Abronhill North - 02,abronhill-north-02,,31,
abronhill-north-03,Abronhill North - 03,abronhill-north-03,,32,
abronhill-north-04,Abronhill North - 04,abronhill-north-04,,33,
abronhill-north-05,Abronhill North - 05,abronhill-north-05,,34,
abronhill-north-06,Abronhill North - 06,abronhill-north-06,,35,
abronhill-south-01,Abronhill South - 01,abronhill-south-01,,36,
abronhill-south-02,Abronhill South - 02,abronhill-south-02,,37,
abronhill-south-03,Abronhill South - 03,abronhill-south-03,,38,
abronhill-south-04,Abronhill South - 04,abronhill-south-04,,39,
abronhill-south-05,Abronhill South - 05,abronhill-south-05,,40,
admiralty-central,Admiralty Central,admiralty-central,,41,
admiralty-north,Admiralty North,admiralty-north,,42,
admiralty-north-east,Admiralty North East,admiralty-north-east,,43,
admiralty-south,Admiralty South,admiralty-south,,44,
admiralty-south-east,Admiralty South East,admiralty-south-east,,45,
admiralty-south-west,Admiralty South West,admiralty-south-west,,46,
airdrie-north-01,Airdrie North - 01,airdrie-north-01,,47,
airdrie-north-02,Airdrie North - 02,airdrie-north-02,,48,
airdrie-north-03,Airdrie North - 03,airdrie-north-03,,49,
airdrie-north-04,Airdrie North - 04,airdrie-north-04,,50,
airdrie-north-05,Airdrie North - 05,airdrie-north-05,,51,
airdrie-north-06,Airdrie North - 06,airdrie-north-06,,52,
alexandra-parade-01,Alexandra Parade - 01,alexandra-parade-01,,53,
alexandra-parade-02,Alexandra Parade - 02,alexandra-parade-02,,54,
alexandra-parade-03,Alexandra Parade - 03,alexandra-parade-03,,55,
allanton-newmains-rural-01,Allanton - Newmains Rural - 01,allanton-newmains-rural-01,,56,
allanton-newmains-rural-02,Allanton - Newmains Rural - 02,allanton-newmains-rural-02,,57,
allanton-newmains-rural-03,Allanton - Newmains Rural - 03,allanton-newmains-rural-03,,58,
allanton-newmains-rural-04,Allanton - Newmains Rural - 04,allanton-newmains-rural-04,,59,
alloa-north-01,Alloa North - 01,alloa-north-01,,60,
alloa-north-02,Alloa North - 02,alloa-north-02,,61,
alloa-north-03,Alloa North - 03,alloa-north-03,,62,
alloa-north-04,Alloa North - 04,alloa-north-04,,63,
alloa-north-05,Alloa North - 05,alloa-north-05,,64,
alloa-north-06,Alloa North - 06,alloa-north-06,,65,
alloa-north-07,Alloa North - 07,alloa-north-07,,66,
alloa-north-08,Alloa North - 08,alloa-north-08,,67,
alloa-north-09,Alloa North - 09,alloa-north-09,,68,
alloa-south-and-east-01,Alloa South and East - 01,alloa-south-and-east-01,,69,
