areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
K02000001,United Kingdom,Country,Value of UK exports,2019-01-01/P1Y,689023.0,Pounds,£ million,,,,
K02000001,United Kingdom,Country,Value of UK exports,2020-01-01/P1Y,609667.0,Pounds,£ million,,,,
K02000001,United Kingdom,Country,Value of UK exports,2021-01-01/P1Y,654014.0,Pounds,£ million,,,,
K02000001,United Kingdom,Country,Value of UK exports,2022-01-01/P1Y,848051.0,Pounds,£ million,,,,
K02000001,United Kingdom,Country,Value of UK exports,2023-01-01/P1Y,867021.0,Pounds,£ million,,,,
E92000001,England,Nation,Value of UK exports,2023-01-01/P1Y,700858.0,Pounds,£ million,,,,
E92000001,England,Nation,Value of UK exports,2021-01-01/P1Y,539232.0,Pounds,£ million,,,,
E92000001,England,Nation,Value of UK exports,2022-01-01/P1Y,656648.0,Pounds,£ million,,,,
E92000001,England,Nation,Value of UK exports,2019-01-01/P1Y,548072.0,Pounds,£ million,,,,
E92000001,England,Nation,Value of UK exports,2020-01-01/P1Y,490922.0,Pounds,£ million,,,,
E47000006,Tees Valley,Combined Authority or City Region,Value of UK exports,2019-01-01/P1Y,6117.0,Pounds,£ million,,,,
E47000006,Tees Valley,Combined Authority or City Region,Value of UK exports,2020-01-01/P1Y,6340.0,Pounds,£ million,,,,
E47000006,Tees Valley,Combined Authority or City Region,Value of UK exports,2021-01-01/P1Y,,Pounds,£ million,,,c,
E47000006,Tees Valley,Combined Authority or City Region,Value of UK exports,2022-01-01/P1Y,,Pounds,£ million,,,c,
E47000006,Tees Valley,Combined Authority or City Region,Value of UK exports,2023-01-01/P1Y,,Pounds,£ million,,,c,
E47000011,North of Tyne,Combined Authority or City Region,Value of UK exports,2023-01-01/P1Y,6150.0,Pounds,£ million,,,,Obsolete code since 2018 (replaced by E47000014 North East)
E47000011,North of Tyne,Combined Authority or City Region,Value of UK exports,2021-01-01/P1Y,4689.0,Pounds,£ million,,,,Obsolete code since 2018 (replaced by E47000014 North East)
E47000011,North of Tyne,Combined Authority or City Region,Value of UK exports,2022-01-01/P1Y,5356.0,Pounds,£ million,,,,Obsolete code since 2018 (replaced by E47000014 North East)
E47000011,North of Tyne,Combined Authority or City Region,Value of UK exports,2019-01-01/P1Y,4374.0,Pounds,£ million,,,,Obsolete code since 2018 (replaced by E47000014 North East)
E47000011,North of Tyne,Combined Authority or City Region,Value of UK exports,2020-01-01/P1Y,3770.0,Pounds,£ million,,,,Obsolete code since 2018 (replaced by E47000014 North East)
E47000001,Greater Manchester,Combined Authority or City Region,Value of UK exports,2019-01-01/P1Y,15668.0,Pounds,£ million,,,,
E47000001,Greater Manchester,Combined Authority or City Region,Value of UK exports,2020-01-01/P1Y,13976.0,Pounds,£ million,,,,
E47000001,Greater Manchester,Combined Authority or City Region,Value of UK exports,2021-01-01/P1Y,15631.0,Pounds,£ million,,,,
E47000001,Greater Manchester,Combined Authority or City Region,Value of UK exports,2022-01-01/P1Y,21691.0,Pounds,£ million,,,,
E47000001,Greater Manchester,Combined Authority or City Region,Value of UK exports,2023-01-01/P1Y,22482.0,Pounds,£ million,,,,
E47000004,Liverpool City Region,Combined Authority or City Region,Value of UK exports,2021-01-01/P1Y,9876.0,Pounds,£ million,,,,
E47000004,Liverpool City Region,Combined Authority or City Region,Value of UK exports,2023-01-01/P1Y,11899.0,Pounds,£ million,,,,
E47000004,Liverpool City Region,Combined Authority or City Region,Value of UK exports,2022-01-01/P1Y,11639.0,Pounds,£ million,,,,
E47000004,Liverpool City Region,Combined Authority or City Region,Value of UK exports,2020-01-01/P1Y,8053.0,Pounds,£ million,,,,
E47000004,Liverpool City Region,Combined Authority or City Region,Value of UK exports,2019-01-01/P1Y,10105.0,Pounds,£ million,,,,
E47000002,South Yorkshire,Combined Authority or City Region,Value of UK exports,2019-01-01/P1Y,5926.0,Pounds,£ million,,,,
E47000002,South Yorkshire,Combined Authority or City Region,Value of UK exports,2020-01-01/P1Y,5093.0,Pounds,£ million,,,,
E47000002,South Yorkshire,Combined Authority or City Region,Value of UK exports,2021-01-01/P1Y,5596.0,Pounds,£ million,,,,
E47000002,South Yorkshire,Combined Authority or City Region,Value of UK exports,2022-01-01/P1Y,7465.0,Pounds,£ million,,,,
E47000002,South Yorkshire,Combined Authority or City Region,Value of UK exports,2023-01-01/P1Y,,Pounds,£ million,,,c,
E47000003,West Yorkshire,Combined Authority or City Region,Value of UK exports,2022-01-01/P1Y,16531.0,Pounds,£ million,,,,
E47000003,West Yorkshire,Combined Authority or City Region,Value of UK exports,2021-01-01/P1Y,12728.0,Pounds,£ million,,,,
E47000003,West Yorkshire,Combined Authority or City Region,Value of UK exports,2023-01-01/P1Y,17322.0,Pounds,£ million,,,,
E47000003,West Yorkshire,Combined Authority or City Region,Value of UK exports,2019-01-01/P1Y,13384.0,Pounds,£ million,,,,
E47000003,West Yorkshire,Combined Authority or City Region,Value of UK exports,2020-01-01/P1Y,10756.0,Pounds,£ million,,,,
E47000007,West Midlands,Combined Authority or City Region,Value of UK exports,2019-01-01/P1Y,25138.0,Pounds,£ million,,,,
E47000007,West Midlands,Combined Authority or City Region,Value of UK exports,2020-01-01/P1Y,18740.0,Pounds,£ million,,,,
E47000007,West Midlands,Combined Authority or City Region,Value of UK exports,2021-01-01/P1Y,20296.0,Pounds,£ million,,,,
E47000007,West Midlands,Combined Authority or City Region,Value of UK exports,2022-01-01/P1Y,26073.0,Pounds,£ million,,,,
E47000007,West Midlands,Combined Authority or City Region,Value of UK exports,2023-01-01/P1Y,28575.0,Pounds,£ million,,,,
E47000008,Cambridgeshire and Peterborough,Combined Authority or City Region,Value of UK exports,2021-01-01/P1Y,16330.0,Pounds,£ million,,,,
