AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
TLD63,Cheshire West and Chester,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,5568.0,Pounds,£ million,,,,1,
TLD7,Merseyside,ITL Level 2,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,9876.0,Pounds,£ million,,,,1,
E47000004,Liverpool City Region,Combined Authority or City Region,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,9876.0,Pounds,£ million,,,,1,
TLD71,East Merseyside,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,4670.0,Pounds,£ million,,,,1,
TLD72,Liverpool,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,3236.0,Pounds,£ million,,,,1,
TLD73,Sefton,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1113.0,Pounds,£ million,,,,1,
TLD74,Wirral,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,857.0,Pounds,£ million,,,,1,
TLE,Yorkshire and The Humber,ITL Level 1,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,29267.0,Pounds,£ million,,,,1,
TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,7674.0,Pounds,£ million,,,,1,
TLE11,"Kingston upon Hull, City of",ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1376.0,Pounds,£ million,,,,1,
TLE12,East Riding of Yorkshire,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1349.0,Pounds,£ million,,,,1,
