AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
k02000001,united-kingdom,country,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,4.94,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
k03000001,great-britain,country,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,4.94,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
k04000001,england-and-wales,country,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,4.56,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
e92000001,england,nation,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,4.45,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
e12000001,north-east,region,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,3.97,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
e47000006,tees-valley,combined-authority-or-city-region,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,2.51,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
e47000014,north-east,combined-authority-or-city-region,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,4.47,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
e06000047,county-durham,county-or-unitary-authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,3.45,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
e06000005,darlington,county-or-unitary-authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,1.86,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
e06000001,hartlepool,county-or-unitary-authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,4.33,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
e06000002,middlesbrough,county-or-unitary-authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,2.78,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
e06000057,northumberland,county-or-unitary-authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,13.73,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
e06000003,redcar-and-cleveland,county-or-unitary-authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,4.39,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
e06000004,stockton-on-tees,county-or-unitary-authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,0.51,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
e08000037,gateshead,local-authority-district,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,1.02,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
e08000021,newcastle-upon-tyne,local-authority-district,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,3.0,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
e08000022,north-tyneside,local-authority-district,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,1.91,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
e08000023,south-tyneside,local-authority-district,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30t00-00-00,2.71,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
