Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
aberdeen-city-region,Aberdeen City Region,aberdeen-city-region,,0,
bedfordshire-and-hertfordshire,Bedfordshire and Hertfordshire,bedfordshire-and-hertfordshire,,1,
berkshire-buckinghamshire-and-oxfordshire,"Berkshire, Buckinghamshire and Oxfordshire",berkshire-buckinghamshire-and-oxfordshire,,2,
cambridgeshire-and-peterborough,Cambridgeshire and Peterborough,cambridgeshire-and-peterborough,,3,
cardiff-capital-region,Cardiff Capital Region,cardiff-capital-region,,4,
cheshire,Cheshire,cheshire,,5,
cornwall-and-isles-of-scilly,Cornwall and Isles of Scilly,cornwall-and-isles-of-scilly,,6,
cumbria,Cumbria,cumbria,,7,
derbyshire-and-nottinghamshire,Derbyshire and Nottinghamshire,derbyshire-and-nottinghamshire,,8,
devon,Devon,devon,,9,
dorset-and-somerset,Dorset and Somerset,dorset-and-somerset,,10,
east-anglia,East Anglia,east-anglia,,11,
east-midlands,East Midlands,east-midlands,,12,
east-wales,East Wales,east-wales,,13,
east-yorkshire-and-northern-lincolnshire,East Yorkshire and Northern Lincolnshire,east-yorkshire-and-northern-lincolnshire,,14,
east-of-england,East of England,east-of-england,,15,
eastern-scotland,Eastern Scotland,eastern-scotland,,16,
edinburgh-and-south-east-scotland-city-region,Edinburgh and South East Scotland City Region,edinburgh-and-south-east-scotland-city-region,,17,
essex,Essex,essex,,18,
glasgow-city-region,Glasgow City Region,glasgow-city-region,,19,
gloucestershire-wiltshire-and-bath/bristol-area,"Gloucestershire, Wiltshire and Bath/Bristol area",gloucestershire-wiltshire-and-bath/bristol-area,,20,
greater-manchester,Greater Manchester,greater-manchester,,21,
hampshire-and-isle-of-wight,Hampshire and Isle of Wight,hampshire-and-isle-of-wight,,22,
herefordshire-worcestershire-and-warwickshire,"Herefordshire, Worcestershire and Warwickshire",herefordshire-worcestershire-and-warwickshire,,23,
highlands-and-islands,Highlands and Islands,highlands-and-islands,,24,
inner-london-east,Inner London - East,inner-london-east,,25,
inner-london-west,Inner London - West,inner-london-west,,26,
kent,Kent,kent,,27,
lancashire,Lancashire,lancashire,,28,
leicestershire-rutland-and-northamptonshire,"Leicestershire, Rutland and Northamptonshire",leicestershire-rutland-and-northamptonshire,,29,
lincolnshire,Lincolnshire,lincolnshire,,30,
liverpool-city-region,Liverpool City Region,liverpool-city-region,,31,
london,London,london,,32,
merseyside,Merseyside,merseyside,,33,
north-east,North East,north-east,,34,
north-eastern-scotland,North Eastern Scotland,north-eastern-scotland,,35,
north-west,North West,north-west,,36,
north-yorkshire,North Yorkshire,north-yorkshire,,37,
north-of-tyne,North of Tyne,north-of-tyne,,38,
northern-ireland,Northern Ireland,northern-ireland,,39,
northumberland-and-tyne-and-wear,"Northumberland, and Tyne and Wear",northumberland-and-tyne-and-wear,,40,
outer-london-east-and-north-east,Outer London - East and North East,outer-london-east-and-north-east,,41,
outer-london-south,Outer London - South,outer-london-south,,42,
outer-london-west-and-north-west,Outer London - West and North West,outer-london-west-and-north-west,,43,
scotland,Scotland,scotland,,44,
shropshire-and-staffordshire,Shropshire and Staffordshire,shropshire-and-staffordshire,,45,
south-east-england,South East (England),south-east-england,,46,
south-west-england,South West (England),south-west-england,,47,
south-yorkshire,South Yorkshire,south-yorkshire,,48,
southern-scotland,Southern Scotland,southern-scotland,,49,
surrey-east-and-west-sussex,"Surrey, East and West Sussex",surrey-east-and-west-sussex,,50,
swansea-bay-city-region,Swansea Bay City Region,swansea-bay-city-region,,51,
tees-valley,Tees Valley,tees-valley,,52,
tees-valley-and-durham,Tees Valley and Durham,tees-valley-and-durham,,53,
uk-not-allocated,UK not allocated,uk-not-allocated,,54,
united-kingdom,United Kingdom,united-kingdom,,55,
wales,Wales,wales,,56,
west-central-scotland,West Central Scotland,west-central-scotland,,57,
west-midlands,West Midlands,west-midlands,,58,
west-wales-and-the-valleys,West Wales and The Valleys,west-wales-and-the-valleys,,59,
west-yorkshire,West Yorkshire,west-yorkshire,,60,
west-of-england,West of England,west-of-england,,61,
yorkshire-and-the-humber,Yorkshire and The Humber,yorkshire-and-the-humber,,62,
