indicator,areacd,areanm,geography,observation,unit,measure,period,lower_confidence_interval_95,upper_confidence_interval_95,observation_status
inward-foreign-direct-investment-fdi,k02000001,united-kingdom,country,2002355.0,£ million,Pounds,2021,,,
inward-foreign-direct-investment-fdi,k02000001,united-kingdom,country,1919232.0,£ million,Pounds,2020,,,
inward-foreign-direct-investment-fdi,k02000001,united-kingdom,country,1640641.0,£ million,Pounds,2019,,,
inward-foreign-direct-investment-fdi,k02000001,united-kingdom,country,1572819.0,£ million,Pounds,2018,,,
inward-foreign-direct-investment-fdi,k02000001,united-kingdom,country,1392497.0,£ million,Pounds,2017,,,
inward-foreign-direct-investment-fdi,k02000001,united-kingdom,country,1187303.0,£ million,Pounds,2016,,,
inward-foreign-direct-investment-fdi,k02000001,united-kingdom,country,1032534.0,£ million,Pounds,2015,,,
inward-foreign-direct-investment-fdi,k99000001,uk-not-allocated,itl-level-1,87590.0,£ million,Pounds,2021,,,
inward-foreign-direct-investment-fdi,k99000001,uk-not-allocated,itl-level-1,87535.0,£ million,Pounds,2020,,,
inward-foreign-direct-investment-fdi,k99000001,uk-not-allocated,itl-level-1,176852.0,£ million,Pounds,2019,,,
inward-foreign-direct-investment-fdi,k99000001,uk-not-allocated,itl-level-1,185836.0,£ million,Pounds,2018,,,
inward-foreign-direct-investment-fdi,k99000001,uk-not-allocated,itl-level-1,143348.0,£ million,Pounds,2017,,,
inward-foreign-direct-investment-fdi,k99000001,uk-not-allocated,itl-level-1,79168.0,£ million,Pounds,2016,,,
inward-foreign-direct-investment-fdi,k99000001,uk-not-allocated,itl-level-1,31485.0,£ million,Pounds,2015,,,
inward-foreign-direct-investment-fdi,tlc,north-east,itl-level-1,15280.0,£ million,Pounds,2015,,,
inward-foreign-direct-investment-fdi,tlc,north-east,itl-level-1,23311.0,£ million,Pounds,2017,,,
inward-foreign-direct-investment-fdi,tlc,north-east,itl-level-1,23162.0,£ million,Pounds,2019,,,
inward-foreign-direct-investment-fdi,tlc,north-east,itl-level-1,30640.0,£ million,Pounds,2020,,,
inward-foreign-direct-investment-fdi,tlc,north-east,itl-level-1,27934.0,£ million,Pounds,2021,,,
inward-foreign-direct-investment-fdi,tlc,north-east,itl-level-1,17231.0,£ million,Pounds,2016,,,
inward-foreign-direct-investment-fdi,tlc,north-east,itl-level-1,24261.0,£ million,Pounds,2018,,,
inward-foreign-direct-investment-fdi,tlc1,tees-valley-and-durham,itl-level-2,6083.0,£ million,Pounds,2015,,,
inward-foreign-direct-investment-fdi,tlc1,tees-valley-and-durham,itl-level-2,13050.0,£ million,Pounds,2017,,,
inward-foreign-direct-investment-fdi,tlc1,tees-valley-and-durham,itl-level-2,5929.0,£ million,Pounds,2016,,,
inward-foreign-direct-investment-fdi,tlc1,tees-valley-and-durham,itl-level-2,10653.0,£ million,Pounds,2019,,,
inward-foreign-direct-investment-fdi,tlc1,tees-valley-and-durham,itl-level-2,7812.0,£ million,Pounds,2020,,,
inward-foreign-direct-investment-fdi,tlc1,tees-valley-and-durham,itl-level-2,7448.0,£ million,Pounds,2021,,,
inward-foreign-direct-investment-fdi,tlc1,tees-valley-and-durham,itl-level-2,12828.0,£ million,Pounds,2018,,,
inward-foreign-direct-investment-fdi,e47000006,tees-valley,combined-authority-or-city-region,9740.0,£ million,Pounds,2017,,,
inward-foreign-direct-investment-fdi,e47000006,tees-valley,combined-authority-or-city-region,5549.0,£ million,Pounds,2021,,,
inward-foreign-direct-investment-fdi,e47000006,tees-valley,combined-authority-or-city-region,6006.0,£ million,Pounds,2020,,,
inward-foreign-direct-investment-fdi,e47000006,tees-valley,combined-authority-or-city-region,8725.0,£ million,Pounds,2019,,,
inward-foreign-direct-investment-fdi,e47000006,tees-valley,combined-authority-or-city-region,4423.0,£ million,Pounds,2015,,,
inward-foreign-direct-investment-fdi,e47000006,tees-valley,combined-authority-or-city-region,4587.0,£ million,Pounds,2016,,,
inward-foreign-direct-investment-fdi,e47000006,tees-valley,combined-authority-or-city-region,9882.0,£ million,Pounds,2018,,,
inward-foreign-direct-investment-fdi,tlc2,northumberland-and-tyne-and-wear,itl-level-2,22828.0,£ million,Pounds,2020,,,
inward-foreign-direct-investment-fdi,tlc2,northumberland-and-tyne-and-wear,itl-level-2,12510.0,£ million,Pounds,2019,,,
