Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
gregorian-interval/2001-01-01t00-00-00/p3y,gregorian-interval/2001-01-01T00:00:00/P3Y,gregorian-interval/2001-01-01t00-00-00/p3y,,0,,http://reference.data.gov.uk/id/gregorian-interval/2001-01-01T00:00:00/P3Y
gregorian-interval/2002-01-01t00-00-00/p3y,gregorian-interval/2002-01-01T00:00:00/P3Y,gregorian-interval/2002-01-01t00-00-00/p3y,,1,,http://reference.data.gov.uk/id/gregorian-interval/2002-01-01T00:00:00/P3Y
gregorian-interval/2003-01-01t00-00-00/p3y,gregorian-interval/2003-01-01T00:00:00/P3Y,gregorian-interval/2003-01-01t00-00-00/p3y,,2,,http://reference.data.gov.uk/id/gregorian-interval/2003-01-01T00:00:00/P3Y
gregorian-interval/2004-01-01t00-00-00/p3y,gregorian-interval/2004-01-01T00:00:00/P3Y,gregorian-interval/2004-01-01t00-00-00/p3y,,3,,http://reference.data.gov.uk/id/gregorian-interval/2004-01-01T00:00:00/P3Y
gregorian-interval/2005-01-01t00-00-00/p3y,gregorian-interval/2005-01-01T00:00:00/P3Y,gregorian-interval/2005-01-01t00-00-00/p3y,,4,,http://reference.data.gov.uk/id/gregorian-interval/2005-01-01T00:00:00/P3Y
gregorian-interval/2006-01-01t00-00-00/p3y,gregorian-interval/2006-01-01T00:00:00/P3Y,gregorian-interval/2006-01-01t00-00-00/p3y,,5,,http://reference.data.gov.uk/id/gregorian-interval/2006-01-01T00:00:00/P3Y
gregorian-interval/2007-01-01t00-00-00/p3y,gregorian-interval/2007-01-01T00:00:00/P3Y,gregorian-interval/2007-01-01t00-00-00/p3y,,6,,http://reference.data.gov.uk/id/gregorian-interval/2007-01-01T00:00:00/P3Y
gregorian-interval/2008-01-01t00-00-00/p3y,gregorian-interval/2008-01-01T00:00:00/P3Y,gregorian-interval/2008-01-01t00-00-00/p3y,,7,,http://reference.data.gov.uk/id/gregorian-interval/2008-01-01T00:00:00/P3Y
gregorian-interval/2009-01-01t00-00-00/p3y,gregorian-interval/2009-01-01T00:00:00/P3Y,gregorian-interval/2009-01-01t00-00-00/p3y,,8,,http://reference.data.gov.uk/id/gregorian-interval/2009-01-01T00:00:00/P3Y
gregorian-interval/2010-01-01t00-00-00/p3y,gregorian-interval/2010-01-01T00:00:00/P3Y,gregorian-interval/2010-01-01t00-00-00/p3y,,9,,http://reference.data.gov.uk/id/gregorian-interval/2010-01-01T00:00:00/P3Y
gregorian-interval/2011-01-01t00-00-00/p3y,gregorian-interval/2011-01-01T00:00:00/P3Y,gregorian-interval/2011-01-01t00-00-00/p3y,,10,,http://reference.data.gov.uk/id/gregorian-interval/2011-01-01T00:00:00/P3Y
gregorian-interval/2012-01-01t00-00-00/p3y,gregorian-interval/2012-01-01T00:00:00/P3Y,gregorian-interval/2012-01-01t00-00-00/p3y,,11,,http://reference.data.gov.uk/id/gregorian-interval/2012-01-01T00:00:00/P3Y
gregorian-interval/2013-01-01t00-00-00/p3y,gregorian-interval/2013-01-01T00:00:00/P3Y,gregorian-interval/2013-01-01t00-00-00/p3y,,12,,http://reference.data.gov.uk/id/gregorian-interval/2013-01-01T00:00:00/P3Y
gregorian-interval/2014-01-01t00-00-00/p3y,gregorian-interval/2014-01-01T00:00:00/P3Y,gregorian-interval/2014-01-01t00-00-00/p3y,,13,,http://reference.data.gov.uk/id/gregorian-interval/2014-01-01T00:00:00/P3Y
gregorian-interval/2015-01-01t00-00-00/p3y,gregorian-interval/2015-01-01T00:00:00/P3Y,gregorian-interval/2015-01-01t00-00-00/p3y,,14,,http://reference.data.gov.uk/id/gregorian-interval/2015-01-01T00:00:00/P3Y
gregorian-interval/2016-01-01t00-00-00/p3y,gregorian-interval/2016-01-01T00:00:00/P3Y,gregorian-interval/2016-01-01t00-00-00/p3y,,15,,http://reference.data.gov.uk/id/gregorian-interval/2016-01-01T00:00:00/P3Y
gregorian-interval/2017-01-01t00-00-00/p3y,gregorian-interval/2017-01-01T00:00:00/P3Y,gregorian-interval/2017-01-01t00-00-00/p3y,,16,,http://reference.data.gov.uk/id/gregorian-interval/2017-01-01T00:00:00/P3Y
year/2001,year/2001,year/2001,,17,,http://reference.data.gov.uk/id/year/2001
year/2002,year/2002,year/2002,,18,,http://reference.data.gov.uk/id/year/2002
year/2003,year/2003,year/2003,,19,,http://reference.data.gov.uk/id/year/2003
year/2004,year/2004,year/2004,,20,,http://reference.data.gov.uk/id/year/2004
year/2005,year/2005,year/2005,,21,,http://reference.data.gov.uk/id/year/2005
year/2006,year/2006,year/2006,,22,,http://reference.data.gov.uk/id/year/2006
year/2007,year/2007,year/2007,,23,,http://reference.data.gov.uk/id/year/2007
year/2008,year/2008,year/2008,,24,,http://reference.data.gov.uk/id/year/2008
year/2009,year/2009,year/2009,,25,,http://reference.data.gov.uk/id/year/2009
year/2010,year/2010,year/2010,,26,,http://reference.data.gov.uk/id/year/2010
year/2011,year/2011,year/2011,,27,,http://reference.data.gov.uk/id/year/2011
year/2012,year/2012,year/2012,,28,,http://reference.data.gov.uk/id/year/2012
year/2013,year/2013,year/2013,,29,,http://reference.data.gov.uk/id/year/2013
year/2014,year/2014,year/2014,,30,,http://reference.data.gov.uk/id/year/2014
year/2015,year/2015,year/2015,,31,,http://reference.data.gov.uk/id/year/2015
year/2016,year/2016,year/2016,,32,,http://reference.data.gov.uk/id/year/2016
year/2017,year/2017,year/2017,,33,,http://reference.data.gov.uk/id/year/2017
year/2018,year/2018,year/2018,,34,,http://reference.data.gov.uk/id/year/2018
year/2019,year/2019,year/2019,,35,,http://reference.data.gov.uk/id/year/2019
year/2020,year/2020,year/2020,,36,,http://reference.data.gov.uk/id/year/2020
