AREANM,AREACD,Period,Observation
belmont_2,95gg09s2,1998,24.67
belmont_3,95gg09s3,1998,20.86
blackstaff_1,95gg10s1,1998,138.307
blackstaff_2,95gg10s2,1998,4.164
bloomfield_1_belfast,95gg11s1,1998,46.93
bloomfield_2_belfast,95gg11s2,1998,5.591
bloomfield_3_belfast,95gg11s3,1998,3.498
botanic_1,95gg12s1,1998,59.294
botanic_2,95gg12s2,1998,24.382
botanic_3,95gg12s3,1998,4.682
botanic_4,95gg12s4,1998,92.637
botanic_5,95gg12s5,1998,26.096
castleview_1,95gg13s1,1998,2.984
castleview_2,95gg13s2,1998,5.139
castleview_3,95gg13s3,1998,4.856
cavehill_1,95gg14s1,1998,9.997
cavehill_2,95gg14s2,1998,1.475
cavehill_3,95gg14s3,1998,5.069
cherryvalley_1,95gg15s1,1998,13.955
cherryvalley_2,95gg15s2,1998,9.065
cherryvalley_3,95gg15s3,1998,7.281
chichester-park_1,95gg16s1,1998,17.02
chichester-park_2,95gg16s2,1998,10.775
chichester-park_3,95gg16s3,1998,17.02
cliftonville_1,95gg17s1,1998,4.483
cliftonville_2,95gg17s2,1998,8.108
cliftonville_3,95gg17s3,1998,2.87
clonard_1,95gg18s1,1998,92.147
clonard_2,95gg18s2,1998,17.998
crumlin_1_belfast,95gg19s1,1998,13.203
crumlin_2_belfast,95gg19s2,1998,15.118
duncairn_1,95gg20s1,1998,618.223
duncairn_2,95gg20s2,1998,17.307
falls_1,95gg21s1,1998,92.147
falls_2,95gg21s2,1998,7.123
falls_3,95gg21s3,1998,143.432
falls-park_1,95gg22s1,1998,49.532
falls-park_2,95gg22s2,1998,5.105
falls-park_3,95gg22s3,1998,3.981
finaghy_1,95gg23s1,1998,0.625
finaghy_2,95gg23s2,1998,8.026
finaghy_3,95gg23s3,1998,8.043
fortwilliam_1,95gg24s1,1998,8.008
fortwilliam_2,95gg24s2,1998,3.374
fortwilliam_3,95gg24s3,1998,14.682
glen-road_1,95gg25s1,1998,8.657
glen-road_2,95gg25s2,1998,3.981
glen-road_3,95gg25s3,1998,1.32
glencairn_1,95gg26s1,1998,4.846
glencairn_2,95gg26s2,1998,3.415
glencolin_1,95gg27s1,1998,6.936
glencolin_2,95gg27s2,1998,1.255
glencolin_3,95gg27s3,1998,2.587
glencolin_4,95gg27s4,1998,2.01
highfield_1,95gg28s1,1998,4.77
highfield_2,95gg28s2,1998,10.27
highfield_3,95gg28s3,1998,1.425
island_1,95gg29s1,1998,592.357
island_2,95gg29s2,1998,32.97
knock_1,95gg30s1,1998,5.132
knock_2,95gg30s2,1998,79.827
knock_3,95gg30s3,1998,4.05
ladybrook_1,95gg31s1,1998,7.414
ladybrook_2,95gg31s2,1998,11.374
ladybrook_3,95gg31s3,1998,4.574
legoniel_1,95gg32s1,1998,5.303
legoniel_2,95gg32s2,1998,4.67
legoniel_3,95gg32s3,1998,5.89
malone_1,95gg33s1,1998,36.067
malone_2,95gg33s2,1998,17.224
malone_3,95gg33s3,1998,16.877
musgrave_1,95gg34s1,1998,5.261
musgrave_2,95gg34s2,1998,3.757
musgrave_3,95gg34s3,1998,72.106
new-lodge_1,95gg35s1,1998,83.398
new-lodge_2,95gg35s2,1998,1.272
new-lodge_3,95gg35s3,1998,1.943
orangefield_1,95gg36s1,1998,12.99
orangefield_2,95gg36s2,1998,12.789
orangefield_3,95gg36s3,1998,14.153
ravenhill_1,95gg37s1,1998,18.22
ravenhill_2,95gg37s2,1998,16.639
ravenhill_3,95gg37s3,1998,4.057
rosetta_1,95gg38s1,1998,18.544
rosetta_2,95gg38s2,1998,14.41
rosetta_3,95gg38s3,1998,8.618
shaftesbury_1,95gg39s1,1998,1201.544
shaftesbury_2,95gg39s2,1998,245.798
shaftesbury_3,95gg39s3,1998,59.294
shankill_1,95gg40s1,1998,2.046
shankill_2,95gg40s2,1998,20.209
stormont_1,95gg41s1,1998,79.827
stormont_2,95gg41s2,1998,27.832
stormont_3,95gg41s3,1998,9.653
stranmillis_1,95gg42s1,1998,11.821
stranmillis_2,95gg42s2,1998,1.225
stranmillis_3,95gg42s3,1998,25.347
stranmillis_4,95gg42s4,1998,21.907
sydenham_1,95gg43s1,1998,221.679
sydenham_2,95gg43s2,1998,2.837
sydenham_3,95gg43s3,1998,4.004
the-mount_1,95gg44s1,1998,14.739
the-mount_2,95gg44s2,1998,11.232
upper-malone_1,95gg45s1,1998,50.343
upper-malone_2,95gg45s2,1998,4.237
upper-malone_3,95gg45s3,1998,5.554
upper-springfield_1,95gg46s1,1998,5.643
upper-springfield_2,95gg46s2,1998,1.012
upper-springfield_3,95gg46s3,1998,1.384
water-works_1,95gg47s1,1998,42.127
water-works_2,95gg47s2,1998,3.661
water-works_3,95gg47s3,1998,13.162
whiterock_1,95gg48s1,1998,5.908
whiterock_2,95gg48s2,1998,3.674
whiterock_3,95gg48s3,1998,2.158
windsor_1,95gg49s1,1998,48.071
windsor_2,95gg49s2,1998,25.643
windsor_3,95gg49s3,1998,19.532
windsor_4,95gg49s4,1998,4.856
woodstock_1,95gg50s1,1998,2.918
woodstock_2,95gg50s2,1998,13.116
woodstock_3,95gg50s3,1998,14.026
woodvale_1,95gg51s1,1998,1.221
woodvale_2,95gg51s2,1998,7.757
woodvale_3,95gg51s3,1998,0.54
blackhead,95hh01w1,1998,6.105
bluefield_1,95hh02s1,1998,4.984
bluefield_2,95hh02s2,1998,0.468
boneybefore,95hh03w1,1998,6.27
burleigh-hill_1,95hh04s1,1998,3.336
burleigh-hill_2,95hh04s2,1998,9.823
clipperstown,95hh05w1,1998,7.567
eden_1,95hh06s1,1998,39.757
eden_2,95hh06s2,1998,7.601
gortalee,95hh07w1,1998,0.809
greenisland,95hh08w1,1998,76.192
killycrot,95hh09w1,1998,40.948
knockagh,95hh10w1,1998,8.037
love-lane,95hh11w1,1998,2.194
milebush,95hh12w1,1998,3.577
northland,95hh13w1,1998,1.606
sunnylands,95hh14w1,1998,4.033
victoria_carrickfergus,95hh15w1,1998,12.766
whitehead,95hh16w1,1998,7.251
woodburn,95hh17w1,1998,8.191
ballyhanwood_1,95ii01s1,1998,7.614
ballyhanwood_2,95ii01s2,1998,13.602
beechill_1,95ii02s1,1998,53.399
beechill_2,95ii02s2,1998,22.034
beechill_3,95ii02s3,1998,6.748
cairnshill_1,95ii03s1,1998,6.216
cairnshill_2,95ii03s2,1998,7.644
carrowreagh_1,95ii04s1,1998,28.864
carrowreagh_2,95ii04s2,1998,4.398
carryduff-east_1,95ii05s1,1998,15.445
carryduff-east_2,95ii05s2,1998,27.671
carryduff-west_1,95ii06s1,1998,8.195
carryduff-west_2,95ii06s2,1998,7.266
cregagh,95ii07w1,1998,5.767
downshire,95ii08w1,1998,36.818
dundonald_1,95ii09s1,1998,58.304
dundonald_2,95ii09s2,1998,3.725
