AREANM,AREACD,Period,Observation
collinbridge_2,95ww11s2,2002,16.792
coole,95ww12w1,2002,10.526
doagh_1,95ww13s1,2002,32.273
doagh_2,95ww13s2,2002,12.62
dunanney,95ww14w1,2002,22.295
glebe_1_newtownabbey,95ww15s1,2002,19.006
glebe_2_newtownabbey,95ww15s2,2002,5.561
glengormley_1,95ww16s1,2002,9.903
glengormley_2,95ww16s2,2002,6.333
hawthorne,95ww17w1,2002,15.007
hightown,95ww18w1,2002,15.57
jordanstown_1,95ww19s1,2002,8.597
jordanstown_2,95ww19s2,2002,7.041
jordanstown_3,95ww19s3,2002,7.944
mallusk_1,95ww20s1,2002,27.671
mallusk_2,95ww20s2,2002,374.007
mallusk_3,95ww20s3,2002,44.828
monkstown_1,95ww21s1,2002,24.37
monkstown_2,95ww21s2,2002,5.844
mossley_1,95ww22s1,2002,38.027
mossley_2,95ww22s2,2002,2.301
rostulla_1,95ww23s1,2002,9.829
rostulla_2,95ww23s2,2002,38.027
valley_1,95ww24s1,2002,34.539
valley_2,95ww24s2,2002,38.745
whitehouse,95ww25w1,2002,10.436
ballycrochan_1,95xx01s1,2002,1.186
ballycrochan_2,95xx01s2,2002,5.792
ballycrochan_3,95xx01s3,2002,4.0
ballyholme,95xx02w1,2002,16.631
ballymaconnell_1,95xx03s1,2002,7.008
ballymaconnell_2,95xx03s2,2002,6.554
ballymagee_1,95xx04s1,2002,4.249
ballymagee_2,95xx04s2,2002,5.332
bangor-castle,95xx05w1,2002,79.568
bloomfield_1_northdown,95xx06s1,2002,71.02
bloomfield_2_northdown,95xx06s2,2002,11.832
broadway_1,95xx07s1,2002,4.471
broadway_2,95xx07s2,2002,5.475
bryansburn_1,95xx08s1,2002,8.487
bryansburn_2,95xx08s2,2002,16.076
churchill_1,95xx09s1,2002,6.793
churchill_2,95xx09s2,2002,7.076
clandeboye_1,95xx10s1,2002,8.542
clandeboye_2,95xx10s2,2002,25.53
clandeboye_3,95xx10s3,2002,5.157
conlig_1,95xx11s1,2002,9.012
conlig_2,95xx11s2,2002,160.208
conlig_3,95xx11s3,2002,3.031
craigavad,95xx12w1,2002,25.282
crawfordsburn,95xx13w1,2002,13.384
cultra,95xx14w1,2002,20.188
dufferin,95xx15w1,2002,5.723
groomsport,95xx16w1,2002,7.733
harbour_1,95xx17s1,2002,45.753
harbour_2,95xx17s2,2002,7.902
holywood-demesne,95xx18w1,2002,87.462
holywood-priory,95xx19w1,2002,28.134
loughview_1,95xx20s1,2002,5.189
loughview_2,95xx20s2,2002,6.351
princetown,95xx21w1,2002,12.585
rathgael,95xx22w1,2002,7.179
silverstream,95xx23w1,2002,7.005
springhill_1,95xx24s1,2002,1.184
springhill_2,95xx24s2,2002,7.226
whitehill,95xx25w1,2002,3.493
beragh,95yy01w1,2002,57.274
camowen,95yy02w1,2002,13.221
clanabogan,95yy03w1,2002,13.219
coolnagard,95yy04w1,2002,36.06
dergmoney,95yy05w1,2002,71.374
dromore,95yy06w1,2002,35.014
drumnakilly,95yy07w1,2002,24.728
drumquin,95yy08w1,2002,12.775
drumragh,95yy09w1,2002,68.745
fairy-water,95yy10w1,2002,19.686
fintona,95yy11w1,2002,15.892
gortin,95yy12w1,2002,35.676
gortrush_1,95yy13s1,2002,0.635
gortrush_2,95yy13s2,2002,40.627
killyclogher_1,95yy14s1,2002,10.547
killyclogher_2,95yy14s2,2002,2.23
lisanelly_1,95yy15s1,2002,57.092
lisanelly_2,95yy15s2,2002,3.7
newtownsaville,95yy16w1,2002,21.362
owenkillew,95yy17w1,2002,8.001
sixmilecross,95yy18w1,2002,8.298
strule,95yy19w1,2002,17.6
termon,95yy20w1,2002,31.254
trillick,95yy21w1,2002,15.28
artigarvan,95zz01w1,2002,28.073
ballycolman,95zz02w1,2002,5.091
castlederg,95zz03w1,2002,11.942
clare,95zz04w1,2002,23.075
dunnamanagh,95zz05w1,2002,10.128
east,95zz06w1,2002,12.555
finn,95zz07w1,2002,8.994
glenderg,95zz08w1,2002,10.283
newtownstewart,95zz09w1,2002,17.195
north,95zz10w1,2002,53.451
plumbridge,95zz11w1,2002,7.682
sion-mills,95zz12w1,2002,7.442
slievekirk,95zz13w1,2002,12.712
south_1,95zz14s1,2002,25.13
south_2,95zz14s2,2002,4.985
victoria-bridge,95zz15w1,2002,17.83
west_1,95zz16s1,2002,4.384
west_2,95zz16s2,2002,26.349
aldergrove_1,95aa01s1,2003,140.893
aldergrove_2,95aa01s2,2003,43.464
aldergrove_3,95aa01s3,2003,45.213
balloo,95aa02w1,2003,3.98
ballycraigy,95aa03w1,2003,4.754
clady,95aa04w1,2003,40.386
cranfield,95aa05w1,2003,12.872
crumlin_1_antrim,95aa06s1,2003,21.116
crumlin_2_antrim,95aa06s2,2003,11.961
drumanaway,95aa07w1,2003,11.585
farranshane,95aa08w1,2003,79.547
fountain-hill,95aa09w1,2003,17.079
greystone_antrim,95aa10w1,2003,5.204
massereene_1,95aa11s1,2003,87.382
massereene_2,95aa11s2,2003,97.057
parkgate,95aa12w1,2003,16.435
randalstown_1,95aa13s1,2003,18.17
randalstown_2,95aa13s2,2003,25.597
shilvodan,95aa14w1,2003,14.296
springfarm_1,95aa15s1,2003,16.976
springfarm_2,95aa15s2,2003,79.547
steeple,95aa16w1,2003,4.106
stiles,95aa17w1,2003,2.783
templepatrick,95aa18w1,2003,40.245
toome,95aa19w1,2003,21.755
ballygowan_1,95bb01s1,2003,6.078
ballygowan_2,95bb01s2,2003,6.859
ballyrainey,95bb02w1,2003,32.687
ballywalter_1,95bb03s1,2003,5.522
ballywalter_2,95bb03s2,2003,14.858
bradshaw-s-brae_1,95bb04s1,2003,87.022
bradshaw-s-brae_2,95bb04s2,2003,20.562
carrowdore_1,95bb05s1,2003,9.419
carrowdore_2,95bb05s2,2003,14.325
central_ards,95bb06w1,2003,72.917
comber-east_1,95bb07s1,2003,20.931
comber-east_2,95bb07s2,2003,1.001
comber-north_1,95bb08s1,2003,6.424
comber-north_2,95bb08s2,2003,3.717
comber-west_1,95bb09s1,2003,25.314
comber-west_2,95bb09s2,2003,1.579
donaghadee-north_1,95bb10s1,2003,12.704
donaghadee-north_2,95bb10s2,2003,10.256
donaghadee-south_1,95bb11s1,2003,3.702
donaghadee-south_2,95bb11s2,2003,4.787
glen_1,95bb12s1,2003,2.493
glen_2,95bb12s2,2003,4.843
gregstown_1,95bb13s1,2003,6.863
gregstown_2,95bb13s2,2003,1.604
gregstown_3,95bb13s3,2003,3.429
killinchy_1,95bb14s1,2003,4.452
killinchy_2,95bb14s2,2003,8.565
kircubbin_1,95bb15s1,2003,12.726
kircubbin_2,95bb15s2,2003,9.45
lisbane_1,95bb16s1,2003,14.731
lisbane_2,95bb16s2,2003,13.174
loughries_1,95bb17s1,2003,4.009
loughries_2,95bb17s2,2003,7.59
millisle_1,95bb18s1,2003,5.03
millisle_2,95bb18s2,2003,12.038
movilla_1,95bb19s1,2003,18.011
movilla_2,95bb19s2,2003,5.052
movilla_3,95bb19s3,2003,4.116
portaferry_1,95bb20s1,2003,14.959
portaferry_2,95bb20s2,2003,3.891
portavogie_1,95bb21s1,2003,10.067
portavogie_2,95bb21s2,2003,10.532
scrabo_1,95bb22s1,2003,5.74
scrabo_2,95bb22s2,2003,4.169
whitespots_1,95bb23s1,2003,7.87
whitespots_2,95bb23s2,2003,0.629
abbey-park,95cc01w1,2003,44.114
ballymartrim,95cc02w1,2003,23.427
callan-bridge,95cc03w1,2003,43.786
carrigatuke,95cc04w1,2003,17.663
charlemont,95cc05w1,2003,61.463
demesne_1,95cc06s1,2003,17.2
demesne_2,95cc06s2,2003,4.129
derrynoose,95cc07w1,2003,29.845
downs,95cc08w1,2003,14.239
hamiltonsbawn_1,95cc09s1,2003,3.128
hamiltonsbawn_2,95cc09s2,2003,17.008
hockley,95cc10w1,2003,22.757
keady,95cc11w1,2003,19.918
killeen,95cc12w1,2003,50.814
killylea,95cc13w1,2003,24.454
laurelvale,95cc14w1,2003,14.453
loughgall,95cc15w1,2003,34.057
markethill,95cc16w1,2003,18.96
milford,95cc17w1,2003,16.807
observatory,95cc18w1,2003,41.081
poyntz-pass,95cc19w1,2003,19.435
rich-hill_1,95cc20s1,2003,2.325
rich-hill_2,95cc20s2,2003,7.086
tandragee,95cc21w1,2003,27.433
the-mall,95cc22w1,2003,42.092
academy,95dd01w1,2003,32.582
ahoghill_1,95dd02s1,2003,5.778
ahoghill_2,95dd02s2,2003,370.5
ardeevin,95dd03w1,2003,18.333
ballee,95dd04w1,2003,75.822
ballykeel,95dd05w1,2003,41.416
ballyloughan,95dd06w1,2003,6.406
broughshane_1,95dd07s1,2003,76.581
broughshane_2,95dd07s2,2003,8.348
castle-demesne,95dd08w1,2003,108.593
craigywarren,95dd09w1,2003,15.908
cullybackey,95dd10w1,2003,14.027
dunclug,95dd11w1,2003,11.471
dunminning,95dd12w1,2003,18.196
fair-green,95dd13w1,2003,25.789
galgorm_1,95dd14s1,2003,370.5
galgorm_2,95dd14s2,2003,25.459
glenravel,95dd15w1,2003,19.58
glenwhirry,95dd16w1,2003,55.228
grange,95dd17w1,2003,26.213
harryville,95dd18w1,2003,76.581
kells_1,95dd19s1,2003,8.497
kells_2,95dd19s2,2003,17.539
moat,95dd20w1,2003,8.661
park,95dd21w1,2003,40.864
portglenone_1,95dd22s1,2003,10.798
portglenone_2,95dd22s2,2003,5.622
slemish,95dd23w1,2003,106.727
summerfield,95dd24w1,2003,10.267
ballyhoe-and-corkey,95ee01w1,2003,14.814
benvardin,95ee02w1,2003,11.767
carnany,95ee03w1,2003,10.709
clogh-mills,95ee04w1,2003,72.627
dervock,95ee05w1,2003,15.388
dunloy,95ee06w1,2003,22.279
fairhill,95ee07w1,2003,16.444
glebe,95ee08w1,2003,35.668
killoquin-lower,95ee09w1,2003,15.634
killoquin-upper,95ee10w1,2003,12.124
knockaholet,95ee11w1,2003,13.763
newhill,95ee12w1,2003,6.339
route,95ee13w1,2003,34.925
seacon,95ee14w1,2003,11.88
stranocum,95ee15w1,2003,13.414
the-vow,95ee16w1,2003,12.974
ballydown_1,95ff01s1,2003,9.966
ballydown_2,95ff01s2,2003,20.46
ballyward,95ff02w1,2003,12.287
banbridge-west,95ff03w1,2003,5.963
bannside,95ff04w1,2003,23.677
dromore-north,95ff05w1,2003,10.238
dromore-south_1,95ff06s1,2003,15.697
dromore-south_2,95ff06s2,2003,3.955
edenderry,95ff07w1,2003,20.244
fort,95ff08w1,2003,32.767
gilford,95ff09w1,2003,11.209
gransha,95ff10w1,2003,16.191
katesbridge,95ff11w1,2003,20.05
lawrencetown,95ff12w1,2003,16.11
loughbrickland,95ff13w1,2003,21.699
quilly,95ff14w1,2003,32.263
rathfriland,95ff15w1,2003,17.394
seapatrick,95ff16w1,2003,17.659
the-cut,95ff17w1,2003,48.064
andersonstown_1,95gg01s1,2003,4.079
andersonstown_2,95gg01s2,2003,19.615
andersonstown_3,95gg01s3,2003,19.642
ardoyne_1,95gg02s1,2003,2.341
ardoyne_2,95gg02s2,2003,1.31
ardoyne_3,95gg02s3,2003,4.118
ballyhackamore_1,95gg03s1,2003,20.167
ballyhackamore_2,95gg03s2,2003,22.219
ballyhackamore_3,95gg03s3,2003,24.237
ballymacarrett_1,95gg04s1,2003,14.58
ballymacarrett_2,95gg04s2,2003,1.124
ballymacarrett_3,95gg04s3,2003,19.893
ballynafeigh_1,95gg05s1,2003,17.146
ballynafeigh_2,95gg05s2,2003,5.871
ballynafeigh_3,95gg05s3,2003,7.539
ballysillan_1,95gg06s1,2003,4.979
ballysillan_2,95gg06s2,2003,2.967
ballysillan_3,95gg06s3,2003,8.461
beechmount_1,95gg07s1,2003,12.824
beechmount_2,95gg07s2,2003,13.039
beechmount_3,95gg07s3,2003,1.945
bellevue_1,95gg08s1,2003,7.098
bellevue_2,95gg08s2,2003,8.478
bellevue_3,95gg08s3,2003,5.587
belmont_1,95gg09s1,2003,27.651
belmont_2,95gg09s2,2003,35.946
belmont_3,95gg09s3,2003,26.412
blackstaff_1,95gg10s1,2003,203.413
blackstaff_2,95gg10s2,2003,5.653
bloomfield_1_belfast,95gg11s1,2003,58.465
bloomfield_2_belfast,95gg11s2,2003,7.773
bloomfield_3_belfast,95gg11s3,2003,4.241
botanic_1,95gg12s1,2003,44.938
botanic_2,95gg12s2,2003,46.324
botanic_3,95gg12s3,2003,6.676
botanic_4,95gg12s4,2003,132.342
botanic_5,95gg12s5,2003,80.895
castleview_1,95gg13s1,2003,3.331
castleview_2,95gg13s2,2003,5.922
castleview_3,95gg13s3,2003,5.482
cavehill_1,95gg14s1,2003,13.937
cavehill_2,95gg14s2,2003,1.942
cavehill_3,95gg14s3,2003,5.806
cherryvalley_1,95gg15s1,2003,17.335
cherryvalley_2,95gg15s2,2003,11.683
cherryvalley_3,95gg15s3,2003,8.861
chichester-park_1,95gg16s1,2003,10.909
chichester-park_2,95gg16s2,2003,12.301
chichester-park_3,95gg16s3,2003,23.498
cliftonville_1,95gg17s1,2003,5.632
cliftonville_2,95gg17s2,2003,11.004
cliftonville_3,95gg17s3,2003,3.222
clonard_1,95gg18s1,2003,127.021
clonard_2,95gg18s2,2003,23.571
crumlin_1_belfast,95gg19s1,2003,20.399
crumlin_2_belfast,95gg19s2,2003,19.865
duncairn_1,95gg20s1,2003,880.655
duncairn_2,95gg20s2,2003,27.958
falls_1,95gg21s1,2003,127.021
falls_2,95gg21s2,2003,11.147
falls_3,95gg21s3,2003,188.854
falls-park_1,95gg22s1,2003,70.486
falls-park_2,95gg22s2,2003,5.804
falls-park_3,95gg22s3,2003,5.292
finaghy_1,95gg23s1,2003,0.881
finaghy_2,95gg23s2,2003,8.214
finaghy_3,95gg23s3,2003,9.496
fortwilliam_1,95gg24s1,2003,9.861
fortwilliam_2,95gg24s2,2003,3.988
fortwilliam_3,95gg24s3,2003,19.06
glen-road_1,95gg25s1,2003,10.742
glen-road_2,95gg25s2,2003,5.292
glen-road_3,95gg25s3,2003,1.802
glencairn_1,95gg26s1,2003,6.788
glencairn_2,95gg26s2,2003,3.987
glencolin_1,95gg27s1,2003,7.803
glencolin_2,95gg27s2,2003,1.802
glencolin_3,95gg27s3,2003,2.884
glencolin_4,95gg27s4,2003,2.842
highfield_1,95gg28s1,2003,5.418
highfield_2,95gg28s2,2003,12.511
highfield_3,95gg28s3,2003,1.169
island_1,95gg29s1,2003,876.246
island_2,95gg29s2,2003,49.225
knock_1,95gg30s1,2003,5.711
knock_2,95gg30s2,2003,99.632
knock_3,95gg30s3,2003,4.436
ladybrook_1,95gg31s1,2003,8.932
ladybrook_2,95gg31s2,2003,13.486
ladybrook_3,95gg31s3,2003,6.634
legoniel_1,95gg32s1,2003,6.613
legoniel_2,95gg32s2,2003,5.794
legoniel_3,95gg32s3,2003,7.444
malone_1,95gg33s1,2003,44.735
malone_2,95gg33s2,2003,19.287
malone_3,95gg33s3,2003,22.247
musgrave_1,95gg34s1,2003,6.111
musgrave_2,95gg34s2,2003,4.914
musgrave_3,95gg34s3,2003,99.426
new-lodge_1,95gg35s1,2003,100.984
new-lodge_2,95gg35s2,2003,1.716
new-lodge_3,95gg35s3,2003,2.186
orangefield_1,95gg36s1,2003,14.89
orangefield_2,95gg36s2,2003,19.492
orangefield_3,95gg36s3,2003,19.208
ravenhill_1,95gg37s1,2003,23.993
ravenhill_2,95gg37s2,2003,21.614
ravenhill_3,95gg37s3,2003,4.644
rosetta_1,95gg38s1,2003,25.62
rosetta_2,95gg38s2,2003,20.438
rosetta_3,95gg38s3,2003,10.381
shaftesbury_1,95gg39s1,2003,1660.841
shaftesbury_2,95gg39s2,2003,344.966
shaftesbury_3,95gg39s3,2003,80.895
shankill_1,95gg40s1,2003,2.639
shankill_2,95gg40s2,2003,26.01
stormont_1,95gg41s1,2003,99.632
stormont_2,95gg41s2,2003,34.201
stormont_3,95gg41s3,2003,11.809
stranmillis_1,95gg42s1,2003,13.67
stranmillis_2,95gg42s2,2003,1.864
stranmillis_3,95gg42s3,2003,34.209
stranmillis_4,95gg42s4,2003,46.21
sydenham_1,95gg43s1,2003,327.088
sydenham_2,95gg43s2,2003,3.082
sydenham_3,95gg43s3,2003,4.761
the-mount_1,95gg44s1,2003,19.513
the-mount_2,95gg44s2,2003,14.588
upper-malone_1,95gg45s1,2003,62.152
upper-malone_2,95gg45s2,2003,4.826
upper-malone_3,95gg45s3,2003,5.764
upper-springfield_1,95gg46s1,2003,7.721
upper-springfield_2,95gg46s2,2003,1.575
upper-springfield_3,95gg46s3,2003,1.87
water-works_1,95gg47s1,2003,57.172
water-works_2,95gg47s2,2003,4.843
water-works_3,95gg47s3,2003,16.935
whiterock_1,95gg48s1,2003,7.675
whiterock_2,95gg48s2,2003,5.505
whiterock_3,95gg48s3,2003,3.055
windsor_1,95gg49s1,2003,67.644
windsor_2,95gg49s2,2003,34.586
windsor_3,95gg49s3,2003,27.893
windsor_4,95gg49s4,2003,5.685
woodstock_1,95gg50s1,2003,3.418
woodstock_2,95gg50s2,2003,17.457
woodstock_3,95gg50s3,2003,18.016
woodvale_1,95gg51s1,2003,1.945
woodvale_2,95gg51s2,2003,12.182
woodvale_3,95gg51s3,2003,0.776
blackhead,95hh01w1,2003,7.736
bluefield_1,95hh02s1,2003,6.012
bluefield_2,95hh02s2,2003,0.729
boneybefore,95hh03w1,2003,7.053
burleigh-hill_1,95hh04s1,2003,3.733
burleigh-hill_2,95hh04s2,2003,12.246
clipperstown,95hh05w1,2003,10.616
eden_1,95hh06s1,2003,48.713
eden_2,95hh06s2,2003,9.736
gortalee,95hh07w1,2003,1.186
greenisland,95hh08w1,2003,108.142
killycrot,95hh09w1,2003,53.967
knockagh,95hh10w1,2003,9.684
love-lane,95hh11w1,2003,2.799
milebush,95hh12w1,2003,4.251
northland,95hh13w1,2003,1.843
sunnylands,95hh14w1,2003,5.106
victoria_carrickfergus,95hh15w1,2003,16.807
whitehead,95hh16w1,2003,8.86
woodburn,95hh17w1,2003,9.643
ballyhanwood_1,95ii01s1,2003,9.395
ballyhanwood_2,95ii01s2,2003,18.279
beechill_1,95ii02s1,2003,70.218
beechill_2,95ii02s2,2003,28.589
beechill_3,95ii02s3,2003,8.214
cairnshill_1,95ii03s1,2003,7.291
cairnshill_2,95ii03s2,2003,9.77
carrowreagh_1,95ii04s1,2003,76.343
carrowreagh_2,95ii04s2,2003,5.159
carryduff-east_1,95ii05s1,2003,21.702
carryduff-east_2,95ii05s2,2003,36.634
carryduff-west_1,95ii06s1,2003,10.74
carryduff-west_2,95ii06s2,2003,11.082
cregagh,95ii07w1,2003,7.354
downshire,95ii08w1,2003,51.126
dundonald_1,95ii09s1,2003,76.343
dundonald_2,95ii09s2,2003,4.272
enler,95ii10w1,2003,2.831
galwally,95ii11w1,2003,21.962
gilnahirk,95ii12w1,2003,14.409
graham-s-bridge,95ii13w1,2003,61.214
hillfoot,95ii14w1,2003,8.629
knockbracken_1,95ii15s1,2003,6.426
knockbracken_2,95ii15s2,2003,4.46
lisnasharragh,95ii16w1,2003,159.082
lower-braniel,95ii17w1,2003,8.148
minnowburn,95ii18w1,2003,10.499
moneyreagh_1,95ii19s1,2003,45.88
moneyreagh_2,95ii19s2,2003,25.373
newtownbreda,95ii20w1,2003,53.88
tullycarnet,95ii21w1,2003,4.097
upper-braniel,95ii22w1,2003,5.79
wynchurch,95ii23w1,2003,9.613
agivey,95jj01w1,2003,24.517
atlantic,95jj02w1,2003,7.938
ballysally_1,95jj03s1,2003,2.998
ballysally_2,95jj03s2,2003,0.083
castlerock_1,95jj04s1,2003,10.514
castlerock_2,95jj04s2,2003,6.794
central_coleraine,95jj05w1,2003,159.657
churchland,95jj06w1,2003,2.654
cross-glebe,95jj07w1,2003,21.747
dundooan_1,95jj08s1,2003,36.305
dundooan_2,95jj08s2,2003,10.055
dunluce,95jj09w1,2003,16.791
garvagh,95jj10w1,2003,35.498
hopefield_1,95jj11s1,2003,5.575
hopefield_2,95jj11s2,2003,6.446
kilrea,95jj12w1,2003,26.942
knocklynn_1,95jj13s1,2003,52.108
knocklynn_2,95jj13s2,2003,5.614
macosquin,95jj14w1,2003,16.732
mount-sandel,95jj15w1,2003,67.666
portstewart,95jj16w1,2003,36.903
ringsend,95jj17w1,2003,23.261
royal-portrush,95jj18w1,2003,28.268
strand_1_coleraine,95jj19s1,2003,9.217
strand_2_coleraine,95jj19s2,2003,7.357
the-cuts_1,95jj20s1,2003,27.049
the-cuts_2,95jj20s2,2003,4.085
university,95jj21w1,2003,58.699
waterside,95jj22w1,2003,34.806
ardboe,95kk01w1,2003,7.427
coagh,95kk02w1,2003,42.8
dunnamore,95kk03w1,2003,22.066
gortalowry,95kk04w1,2003,70.622
killycolpy,95kk05w1,2003,26.713
killymoon,95kk06w1,2003,102.424
lissan,95kk07w1,2003,52.595
moneymore,95kk08w1,2003,18.832
newbuildings,95kk09w1,2003,46.095
oaklands,95kk10w1,2003,28.228
oldtown,95kk11w1,2003,26.728
pomeroy,95kk12w1,2003,33.173
sandholes,95kk13w1,2003,52.816
stewartstown,95kk14w1,2003,18.089
the-loop,95kk15w1,2003,31.854
tullagh,95kk16w1,2003,33.506
aghagallon_1,95ll01s1,2003,16.364
aghagallon_2,95ll01s2,2003,38.545
annagh_1,95ll02s1,2003,20.757
annagh_2,95ll02s2,2003,55.119
ballybay,95ll03w1,2003,25.43
ballyoran,95ll04w1,2003,10.432
bleary_1,95ll05s1,2003,63.921
bleary_2,95ll05s2,2003,10.06
brownstown_1,95ll06s1,2003,40.344
brownstown_2,95ll06s2,2003,11.363
church,95ll07w1,2003,17.752
corcrain_1,95ll08s1,2003,5.029
corcrain_2,95ll08s2,2003,22.557
court_1,95ll09s1,2003,19.881
court_2,95ll09s2,2003,40.56
derrytrasna_1,95ll10s1,2003,55.693
derrytrasna_2,95ll10s2,2003,12.054
donaghcloney_1,95ll11s1,2003,7.018
donaghcloney_2,95ll11s2,2003,14.918
drumgask_1,95ll12s1,2003,11.159
drumgask_2,95ll12s2,2003,5.107
drumgor_1,95ll13s1,2003,49.429
drumgor_2,95ll13s2,2003,5.107
drumnamoe_1,95ll14s1,2003,0.858
drumnamoe_2,95ll14s2,2003,2.967
edenderry_1,95ll15s1,2003,44.358
edenderry_2,95ll15s2,2003,5.78
kernan_1,95ll16s1,2003,63.921
kernan_2,95ll16s2,2003,319.169
killycomain,95ll17w1,2003,12.358
knocknashane_1,95ll18s1,2003,11.245
knocknashane_2,95ll18s2,2003,5.858
magheralin_1,95ll19s1,2003,11.784
magheralin_2,95ll19s2,2003,21.9
mourneview,95ll20w1,2003,15.318
parklake,95ll21w1,2003,32.654
taghnevan,95ll22w1,2003,13.456
tavanagh,95ll23w1,2003,10.067
the-birches_1,95ll24s1,2003,14.079
the-birches_2,95ll24s2,2003,7.934
waringstown_1,95ll25s1,2003,15.909
waringstown_2,95ll25s2,2003,4.372
woodville_1,95ll26s1,2003,13.691
woodville_2,95ll26s2,2003,3.203
altnagelvin_1,95mm01s1,2003,3.592
altnagelvin_2,95mm01s2,2003,81.303
altnagelvin_3,95mm01s3,2003,7.939
ballynashallog_1,95mm02s1,2003,31.12
ballynashallog_2,95mm02s2,2003,3.086
banagher,95mm03w1,2003,17.557
beechwood,95mm04w1,2003,9.857
brandywell,95mm05w1,2003,11.916
carn-hill_1,95mm06s1,2003,7.731
carn-hill_2,95mm06s2,2003,14.651
caw,95mm07w1,2003,12.248
clondermot_1,95mm08s1,2003,15.239
clondermot_2,95mm08s2,2003,29.832
claudy_1,95mm09s1,2003,10.796
claudy_2,95mm09s2,2003,8.329
creggan-central_1,95mm10s1,2003,7.794
creggan-central_2,95mm10s2,2003,0.14
creggan-south,95mm11w1,2003,3.819
crevagh_1,95mm12s1,2003,8.604
crevagh_2,95mm12s2,2003,0.066
crevagh_3,95mm12s3,2003,5.333
culmore_1,95mm13s1,2003,5.769
culmore_2,95mm13s2,2003,0.246
culmore_3,95mm13s3,2003,0.81
culmore_4,95mm13s4,2003,2.264
culmore_5,95mm13s5,2003,14.361
ebrington_1,95mm14s1,2003,7.618
ebrington_2,95mm14s2,2003,81.303
eglinton_1,95mm15s1,2003,86.7
eglinton_2,95mm15s2,2003,17.907
enagh_1_derry,95mm16s1,2003,61.805
enagh_2_derry,95mm16s2,2003,168.344
foyle-springs_1,95mm17s1,2003,1.093
foyle-springs_2,95mm17s2,2003,1.965
holly-mount_1,95mm18s1,2003,13.541
holly-mount_2,95mm18s2,2003,9.679
kilfennan_1,95mm19s1,2003,6.847
kilfennan_2,95mm19s2,2003,14.977
lisnagelvin_1,95mm20s1,2003,6.31
lisnagelvin_2,95mm20s2,2003,21.357
new-buildings_1,95mm21s1,2003,10.984
new-buildings_2,95mm21s2,2003,8.059
pennyburn_1,95mm22s1,2003,32.548
pennyburn_2,95mm22s2,2003,16.206
rosemount,95mm23w1,2003,11.697
shantallow-east,95mm24w1,2003,8.95
shantallow-west_1,95mm25s1,2003,0.459
shantallow-west_2,95mm25s2,2003,0.199
shantallow-west_3,95mm25s3,2003,7.731
shantallow-west_4,95mm25s4,2003,9.214
springtown_1,95mm26s1,2003,31.12
springtown_2,95mm26s2,2003,86.96
strand_1_derry,95mm27s1,2003,156.127
strand_2_derry,95mm27s2,2003,25.847
the-diamond,95mm28w1,2003,115.39
victoria_derry,95mm29w1,2003,41.638
westland,95mm30w1,2003,7.794
ardglass_1,95nn01s1,2003,6.401
ardglass_2,95nn01s2,2003,4.147
audley-s-acre,95nn02w1,2003,13.39
ballymaglave_1,95nn03s1,2003,24.056
ballymaglave_2,95nn03s2,2003,10.403
ballymote,95nn04w1,2003,40.494
ballynahinch-east,95nn05w1,2003,31.238
castlewellan_1,95nn06s1,2003,7.981
castlewellan_2,95nn06s2,2003,36.575
cathedral_1,95nn07s1,2003,9.838
cathedral_2,95nn07s2,2003,61.834
crossgar_1,95nn08s1,2003,8.016
crossgar_2,95nn08s2,2003,18.2
derryboy_1,95nn09s1,2003,6.143
derryboy_2,95nn09s2,2003,4.467
donard_1,95nn10s1,2003,19.604
donard_2,95nn10s2,2003,7.373
drumaness_1,95nn11s1,2003,10.847
drumaness_2,95nn11s2,2003,19.873
dundrum,95nn12w1,2003,13.49
dunmore,95nn13w1,2003,22.032
killough_1,95nn14s1,2003,5.647
killough_2,95nn14s2,2003,12.298
killyleagh,95nn15w1,2003,15.029
kilmore_1,95nn16s1,2003,22.509
kilmore_2,95nn16s2,2003,6.998
murlough,95nn17w1,2003,33.737
quoile_1,95nn18s1,2003,17.838
quoile_2,95nn18s2,2003,24.473
saintfield_1,95nn19s1,2003,6.714
saintfield_2,95nn19s2,2003,26.452
seaforde,95nn20w1,2003,21.092
shimna,95nn21w1,2003,26.453
strangford,95nn22w1,2003,23.759
tollymore_1,95nn23s1,2003,12.057
tollymore_2,95nn23s2,2003,5.057
altmore,95oo01w1,2003,37.222
augher,95oo02w1,2003,25.377
aughnacloy,95oo03w1,2003,22.772
ballygawley,95oo04w1,2003,47.628
ballysaggart,95oo05w1,2003,21.175
benburb,95oo06w1,2003,108.216
caledon,95oo07w1,2003,24.321
castlecaulfield,95oo08w1,2003,31.996
clogher,95oo09w1,2003,21.136
coalisland-north,95oo10w1,2003,35.209
coalisland-south,95oo11w1,2003,39.482
coalisland-west-and-newmills,95oo12w1,2003,58.811
coolhill,95oo13w1,2003,60.108
donaghmore,95oo14w1,2003,38.171
drumglass,95oo15w1,2003,74.599
fivemiletown,95oo16w1,2003,102.432
killyman,95oo17w1,2003,32.519
killymeal,95oo18w1,2003,72.69
moy,95oo19w1,2003,46.0
moygashel,95oo20w1,2003,37.537
mullaghmore,95oo21w1,2003,58.43
washing-bay,95oo22w1,2003,21.136
ballinamallard,95pp01w1,2003,32.842
