AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
E92000001,England,Nation,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,As of 13 January 2023,41.0624097009045,Percentage,%,na,na,,1,
E12000001,North East,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,As of 13 January 2023,56.9427967350418,Percentage,%,na,na,,1,
E12000002,North West ,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,As of 13 January 2023,59.5517828380575,Percentage,%,na,na,,1,
E12000003,Yorkshire and The Humber,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,As of 13 January 2023,67.9415466508654,Percentage,%,na,na,,1,
E12000004,East Midlands,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,As of 13 January 2023,0.0,Percentage,%,na,na,,1,
E12000005,West Midlands,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,As of 13 January 2023,48.9757215026603,Percentage,%,na,na,,1,
E12000006,East of England,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,As of 13 January 2023,14.126377420883399,Percentage,%,na,na,,1,
E12000007,London,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,As of 13 January 2023,100.0,Percentage,%,na,na,,1,
E12000008,"South East
",Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,As of 13 January 2023,0.0,Percentage,%,na,na,,1,
E12000009,South West,Region,Percentage of the population living in an area covered by the highest level of devolution,Population under devolution deal in England,Mission 12,Empowering local leaders and communities,As of 13 January 2023,16.7040561261999,Percentage,%,na,na,,1,
