AREACD,AREANM,Geography,Indicator,Observation,Unit,Measure,Period,Lower_confidence_interval_95,Upper_confidence_interval_95,Observation_status
S92000003,Scotland,Nation,Apprenticeships starts (Scotland),573.4411299,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
S92000003,Scotland,Nation,Apprenticeships starts (Scotland),555.0544511,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
S92000003,Scotland,Nation,Apprenticeships starts (Scotland),551.9644079,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
S92000003,Scotland,Nation,Apprenticeships starts (Scotland),558.6399629,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
S92000003,Scotland,Nation,Apprenticeships starts (Scotland),413.6893819,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
S92000003,Scotland,Nation,Apprenticeships starts (Scotland),618.8029521,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
S92000003,Scotland,Nation,Apprenticeships starts (Scotland),562.0507229,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
S92000003,Scotland,Nation,Apprenticeships starts (Scotland),606.1251576,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
S92000003,Scotland,Nation,Apprenticeships starts (Scotland),588.3229257,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
S92000003,Scotland,Nation,Apprenticeships starts (Scotland),581.0684836,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
S92000003,Scotland,Nation,Apprenticeships starts (Scotland),570.6687088,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
S92000003,Scotland,Nation,Apprenticeships starts (Scotland),608.1256017,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
S12000033,Aberdeen City,Local Authority District,Apprenticeships starts (Scotland),250.6345515,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
S12000033,Aberdeen City,Local Authority District,Apprenticeships starts (Scotland),417.0771069,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
S12000033,Aberdeen City,Local Authority District,Apprenticeships starts (Scotland),390.8787961,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
S12000033,Aberdeen City,Local Authority District,Apprenticeships starts (Scotland),367.5944808,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
S12000033,Aberdeen City,Local Authority District,Apprenticeships starts (Scotland),380.8735919,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
S12000033,Aberdeen City,Local Authority District,Apprenticeships starts (Scotland),432.6958812,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
S12000033,Aberdeen City,Local Authority District,Apprenticeships starts (Scotland),456.1631381,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
S12000033,Aberdeen City,Local Authority District,Apprenticeships starts (Scotland),353.8663864,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
S12000033,Aberdeen City,Local Authority District,Apprenticeships starts (Scotland),345.2304243,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
S12000033,Aberdeen City,Local Authority District,Apprenticeships starts (Scotland),478.5360957,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
S12000033,Aberdeen City,Local Authority District,Apprenticeships starts (Scotland),475.5109269,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
S12000033,Aberdeen City,Local Authority District,Apprenticeships starts (Scotland),398.7058052,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
S12000034,Aberdeenshire,Local Authority District,Apprenticeships starts (Scotland),381.5610169,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
S12000034,Aberdeenshire,Local Authority District,Apprenticeships starts (Scotland),532.6508985,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
S12000034,Aberdeenshire,Local Authority District,Apprenticeships starts (Scotland),509.049512,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
S12000034,Aberdeenshire,Local Authority District,Apprenticeships starts (Scotland),537.0100248,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
S12000034,Aberdeenshire,Local Authority District,Apprenticeships starts (Scotland),465.1856548,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
S12000034,Aberdeenshire,Local Authority District,Apprenticeships starts (Scotland),540.4315008,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
S12000034,Aberdeenshire,Local Authority District,Apprenticeships starts (Scotland),504.4224293,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
S12000034,Aberdeenshire,Local Authority District,Apprenticeships starts (Scotland),462.343067,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
S12000034,Aberdeenshire,Local Authority District,Apprenticeships starts (Scotland),470.5564761,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
S12000034,Aberdeenshire,Local Authority District,Apprenticeships starts (Scotland),588.3816921,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
S12000034,Aberdeenshire,Local Authority District,Apprenticeships starts (Scotland),598.2243484,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
S12000034,Aberdeenshire,Local Authority District,Apprenticeships starts (Scotland),490.3361167,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
S12000041,Angus,Local Authority District,Apprenticeships starts (Scotland),636.1586362,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
S12000041,Angus,Local Authority District,Apprenticeships starts (Scotland),670.2939777,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
S12000041,Angus,Local Authority District,Apprenticeships starts (Scotland),600.5663372,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
S12000041,Angus,Local Authority District,Apprenticeships starts (Scotland),610.1350791,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
S12000041,Angus,Local Authority District,Apprenticeships starts (Scotland),444.5136833,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
S12000041,Angus,Local Authority District,Apprenticeships starts (Scotland),638.7097442,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
S12000041,Angus,Local Authority District,Apprenticeships starts (Scotland),639.3927831,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
S12000041,Angus,Local Authority District,Apprenticeships starts (Scotland),629.6555414,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
S12000041,Angus,Local Authority District,Apprenticeships starts (Scotland),660.2795149,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
S12000041,Angus,Local Authority District,Apprenticeships starts (Scotland),641.0322474,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
S12000041,Angus,Local Authority District,Apprenticeships starts (Scotland),692.0343531,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
S12000041,Angus,Local Authority District,Apprenticeships starts (Scotland),611.8012422,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
S12000035,Argyll and Bute,Local Authority District,Apprenticeships starts (Scotland),373.7463365,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
S12000035,Argyll and Bute,Local Authority District,Apprenticeships starts (Scotland),505.0304211,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
S12000035,Argyll and Bute,Local Authority District,Apprenticeships starts (Scotland),512.9836561,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
S12000035,Argyll and Bute,Local Authority District,Apprenticeships starts (Scotland),385.8853483,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
S12000035,Argyll and Bute,Local Authority District,Apprenticeships starts (Scotland),367.7300304,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
S12000035,Argyll and Bute,Local Authority District,Apprenticeships starts (Scotland),520.1333262,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
S12000035,Argyll and Bute,Local Authority District,Apprenticeships starts (Scotland),445.1633602,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
S12000035,Argyll and Bute,Local Authority District,Apprenticeships starts (Scotland),545.9314789,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
S12000035,Argyll and Bute,Local Authority District,Apprenticeships starts (Scotland),441.981573,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
