areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),2016-01-01/P1Y,49.8,Percentage,%,,,,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),2017-01-01/P1Y,51.2,Percentage,%,,,,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),2018-01-01/P1Y,54.1,Percentage,%,,,,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),2019-01-01/P1Y,55.6,Percentage,%,,,,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),2020-01-01/P1Y,56.0,Percentage,%,,,,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),2021-01-01/P1Y,59.9,Percentage,%,,,,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),2022-01-01/P1Y,57.2,Percentage,%,,,,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),2023-01-01/P1Y,59.2,Percentage,%,,,,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),2023-01-01/P1Y,62.2,Percentage,%,,,,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),2022-01-01/P1Y,57.5,Percentage,%,,,,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),2021-01-01/P1Y,64.0,Percentage,%,,,,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),2020-01-01/P1Y,60.8,Percentage,%,,,,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),2017-01-01/P1Y,54.0,Percentage,%,,,,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),2018-01-01/P1Y,56.1,Percentage,%,,,,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),2016-01-01/P1Y,49.4,Percentage,%,,,,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),2019-01-01/P1Y,61.0,Percentage,%,,,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),2022-01-01/P1Y,56.7,Percentage,%,,,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),2023-01-01/P1Y,60.3,Percentage,%,,,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),2020-01-01/P1Y,54.3,Percentage,%,,,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),2021-01-01/P1Y,57.3,Percentage,%,,,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),2018-01-01/P1Y,52.5,Percentage,%,,,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),2019-01-01/P1Y,51.6,Percentage,%,,,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),2017-01-01/P1Y,51.5,Percentage,%,,,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),2016-01-01/P1Y,46.1,Percentage,%,,,,
N09000003,Belfast,Local Authority District,Level 3 or above qualifications (Northern Ireland),2022-01-01/P1Y,57.0,Percentage,%,,,,
N09000003,Belfast,Local Authority District,Level 3 or above qualifications (Northern Ireland),2021-01-01/P1Y,60.9,Percentage,%,,,,
N09000003,Belfast,Local Authority District,Level 3 or above qualifications (Northern Ireland),2020-01-01/P1Y,53.9,Percentage,%,,,,
N09000003,Belfast,Local Authority District,Level 3 or above qualifications (Northern Ireland),2023-01-01/P1Y,55.8,Percentage,%,,,,
N09000003,Belfast,Local Authority District,Level 3 or above qualifications (Northern Ireland),2018-01-01/P1Y,55.9,Percentage,%,,,,
N09000003,Belfast,Local Authority District,Level 3 or above qualifications (Northern Ireland),2017-01-01/P1Y,52.3,Percentage,%,,,,
N09000003,Belfast,Local Authority District,Level 3 or above qualifications (Northern Ireland),2016-01-01/P1Y,51.9,Percentage,%,,,,
N09000003,Belfast,Local Authority District,Level 3 or above qualifications (Northern Ireland),2019-01-01/P1Y,51.5,Percentage,%,,,,
N09000004,Causeway Coast and Glens,Local Authority District,Level 3 or above qualifications (Northern Ireland),2016-01-01/P1Y,41.6,Percentage,%,,,,
N09000004,Causeway Coast and Glens,Local Authority District,Level 3 or above qualifications (Northern Ireland),2017-01-01/P1Y,45.5,Percentage,%,,,,
N09000004,Causeway Coast and Glens,Local Authority District,Level 3 or above qualifications (Northern Ireland),2018-01-01/P1Y,51.0,Percentage,%,,,,
N09000004,Causeway Coast and Glens,Local Authority District,Level 3 or above qualifications (Northern Ireland),2019-01-01/P1Y,52.1,Percentage,%,,,,
N09000004,Causeway Coast and Glens,Local Authority District,Level 3 or above qualifications (Northern Ireland),2020-01-01/P1Y,49.5,Percentage,%,,,,
N09000004,Causeway Coast and Glens,Local Authority District,Level 3 or above qualifications (Northern Ireland),2021-01-01/P1Y,56.9,Percentage,%,,,,
N09000004,Causeway Coast and Glens,Local Authority District,Level 3 or above qualifications (Northern Ireland),2022-01-01/P1Y,49.8,Percentage,%,,,,
N09000004,Causeway Coast and Glens,Local Authority District,Level 3 or above qualifications (Northern Ireland),2023-01-01/P1Y,52.0,Percentage,%,,,,
N09000005,Derry City and Strabane,Local Authority District,Level 3 or above qualifications (Northern Ireland),2021-01-01/P1Y,57.1,Percentage,%,,,,
N09000005,Derry City and Strabane,Local Authority District,Level 3 or above qualifications (Northern Ireland),2022-01-01/P1Y,57.7,Percentage,%,,,,
N09000005,Derry City and Strabane,Local Authority District,Level 3 or above qualifications (Northern Ireland),2020-01-01/P1Y,46.1,Percentage,%,,,,
N09000005,Derry City and Strabane,Local Authority District,Level 3 or above qualifications (Northern Ireland),2023-01-01/P1Y,53.4,Percentage,%,,,,
N09000005,Derry City and Strabane,Local Authority District,Level 3 or above qualifications (Northern Ireland),2018-01-01/P1Y,51.6,Percentage,%,,,,
N09000005,Derry City and Strabane,Local Authority District,Level 3 or above qualifications (Northern Ireland),2017-01-01/P1Y,48.4,Percentage,%,,,,
N09000005,Derry City and Strabane,Local Authority District,Level 3 or above qualifications (Northern Ireland),2016-01-01/P1Y,42.9,Percentage,%,,,,
N09000005,Derry City and Strabane,Local Authority District,Level 3 or above qualifications (Northern Ireland),2019-01-01/P1Y,49.0,Percentage,%,,,,
N09000006,Fermanagh and Omagh,Local Authority District,Level 3 or above qualifications (Northern Ireland),2022-01-01/P1Y,52.2,Percentage,%,,,,
N09000006,Fermanagh and Omagh,Local Authority District,Level 3 or above qualifications (Northern Ireland),2021-01-01/P1Y,56.4,Percentage,%,,,,
N09000006,Fermanagh and Omagh,Local Authority District,Level 3 or above qualifications (Northern Ireland),2020-01-01/P1Y,50.8,Percentage,%,,,,
