AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
E06000047,County Durham,County or Unitary Authority,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,94.67,Percentage,%,,,,1,
E06000005,Darlington,County or Unitary Authority,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,99.99,Percentage,%,,,,1,
E06000001,Hartlepool,County or Unitary Authority,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,99.98,Percentage,%,,,,1,
E06000002,Middlesbrough,County or Unitary Authority,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,100.0,Percentage,%,,,,1,
E06000057,Northumberland,County or Unitary Authority,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,88.1,Percentage,%,,,,1,
E06000003,Redcar and Cleveland,County or Unitary Authority,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,99.24,Percentage,%,,,,1,
E06000004,Stockton-on-Tees,County or Unitary Authority,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,99.98,Percentage,%,,,,1,
E08000037,Gateshead,Local Authority District,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,100.0,Percentage,%,,,,1,
E08000021,Newcastle upon Tyne,Local Authority District,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,100.0,Percentage,%,,,,1,
E08000022,North Tyneside,Local Authority District,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,100.0,Percentage,%,,,,1,
E08000023,South Tyneside,Local Authority District,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,100.0,Percentage,%,,,,1,
E08000024,Sunderland,Local Authority District,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,100.0,Percentage,%,,,,1,
E06000008,Blackburn with Darwen,County or Unitary Authority,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,99.85,Percentage,%,,,,1,
E06000009,Blackpool,County or Unitary Authority,4G coverage provided by at least one mobile network provider,4G coverage,Mission 4,"Boosting productivity, pay, jobs and living standards",2023-01,100.0,Percentage,%,,,,1,
