Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2001-01-01t00-00-00/p3y,2001-01-01T00:00:00/P3Y,2001-01-01t00-00-00/p3y,,0,,http://reference.data.gov.uk/id/gregorian-interval/2001-01-01T00:00:00/P3Y
2002-01-01t00-00-00/p3y,2002-01-01T00:00:00/P3Y,2002-01-01t00-00-00/p3y,,1,,http://reference.data.gov.uk/id/gregorian-interval/2002-01-01T00:00:00/P3Y
2003-01-01t00-00-00/p3y,2003-01-01T00:00:00/P3Y,2003-01-01t00-00-00/p3y,,2,,http://reference.data.gov.uk/id/gregorian-interval/2003-01-01T00:00:00/P3Y
2004-01-01t00-00-00/p3y,2004-01-01T00:00:00/P3Y,2004-01-01t00-00-00/p3y,,3,,http://reference.data.gov.uk/id/gregorian-interval/2004-01-01T00:00:00/P3Y
2005-01-01t00-00-00/p3y,2005-01-01T00:00:00/P3Y,2005-01-01t00-00-00/p3y,,4,,http://reference.data.gov.uk/id/gregorian-interval/2005-01-01T00:00:00/P3Y
2006-01-01t00-00-00/p3y,2006-01-01T00:00:00/P3Y,2006-01-01t00-00-00/p3y,,5,,http://reference.data.gov.uk/id/gregorian-interval/2006-01-01T00:00:00/P3Y
2007-01-01t00-00-00/p3y,2007-01-01T00:00:00/P3Y,2007-01-01t00-00-00/p3y,,6,,http://reference.data.gov.uk/id/gregorian-interval/2007-01-01T00:00:00/P3Y
2008-01-01t00-00-00/p3y,2008-01-01T00:00:00/P3Y,2008-01-01t00-00-00/p3y,,7,,http://reference.data.gov.uk/id/gregorian-interval/2008-01-01T00:00:00/P3Y
2009-01-01t00-00-00/p3y,2009-01-01T00:00:00/P3Y,2009-01-01t00-00-00/p3y,,8,,http://reference.data.gov.uk/id/gregorian-interval/2009-01-01T00:00:00/P3Y
2010-01-01t00-00-00/p3y,2010-01-01T00:00:00/P3Y,2010-01-01t00-00-00/p3y,,9,,http://reference.data.gov.uk/id/gregorian-interval/2010-01-01T00:00:00/P3Y
2011-01-01t00-00-00/p3y,2011-01-01T00:00:00/P3Y,2011-01-01t00-00-00/p3y,,10,,http://reference.data.gov.uk/id/gregorian-interval/2011-01-01T00:00:00/P3Y
2012-01-01t00-00-00/p3y,2012-01-01T00:00:00/P3Y,2012-01-01t00-00-00/p3y,,11,,http://reference.data.gov.uk/id/gregorian-interval/2012-01-01T00:00:00/P3Y
2013-01-01t00-00-00/p3y,2013-01-01T00:00:00/P3Y,2013-01-01t00-00-00/p3y,,12,,http://reference.data.gov.uk/id/gregorian-interval/2013-01-01T00:00:00/P3Y
2014-01-01t00-00-00/p3y,2014-01-01T00:00:00/P3Y,2014-01-01t00-00-00/p3y,,13,,http://reference.data.gov.uk/id/gregorian-interval/2014-01-01T00:00:00/P3Y
2015-01-01t00-00-00/p3y,2015-01-01T00:00:00/P3Y,2015-01-01t00-00-00/p3y,,14,,http://reference.data.gov.uk/id/gregorian-interval/2015-01-01T00:00:00/P3Y
2016-01-01t00-00-00/p3y,2016-01-01T00:00:00/P3Y,2016-01-01t00-00-00/p3y,,15,,http://reference.data.gov.uk/id/gregorian-interval/2016-01-01T00:00:00/P3Y
2017-01-01t00-00-00/p3y,2017-01-01T00:00:00/P3Y,2017-01-01t00-00-00/p3y,,16,,http://reference.data.gov.uk/id/gregorian-interval/2017-01-01T00:00:00/P3Y
2018-01-01t00-00-00/p3y,2018-01-01T00:00:00/P3Y,2018-01-01t00-00-00/p3y,,17,,http://reference.data.gov.uk/id/gregorian-interval/2018-01-01T00:00:00/P3Y
2019-01-01t00-00-00/p3y,2019-01-01T00:00:00/P3Y,2019-01-01t00-00-00/p3y,,18,,http://reference.data.gov.uk/id/gregorian-interval/2019-01-01T00:00:00/P3Y
2020-01-01t00-00-00/p3y,2020-01-01T00:00:00/P3Y,2020-01-01t00-00-00/p3y,,19,,http://reference.data.gov.uk/id/gregorian-interval/2020-01-01T00:00:00/P3Y
