Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2012-2013,2012-2013,2012-2013,,0,,http://reference.data.gov.uk/id/year/2012-2013
2013-2014,2013-2014,2013-2014,,1,,http://reference.data.gov.uk/id/year/2013-2014
2014-2015,2014-2015,2014-2015,,2,,http://reference.data.gov.uk/id/year/2014-2015
2015-2016,2015-2016,2015-2016,,3,,http://reference.data.gov.uk/id/year/2015-2016
2016-2017,2016-2017,2016-2017,,4,,http://reference.data.gov.uk/id/year/2016-2017
2017-2018,2017-2018,2017-2018,,5,,http://reference.data.gov.uk/id/year/2017-2018
2018-2019,2018-2019,2018-2019,,6,,http://reference.data.gov.uk/id/year/2018-2019
2019-2020,2019-2020,2019-2020,,7,,http://reference.data.gov.uk/id/year/2019-2020
2020-2021,2020-2021,2020-2021,,8,,http://reference.data.gov.uk/id/year/2020-2021
2021-2022,2021-2022,2021-2022,,9,,http://reference.data.gov.uk/id/year/2021-2022
2022-2023,2022-2023,2022-2023,,10,,http://reference.data.gov.uk/id/year/2022-2023
