Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
antrim-and-newtownabbey,Antrim and Newtownabbey,antrim-and-newtownabbey,,0,
ards-and-north-down,Ards and North Down,ards-and-north-down,,1,
armagh-city-banbridge-and-craigavon,"Armagh City, Banbridge and Craigavon",armagh-city-banbridge-and-craigavon,,2,
belfast,Belfast,belfast,,3,
causeway-coast-and-glens,Causeway Coast and Glens,causeway-coast-and-glens,,4,
derry-city-and-strabane,Derry City and Strabane,derry-city-and-strabane,,5,
fermanagh-and-omagh,Fermanagh and Omagh,fermanagh-and-omagh,,6,
lisburn-and-castlereagh,Lisburn and Castlereagh,lisburn-and-castlereagh,,7,
mid-ulster,Mid Ulster,mid-ulster,,8,
mid-and-east-antrim,Mid and East Antrim,mid-and-east-antrim,,9,
newry-mourne-and-down,"Newry, Mourne and Down",newry-mourne-and-down,,10,
northern-ireland,Northern Ireland,northern-ireland,,11,
