Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
country,Country,country,,0,
county-or-unitary-authority,County or Unitary Authority,county-or-unitary-authority,,1,
local-authority-district,Local Authority District,local-authority-district,,2,
nation,Nation,nation,,3,
region,Region,region,,4,
