AREACD,AREANM,Geography,Variable Name,Indicator,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2023-08-01T00:00:00/P1Y,19.950039999999998,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2006-08-01T00:00:00/P1Y,19.3335,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2007-08-01T00:00:00/P1Y,18.47919,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2008-08-01T00:00:00/P1Y,18.486320000000003,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2009-08-01T00:00:00/P1Y,17.43129,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2011-08-01T00:00:00/P1Y,13.50786,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2012-08-01T00:00:00/P1Y,13.63616,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2013-08-01T00:00:00/P1Y,10.673789999999999,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2010-08-01T00:00:00/P1Y,16.25496,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2015-08-01T00:00:00/P1Y,10.49978,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2016-08-01T00:00:00/P1Y,10.78697,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2017-08-01T00:00:00/P1Y,11.167760000000001,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2018-08-01T00:00:00/P1Y,10.86219,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2020-08-01T00:00:00/P1Y,12.07846,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2021-08-01T00:00:00/P1Y,22.50843,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2022-08-01T00:00:00/P1Y,21.21817,Percentage,%,,,,-1,
E92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,2014-08-01T00:00:00/P1Y,10.960519999999999,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2012-08-01T00:00:00/P1Y,15.5968,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2006-08-01T00:00:00/P1Y,19.739279999999997,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2007-08-01T00:00:00/P1Y,19.104879999999998,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2008-08-01T00:00:00/P1Y,19.50196,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2009-08-01T00:00:00/P1Y,18.76804,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2010-08-01T00:00:00/P1Y,18.32592,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2011-08-01T00:00:00/P1Y,14.56746,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2013-08-01T00:00:00/P1Y,11.44426,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2020-08-01T00:00:00/P1Y,12.9703,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2015-08-01T00:00:00/P1Y,11.21969,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2016-08-01T00:00:00/P1Y,11.74966,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2017-08-01T00:00:00/P1Y,12.21058,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2018-08-01T00:00:00/P1Y,12.07029,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2021-08-01T00:00:00/P1Y,24.65614,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2022-08-01T00:00:00/P1Y,22.527479999999997,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2023-08-01T00:00:00/P1Y,22.061139999999998,Percentage,%,,,,-1,
E12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,2014-08-01T00:00:00/P1Y,12.08269,Percentage,%,,,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,2013-08-01T00:00:00/P1Y,10.71471,Percentage,%,,,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,2006-08-01T00:00:00/P1Y,19.89661,Percentage,%,,,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,2007-08-01T00:00:00/P1Y,19.08063,Percentage,%,,,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,2008-08-01T00:00:00/P1Y,19.36112,Percentage,%,,,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,2009-08-01T00:00:00/P1Y,17.64912,Percentage,%,,,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,2011-08-01T00:00:00/P1Y,14.03624,Percentage,%,,,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,2012-08-01T00:00:00/P1Y,15.2883,Percentage,%,,,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,2014-08-01T00:00:00/P1Y,11.889510000000001,Percentage,%,,,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,2010-08-01T00:00:00/P1Y,17.53509,Percentage,%,,,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,2016-08-01T00:00:00/P1Y,10.89257,Percentage,%,,,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,2017-08-01T00:00:00/P1Y,11.385689999999999,Percentage,%,,,,-1,
