Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
barking-and-dagenham,Barking and Dagenham,barking-and-dagenham,,0,
barnet,Barnet,barnet,,1,
barnsley,Barnsley,barnsley,,2,
bath-and-north-east-somerset,Bath and North East Somerset,bath-and-north-east-somerset,,3,
bedford,Bedford,bedford,,4,
bexley,Bexley,bexley,,5,
birmingham,Birmingham,birmingham,,6,
blackburn-with-darwen,Blackburn with Darwen,blackburn-with-darwen,,7,
blackpool,Blackpool,blackpool,,8,
bolton,Bolton,bolton,,9,
bournemouth-christchurch-and-poole,"Bournemouth, Christchurch and Poole",bournemouth-christchurch-and-poole,,10,
bracknell-forest,Bracknell Forest,bracknell-forest,,11,
bradford,Bradford ,bradford,,12,
brent,Brent ,brent,,13,
brighton-and-hove,Brighton and Hove,brighton-and-hove,,14,
bristol-city-of,"Bristol, City of",bristol-city-of,,15,
bromley,Bromley,bromley,,16,
buckinghamshire,Buckinghamshire,buckinghamshire,,17,
bury,Bury,bury,,18,
calderdale,Calderdale,calderdale,,19,
cambridgeshire,Cambridgeshire,cambridgeshire,,20,
camden,Camden,camden,,21,
central-bedfordshire,Central Bedfordshire,central-bedfordshire,,22,
cheshire-east,Cheshire East,cheshire-east,,23,
cheshire-west-and-chester,Cheshire West and Chester,cheshire-west-and-chester,,24,
city-of-london,City of London,city-of-london,,25,
cornwall,Cornwall,cornwall,,26,
county-durham,County Durham,county-durham,,27,
coventry,Coventry,coventry,,28,
croydon,Croydon,croydon,,29,
cumberland,Cumberland,cumberland,,30,
darlington,Darlington,darlington,,31,
derby,Derby ,derby,,32,
derbyshire,Derbyshire,derbyshire,,33,
devon,Devon,devon,,34,
doncaster,Doncaster,doncaster,,35,
dorset,Dorset,dorset,,36,
dudley,Dudley ,dudley,,37,
ealing,Ealing,ealing,,38,
east-midlands,East Midlands,east-midlands,,39,
east-riding-of-yorkshire,East Riding of Yorkshire,east-riding-of-yorkshire,,40,
east-sussex,East Sussex,east-sussex,,41,
east-of-england,East of England,east-of-england,,42,
enfield,Enfield,enfield,,43,
england,England,england,,44,
essex,Essex,essex,,45,
gateshead,Gateshead,gateshead,,46,
gloucestershire,Gloucestershire,gloucestershire,,47,
greenwich,Greenwich,greenwich,,48,
hackney,Hackney,hackney,,49,
halton,Halton,halton,,50,
hammersmith-and-fulham,Hammersmith and Fulham ,hammersmith-and-fulham,,51,
hampshire,Hampshire,hampshire,,52,
haringey,Haringey,haringey,,53,
harrow,Harrow,harrow,,54,
hartlepool,Hartlepool,hartlepool,,55,
havering,Havering,havering,,56,
herefordshire-county-of,"Herefordshire, County of",herefordshire-county-of,,57,
hertfordshire,Hertfordshire ,hertfordshire,,58,
hillingdon,Hillingdon,hillingdon,,59,
hounslow,Hounslow,hounslow,,60,
isle-of-wight,Isle of Wight,isle-of-wight,,61,
isles-of-scilly,Isles of Scilly,isles-of-scilly,,62,
islington,Islington,islington,,63,
kensington-and-chelsea,Kensington and Chelsea,kensington-and-chelsea,,64,
kent,Kent,kent,,65,
kingston-upon-hull-city-of,"Kingston upon Hull, City of",kingston-upon-hull-city-of,,66,
kingston-upon-thames,Kingston upon Thames,kingston-upon-thames,,67,
kirklees,Kirklees ,kirklees,,68,
knowsley,Knowsley ,knowsley,,69,
lambeth,Lambeth ,lambeth,,70,
lancashire,Lancashire,lancashire,,71,
leeds,Leeds ,leeds,,72,
leicester,Leicester,leicester,,73,
leicestershire,Leicestershire,leicestershire,,74,
lewisham,Lewisham ,lewisham,,75,
lincolnshire,Lincolnshire ,lincolnshire,,76,
liverpool,Liverpool,liverpool,,77,
london,London,london,,78,
luton,Luton,luton,,79,
manchester,Manchester,manchester,,80,
medway,Medway,medway,,81,
merton,Merton,merton,,82,
middlesbrough,Middlesbrough,middlesbrough,,83,
milton-keynes,Milton Keynes,milton-keynes,,84,
newcastle-upon-tyne,Newcastle upon Tyne,newcastle-upon-tyne,,85,
newham,Newham ,newham,,86,
norfolk,Norfolk ,norfolk,,87,
north-east,North East,north-east,,88,
north-east-lincolnshire,North East Lincolnshire,north-east-lincolnshire,,89,
north-lincolnshire,North Lincolnshire,north-lincolnshire,,90,
north-northamptonshire,North Northamptonshire,north-northamptonshire,,91,
north-somerset,North Somerset,north-somerset,,92,
north-tyneside,North Tyneside,north-tyneside,,93,
north-west,North West ,north-west,,94,
north-yorkshire,North Yorkshire,north-yorkshire,,95,
northumberland,Northumberland,northumberland,,96,
nottingham,Nottingham,nottingham,,97,
nottinghamshire,Nottinghamshire,nottinghamshire,,98,
oldham,Oldham ,oldham,,99,
oxfordshire,Oxfordshire ,oxfordshire,,100,
peterborough,Peterborough,peterborough,,101,
plymouth,Plymouth,plymouth,,102,
portsmouth,Portsmouth,portsmouth,,103,
reading,Reading,reading,,104,
redbridge,Redbridge,redbridge,,105,
redcar-and-cleveland,Redcar and Cleveland,redcar-and-cleveland,,106,
richmond-upon-thames,Richmond upon Thames,richmond-upon-thames,,107,
rochdale,Rochdale,rochdale,,108,
rotherham,Rotherham ,rotherham,,109,
rutland,Rutland ,rutland,,110,
salford,Salford,salford,,111,
sandwell,Sandwell ,sandwell,,112,
sefton,Sefton,sefton,,113,
sheffield,Sheffield,sheffield,,114,
shropshire,Shropshire,shropshire,,115,
slough,Slough,slough,,116,
solihull,Solihull,solihull,,117,
somerset,Somerset ,somerset,,118,
south-east,South East,south-east,,119,
south-gloucestershire,South Gloucestershire,south-gloucestershire,,120,
south-tyneside,South Tyneside,south-tyneside,,121,
south-west,South West,south-west,,122,
southampton,Southampton,southampton,,123,
southend-on-sea,Southend-on-Sea,southend-on-sea,,124,
southwark,Southwark,southwark,,125,
st-helens,St. Helens,st-helens,,126,
staffordshire,Staffordshire,staffordshire,,127,
stockport,Stockport,stockport,,128,
stockton-on-tees,Stockton-on-Tees,stockton-on-tees,,129,
stoke-on-trent,Stoke-on-Trent,stoke-on-trent,,130,
suffolk,Suffolk,suffolk,,131,
sunderland,Sunderland,sunderland,,132,
surrey,Surrey,surrey,,133,
sutton,Sutton,sutton,,134,
swindon,Swindon,swindon,,135,
tameside,Tameside,tameside,,136,
telford-and-wrekin,Telford and Wrekin,telford-and-wrekin,,137,
thurrock,Thurrock,thurrock,,138,
torbay,Torbay,torbay,,139,
tower-hamlets,Tower Hamlets,tower-hamlets,,140,
trafford,Trafford,trafford,,141,
wakefield,Wakefield,wakefield,,142,
walsall,Walsall,walsall,,143,
waltham-forest,Waltham Forest,waltham-forest,,144,
wandsworth,Wandsworth,wandsworth,,145,
warrington,Warrington,warrington,,146,
warwickshire,Warwickshire,warwickshire,,147,
west-berkshire,West Berkshire,west-berkshire,,148,
west-midlands,West Midlands,west-midlands,,149,
west-northamptonshire,West Northamptonshire,west-northamptonshire,,150,
west-sussex,West Sussex,west-sussex,,151,
westminster,Westminster,westminster,,152,
wigan,Wigan,wigan,,153,
wiltshire,Wiltshire,wiltshire,,154,
windsor-and-maidenhead,Windsor and Maidenhead,windsor-and-maidenhead,,155,
wirral,Wirral,wirral,,156,
wokingham,Wokingham,wokingham,,157,
wolverhampton,Wolverhampton,wolverhampton,,158,
worcestershire,Worcestershire,worcestershire,,159,
york,York,york,,160,
yorkshire-and-the-humber,Yorkshire and The Humber,yorkshire-and-the-humber,,161,
