AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
e08000008,tameside,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,87.75510204081633,Percentage,%,,,,1,
e08000009,trafford,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,92.3076923076923,Percentage,%,,,,1,
e08000010,wigan,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,93.7007874015748,Percentage,%,,,,1,
e10000017,lancashire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,89.61661341853036,Percentage,%,,,,1,
e08000011,knowsley,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,90.16393442622952,Percentage,%,,,,1,
e08000012,liverpool,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,85.62874251497006,Percentage,%,,,,1,
e08000014,sefton,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,91.2621359223301,Percentage,%,,,,1,
e08000013,st-helens,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,85.71428571428571,Percentage,%,,,,1,
e08000015,wirral,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,84.0,Percentage,%,,,,1,
e12000003,yorkshire-and-the-humber,region,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,89.74473802060008,Percentage,%,,,,1,
e06000011,east-riding-of-yorkshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,90.60402684563758,Percentage,%,,,,1,
e06000010,kingston-upon-hull-city-of,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,93.81443298969072,Percentage,%,,,,1,
e06000012,north-east-lincolnshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,95.23809523809524,Percentage,%,,,,1,
e06000013,north-lincolnshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,84.81012658227849,Percentage,%,,,,1,
e06000014,york,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,93.65079365079364,Percentage,%,,,,1,
e06000065,north-yorkshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,87.95518207282913,Percentage,%,,,,1,
e08000016,barnsley,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,94.50549450549453,Percentage,%,,,,1,
e08000017,doncaster,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,89.0625,Percentage,%,,,,1,
e08000018,rotherham,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,85.12396694214877,Percentage,%,,,,1,
e08000019,sheffield,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,92.090395480226,Percentage,%,,,,1,
e08000032,bradford,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,87.98076923076923,Percentage,%,,,,1,
e08000033,calderdale,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,90.0,Percentage,%,,,,1,
e08000034,kirklees,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,86.74033149171271,Percentage,%,,,,1,
e08000035,leeds,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,92.44604316546764,Percentage,%,,,,1,
e08000036,wakefield,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,88.65248226950355,Percentage,%,,,,1,
e12000004,east-midlands,region,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,88.85672937771345,Percentage,%,,,,1,
e06000015,derby,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,88.57142857142857,Percentage,%,,,,1,
