AREACD,AREANM,Geography,Variable Name,Indicator,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
k02000001,united-kingdom,country,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,81.7,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures.
k03000001,great-britain,country,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,81.4,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures.
k04000001,england-and-wales,country,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,82.0,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures.
e92000001,england,nation,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,82.5,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures.
e12000001,north-east,region,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,82.5,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures.
e47000006,tees-valley,combined-authority-or-city-region,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,92.3,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures.
e47000014,north-east,combined-authority-or-city-region,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,79.1,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures.
e06000047,county-durham,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,64.4,Percentage,%,,,,1,
e06000005,darlington,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,89.5,Percentage,%,,,,1,
e06000001,hartlepool,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,95.6,Percentage,%,,,,1,
e06000002,middlesbrough,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,94.7,Percentage,%,,,,1,
e06000057,northumberland,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,68.6,Percentage,%,,,,1,
e06000003,redcar-and-cleveland,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,89.9,Percentage,%,,,,1,
e06000004,stockton-on-tees,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,92.4,Percentage,%,,,,1,
e08000037,gateshead,local-authority-district,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,85.0,Percentage,%,,,,1,
e08000021,newcastle-upon-tyne,local-authority-district,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,90.8,Percentage,%,,,,1,
e08000022,north-tyneside,local-authority-district,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,91.4,Percentage,%,,,,1,
e08000023,south-tyneside,local-authority-district,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,87.6,Percentage,%,,,,1,
e08000024,sunderland,local-authority-district,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,89.5,Percentage,%,,,,1,
e12000002,north-west,region,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,86.7,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures.
e06000008,blackburn-with-darwen,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,85.8,Percentage,%,,,,1,
e06000009,blackpool,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,83.9,Percentage,%,,,,1,
e06000049,cheshire-east,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,80.1,Percentage,%,,,,1,
e06000050,cheshire-west-and-chester,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,79.3,Percentage,%,,,,1,
e06000006,halton,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,90.9,Percentage,%,,,,1,
e06000007,warrington,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,90.6,Percentage,%,,,,1,
e06000063,cumberland,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,53.8,Percentage,%,,,,1,
e06000064,westmorland-and-furness,county-or-unitary-authority,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,56.6,Percentage,%,,,,1,
e47000001,greater-manchester,combined-authority-or-city-region,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,90.2,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures.
e08000001,bolton,local-authority-district,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,92.3,Percentage,%,,,,1,
e08000002,bury,local-authority-district,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,92.5,Percentage,%,,,,1,
e08000003,manchester,local-authority-district,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,86.5,Percentage,%,,,,1,
e08000004,oldham,local-authority-district,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,95.1,Percentage,%,,,,1,
e08000005,rochdale,local-authority-district,Gigabit capable broadband,Premises with gigabit capable broadband,2024-07,85.8,Percentage,%,,,,1,
