Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2001-01,2001-01,2001-01,,0,,http://reference.data.gov.uk/id/month/2001-01
2001-02,2001-02,2001-02,,1,,http://reference.data.gov.uk/id/month/2001-02
2001-03,2001-03,2001-03,,2,,http://reference.data.gov.uk/id/month/2001-03
2001-04,2001-04,2001-04,,3,,http://reference.data.gov.uk/id/month/2001-04
2001-05,2001-05,2001-05,,4,,http://reference.data.gov.uk/id/month/2001-05
2001-06,2001-06,2001-06,,5,,http://reference.data.gov.uk/id/month/2001-06
2001-07,2001-07,2001-07,,6,,http://reference.data.gov.uk/id/month/2001-07
2001-08,2001-08,2001-08,,7,,http://reference.data.gov.uk/id/month/2001-08
2001-09,2001-09,2001-09,,8,,http://reference.data.gov.uk/id/month/2001-09
2001-10,2001-10,2001-10,,9,,http://reference.data.gov.uk/id/month/2001-10
2001-11,2001-11,2001-11,,10,,http://reference.data.gov.uk/id/month/2001-11
2001-12,2001-12,2001-12,,11,,http://reference.data.gov.uk/id/month/2001-12
2002-01,2002-01,2002-01,,12,,http://reference.data.gov.uk/id/month/2002-01
2002-02,2002-02,2002-02,,13,,http://reference.data.gov.uk/id/month/2002-02
2002-03,2002-03,2002-03,,14,,http://reference.data.gov.uk/id/month/2002-03
2002-04,2002-04,2002-04,,15,,http://reference.data.gov.uk/id/month/2002-04
2002-05,2002-05,2002-05,,16,,http://reference.data.gov.uk/id/month/2002-05
2002-06,2002-06,2002-06,,17,,http://reference.data.gov.uk/id/month/2002-06
2002-07,2002-07,2002-07,,18,,http://reference.data.gov.uk/id/month/2002-07
2002-08,2002-08,2002-08,,19,,http://reference.data.gov.uk/id/month/2002-08
2002-09,2002-09,2002-09,,20,,http://reference.data.gov.uk/id/month/2002-09
2002-10,2002-10,2002-10,,21,,http://reference.data.gov.uk/id/month/2002-10
2002-11,2002-11,2002-11,,22,,http://reference.data.gov.uk/id/month/2002-11
2002-12,2002-12,2002-12,,23,,http://reference.data.gov.uk/id/month/2002-12
2003-01,2003-01,2003-01,,24,,http://reference.data.gov.uk/id/month/2003-01
2003-02,2003-02,2003-02,,25,,http://reference.data.gov.uk/id/month/2003-02
2003-03,2003-03,2003-03,,26,,http://reference.data.gov.uk/id/month/2003-03
2003-04,2003-04,2003-04,,27,,http://reference.data.gov.uk/id/month/2003-04
2003-05,2003-05,2003-05,,28,,http://reference.data.gov.uk/id/month/2003-05
2003-06,2003-06,2003-06,,29,,http://reference.data.gov.uk/id/month/2003-06
2003-07,2003-07,2003-07,,30,,http://reference.data.gov.uk/id/month/2003-07
2003-08,2003-08,2003-08,,31,,http://reference.data.gov.uk/id/month/2003-08
2003-09,2003-09,2003-09,,32,,http://reference.data.gov.uk/id/month/2003-09
2003-10,2003-10,2003-10,,33,,http://reference.data.gov.uk/id/month/2003-10
2003-11,2003-11,2003-11,,34,,http://reference.data.gov.uk/id/month/2003-11
2003-12,2003-12,2003-12,,35,,http://reference.data.gov.uk/id/month/2003-12
2004-01,2004-01,2004-01,,36,,http://reference.data.gov.uk/id/month/2004-01
2004-02,2004-02,2004-02,,37,,http://reference.data.gov.uk/id/month/2004-02
2004-03,2004-03,2004-03,,38,,http://reference.data.gov.uk/id/month/2004-03
2004-04,2004-04,2004-04,,39,,http://reference.data.gov.uk/id/month/2004-04
2004-05,2004-05,2004-05,,40,,http://reference.data.gov.uk/id/month/2004-05
2004-06,2004-06,2004-06,,41,,http://reference.data.gov.uk/id/month/2004-06
2004-07,2004-07,2004-07,,42,,http://reference.data.gov.uk/id/month/2004-07
2004-08,2004-08,2004-08,,43,,http://reference.data.gov.uk/id/month/2004-08
2004-09,2004-09,2004-09,,44,,http://reference.data.gov.uk/id/month/2004-09
2004-10,2004-10,2004-10,,45,,http://reference.data.gov.uk/id/month/2004-10
2004-11,2004-11,2004-11,,46,,http://reference.data.gov.uk/id/month/2004-11
2004-12,2004-12,2004-12,,47,,http://reference.data.gov.uk/id/month/2004-12
2005-01,2005-01,2005-01,,48,,http://reference.data.gov.uk/id/month/2005-01
2005-02,2005-02,2005-02,,49,,http://reference.data.gov.uk/id/month/2005-02
2005-03,2005-03,2005-03,,50,,http://reference.data.gov.uk/id/month/2005-03
2005-04,2005-04,2005-04,,51,,http://reference.data.gov.uk/id/month/2005-04
2005-05,2005-05,2005-05,,52,,http://reference.data.gov.uk/id/month/2005-05
2005-06,2005-06,2005-06,,53,,http://reference.data.gov.uk/id/month/2005-06
2005-07,2005-07,2005-07,,54,,http://reference.data.gov.uk/id/month/2005-07
2005-08,2005-08,2005-08,,55,,http://reference.data.gov.uk/id/month/2005-08
2005-09,2005-09,2005-09,,56,,http://reference.data.gov.uk/id/month/2005-09
2005-10,2005-10,2005-10,,57,,http://reference.data.gov.uk/id/month/2005-10
2005-11,2005-11,2005-11,,58,,http://reference.data.gov.uk/id/month/2005-11
2005-12,2005-12,2005-12,,59,,http://reference.data.gov.uk/id/month/2005-12
2006-01,2006-01,2006-01,,60,,http://reference.data.gov.uk/id/month/2006-01
2006-02,2006-02,2006-02,,61,,http://reference.data.gov.uk/id/month/2006-02
2006-03,2006-03,2006-03,,62,,http://reference.data.gov.uk/id/month/2006-03
2006-04,2006-04,2006-04,,63,,http://reference.data.gov.uk/id/month/2006-04
2006-05,2006-05,2006-05,,64,,http://reference.data.gov.uk/id/month/2006-05
2006-06,2006-06,2006-06,,65,,http://reference.data.gov.uk/id/month/2006-06
2006-07,2006-07,2006-07,,66,,http://reference.data.gov.uk/id/month/2006-07
2006-08,2006-08,2006-08,,67,,http://reference.data.gov.uk/id/month/2006-08
2006-09,2006-09,2006-09,,68,,http://reference.data.gov.uk/id/month/2006-09
2006-10,2006-10,2006-10,,69,,http://reference.data.gov.uk/id/month/2006-10
2006-11,2006-11,2006-11,,70,,http://reference.data.gov.uk/id/month/2006-11
2006-12,2006-12,2006-12,,71,,http://reference.data.gov.uk/id/month/2006-12
2007-01,2007-01,2007-01,,72,,http://reference.data.gov.uk/id/month/2007-01
2007-02,2007-02,2007-02,,73,,http://reference.data.gov.uk/id/month/2007-02
2007-03,2007-03,2007-03,,74,,http://reference.data.gov.uk/id/month/2007-03
2007-04,2007-04,2007-04,,75,,http://reference.data.gov.uk/id/month/2007-04
2007-05,2007-05,2007-05,,76,,http://reference.data.gov.uk/id/month/2007-05
2007-06,2007-06,2007-06,,77,,http://reference.data.gov.uk/id/month/2007-06
2007-07,2007-07,2007-07,,78,,http://reference.data.gov.uk/id/month/2007-07
2007-08,2007-08,2007-08,,79,,http://reference.data.gov.uk/id/month/2007-08
2007-09,2007-09,2007-09,,80,,http://reference.data.gov.uk/id/month/2007-09
2007-10,2007-10,2007-10,,81,,http://reference.data.gov.uk/id/month/2007-10
2007-11,2007-11,2007-11,,82,,http://reference.data.gov.uk/id/month/2007-11
2007-12,2007-12,2007-12,,83,,http://reference.data.gov.uk/id/month/2007-12
2008-01,2008-01,2008-01,,84,,http://reference.data.gov.uk/id/month/2008-01
2008-02,2008-02,2008-02,,85,,http://reference.data.gov.uk/id/month/2008-02
2008-03,2008-03,2008-03,,86,,http://reference.data.gov.uk/id/month/2008-03
2008-04,2008-04,2008-04,,87,,http://reference.data.gov.uk/id/month/2008-04
2008-05,2008-05,2008-05,,88,,http://reference.data.gov.uk/id/month/2008-05
2008-06,2008-06,2008-06,,89,,http://reference.data.gov.uk/id/month/2008-06
2008-07,2008-07,2008-07,,90,,http://reference.data.gov.uk/id/month/2008-07
2008-08,2008-08,2008-08,,91,,http://reference.data.gov.uk/id/month/2008-08
2008-09,2008-09,2008-09,,92,,http://reference.data.gov.uk/id/month/2008-09
2008-10,2008-10,2008-10,,93,,http://reference.data.gov.uk/id/month/2008-10
2008-11,2008-11,2008-11,,94,,http://reference.data.gov.uk/id/month/2008-11
2008-12,2008-12,2008-12,,95,,http://reference.data.gov.uk/id/month/2008-12
2009-01,2009-01,2009-01,,96,,http://reference.data.gov.uk/id/month/2009-01
2009-02,2009-02,2009-02,,97,,http://reference.data.gov.uk/id/month/2009-02
2009-03,2009-03,2009-03,,98,,http://reference.data.gov.uk/id/month/2009-03
2009-04,2009-04,2009-04,,99,,http://reference.data.gov.uk/id/month/2009-04
2009-05,2009-05,2009-05,,100,,http://reference.data.gov.uk/id/month/2009-05
2009-06,2009-06,2009-06,,101,,http://reference.data.gov.uk/id/month/2009-06
2009-07,2009-07,2009-07,,102,,http://reference.data.gov.uk/id/month/2009-07
2009-08,2009-08,2009-08,,103,,http://reference.data.gov.uk/id/month/2009-08
2009-09,2009-09,2009-09,,104,,http://reference.data.gov.uk/id/month/2009-09
2009-10,2009-10,2009-10,,105,,http://reference.data.gov.uk/id/month/2009-10
2009-11,2009-11,2009-11,,106,,http://reference.data.gov.uk/id/month/2009-11
2009-12,2009-12,2009-12,,107,,http://reference.data.gov.uk/id/month/2009-12
2010-01,2010-01,2010-01,,108,,http://reference.data.gov.uk/id/month/2010-01
2010-02,2010-02,2010-02,,109,,http://reference.data.gov.uk/id/month/2010-02
2010-03,2010-03,2010-03,,110,,http://reference.data.gov.uk/id/month/2010-03
2010-04,2010-04,2010-04,,111,,http://reference.data.gov.uk/id/month/2010-04
2010-05,2010-05,2010-05,,112,,http://reference.data.gov.uk/id/month/2010-05
2010-06,2010-06,2010-06,,113,,http://reference.data.gov.uk/id/month/2010-06
2010-07,2010-07,2010-07,,114,,http://reference.data.gov.uk/id/month/2010-07
2010-08,2010-08,2010-08,,115,,http://reference.data.gov.uk/id/month/2010-08
2010-09,2010-09,2010-09,,116,,http://reference.data.gov.uk/id/month/2010-09
2010-10,2010-10,2010-10,,117,,http://reference.data.gov.uk/id/month/2010-10
2010-11,2010-11,2010-11,,118,,http://reference.data.gov.uk/id/month/2010-11
2010-12,2010-12,2010-12,,119,,http://reference.data.gov.uk/id/month/2010-12
2011-01,2011-01,2011-01,,120,,http://reference.data.gov.uk/id/month/2011-01
2011-02,2011-02,2011-02,,121,,http://reference.data.gov.uk/id/month/2011-02
2011-03,2011-03,2011-03,,122,,http://reference.data.gov.uk/id/month/2011-03
2011-04,2011-04,2011-04,,123,,http://reference.data.gov.uk/id/month/2011-04
2011-05,2011-05,2011-05,,124,,http://reference.data.gov.uk/id/month/2011-05
2011-06,2011-06,2011-06,,125,,http://reference.data.gov.uk/id/month/2011-06
2011-07,2011-07,2011-07,,126,,http://reference.data.gov.uk/id/month/2011-07
2011-08,2011-08,2011-08,,127,,http://reference.data.gov.uk/id/month/2011-08
2011-09,2011-09,2011-09,,128,,http://reference.data.gov.uk/id/month/2011-09
2011-10,2011-10,2011-10,,129,,http://reference.data.gov.uk/id/month/2011-10
2011-11,2011-11,2011-11,,130,,http://reference.data.gov.uk/id/month/2011-11
2011-12,2011-12,2011-12,,131,,http://reference.data.gov.uk/id/month/2011-12
2012-01,2012-01,2012-01,,132,,http://reference.data.gov.uk/id/month/2012-01
2012-02,2012-02,2012-02,,133,,http://reference.data.gov.uk/id/month/2012-02
2012-03,2012-03,2012-03,,134,,http://reference.data.gov.uk/id/month/2012-03
2012-04,2012-04,2012-04,,135,,http://reference.data.gov.uk/id/month/2012-04
2012-05,2012-05,2012-05,,136,,http://reference.data.gov.uk/id/month/2012-05
2012-06,2012-06,2012-06,,137,,http://reference.data.gov.uk/id/month/2012-06
2012-07,2012-07,2012-07,,138,,http://reference.data.gov.uk/id/month/2012-07
2012-08,2012-08,2012-08,,139,,http://reference.data.gov.uk/id/month/2012-08
2012-09,2012-09,2012-09,,140,,http://reference.data.gov.uk/id/month/2012-09
2012-10,2012-10,2012-10,,141,,http://reference.data.gov.uk/id/month/2012-10
