AREACD,AREANM,Period,Data source value,Data note
E11000007,Tyne and Wear (Met County),201819,[x],not available
E11000007,Tyne and Wear (Met County),201718,[x],not available
E11000007,Tyne and Wear (Met County),201415,[x],not available
E11000007,Tyne and Wear (Met County),201314,[x],not available
E11000007,Tyne and Wear (Met County),201213,[x],not available
E11000007,Tyne and Wear (Met County),201112,[x],not available
E11000007,Tyne and Wear (Met County),201516,[x],not available
E11000007,Tyne and Wear (Met County),201617,[x],not available
E11000001,Greater Manchester (Met County),201819,[x],not available
E11000001,Greater Manchester (Met County),201718,[x],not available
E11000001,Greater Manchester (Met County),201617,[x],not available
E11000001,Greater Manchester (Met County),201415,[x],not available
E11000001,Greater Manchester (Met County),201314,[x],not available
E11000001,Greater Manchester (Met County),201213,[x],not available
E11000001,Greater Manchester (Met County),201112,[x],not available
E11000001,Greater Manchester (Met County),201516,[x],not available
E11000002,Merseyside (Met County),201718,[x],not available
E11000002,Merseyside (Met County),201617,[x],not available
E11000002,Merseyside (Met County),201819,[x],not available
E11000002,Merseyside (Met County),201415,[x],not available
E11000002,Merseyside (Met County),201314,[x],not available
E11000002,Merseyside (Met County),201213,[x],not available
E11000002,Merseyside (Met County),201112,[x],not available
E11000002,Merseyside (Met County),201516,[x],not available
E11000003,South Yorkshire (Met County),201718,[x],not available
E11000003,South Yorkshire (Met County),201819,[x],not available
E11000003,South Yorkshire (Met County),201617,[x],not available
E11000003,South Yorkshire (Met County),201415,[x],not available
E11000003,South Yorkshire (Met County),201112,[x],not available
E11000003,South Yorkshire (Met County),201516,[x],not available
E11000003,South Yorkshire (Met County),201314,[x],not available
E11000003,South Yorkshire (Met County),201213,[x],not available
E11000006,West Yorkshire (Met County),201819,[x],not available
E11000006,West Yorkshire (Met County),201617,[x],not available
E11000006,West Yorkshire (Met County),201718,[x],not available
E11000006,West Yorkshire (Met County),201415,[x],not available
E11000006,West Yorkshire (Met County),201314,[x],not available
E11000006,West Yorkshire (Met County),201213,[x],not available
E11000006,West Yorkshire (Met County),201112,[x],not available
E11000006,West Yorkshire (Met County),201516,[x],not available
E06000061,North Northamptonshire,201819,[x],not available
E06000061,North Northamptonshire,201718,[x],not available
E06000061,North Northamptonshire,201617,[x],not available
E06000061,North Northamptonshire,201516,[x],not available
E06000061,North Northamptonshire,201415,[x],not available
E06000061,North Northamptonshire,201314,[x],not available
E06000061,North Northamptonshire,201213,[x],not available
E06000061,North Northamptonshire,201112,[x],not available
E06000062,West Northamptonshire,201819,[x],not available
E06000062,West Northamptonshire,201718,[x],not available
E06000062,West Northamptonshire,201617,[x],not available
E06000062,West Northamptonshire,201415,[x],not available
E06000062,West Northamptonshire,201314,[x],not available
E06000062,West Northamptonshire,201213,[x],not available
E06000062,West Northamptonshire,201112,[x],not available
E06000062,West Northamptonshire,201516,[x],not available
E13000001,Inner London,201819,[x],not available
E13000001,Inner London,201718,[x],not available
E13000001,Inner London,201617,[x],not available
E13000001,Inner London,201415,[x],not available
E13000001,Inner London,201314,[x],not available
E13000001,Inner London,201213,[x],not available
E13000001,Inner London,201112,[x],not available
E13000001,Inner London,201516,[x],not available
E13000002,Outer London,201819,[x],not available
E13000002,Outer London,201718,[x],not available
E13000002,Outer London,201617,[x],not available
E13000002,Outer London,201415,[x],not available
E13000002,Outer London,201314,[x],not available
E13000002,Outer London,201213,[x],not available
E13000002,Outer London,201112,[x],not available
E13000002,Outer London,201516,[x],not available
N09000001,Antrim and Newtownabbey,201112,[x],not available
N09000002,"Armagh City, Banbridge and Craigavon",201112,[x],not available
N09000003,Belfast,201112,[x],not available
N09000004,Causeway Coast and Glens,201112,[x],not available
N09000005,Derry City and Strabane,201112,[x],not available
N09000006,Fermanagh and Omagh,201112,[x],not available
N09000007,Lisburn and Castlereagh,201112,[x],not available
N09000008,Mid and East Antrim,201112,[x],not available
N09000009,Mid Ulster,201112,[x],not available
N09000010,"Newry, Mourne and Down",201112,[x],not available
N09000011,Ards and North Down,201112,[x],not available
E07000166,Richmondshire,201718,[u],low reliability
E07000135,Oadby and Wigston,202021,[u],low reliability
E07000135,Oadby and Wigston,201819,[u],low reliability
E07000135,Oadby and Wigston,202122,[u],low reliability
E07000136,Boston,202021,[u],low reliability
E09000001,City of London,202021,[u],low reliability
E09000001,City of London,201920,[u],low reliability
E09000001,City of London,201819,[u],low reliability
E09000001,City of London,201718,[u],low reliability
E09000001,City of London,201617,[u],low reliability
E09000001,City of London,202122,[u],low reliability
E09000001,City of London,201415,[u],low reliability
E09000001,City of London,201314,[u],low reliability
E09000001,City of London,201213,[u],low reliability
E09000001,City of London,201112,[u],low reliability
E09000001,City of London,201516,[u],low reliability
E07000109,Gravesham,202122,[u],low reliability
E07000223,Adur,201920,[u],low reliability
E06000053,Isles of Scilly,201718,[u],low reliability
E06000053,Isles of Scilly,202021,[u],low reliability
E06000053,Isles of Scilly,201920,[u],low reliability
E06000053,Isles of Scilly,201819,[u],low reliability
E06000053,Isles of Scilly,201617,[u],low reliability
E06000053,Isles of Scilly,202122,[u],low reliability
E06000053,Isles of Scilly,201415,[u],low reliability
E06000053,Isles of Scilly,201112,[u],low reliability
E06000053,Isles of Scilly,201516,[u],low reliability
E06000053,Isles of Scilly,201314,[u],low reliability
E06000053,Isles of Scilly,201213,[u],low reliability
S12000023,Orkney Islands,202122,[u],low reliability
