areacd,areanm,geography,period,unit,inward_fdi,inward_fdi_measure,inward_fdi_lower_confidence_interval_95,inward_fdi_upper_confidence_interval_95,inward_fdi_observation_status,outward_fdi,outward_fdi_measure,outward_fdi_lower_confidence_interval_95,outward_fdi_upper_confidence_interval_95,outward_fdi_observation_status
K02000001,United Kingdom,Country,2015,£ million,1032534,Pounds,,,,1083975,Pounds,,,
K02000001,United Kingdom,Country,2021,£ million,2002355,Pounds,,,,1769316,Pounds,,,
K02000001,United Kingdom,Country,2020,£ million,1919232,Pounds,,,,1753307,Pounds,,,
K02000001,United Kingdom,Country,2019,£ million,1640641,Pounds,,,,1651752,Pounds,,,
K02000001,United Kingdom,Country,2018,£ million,1572819,Pounds,,,,1453071,Pounds,,,
K02000001,United Kingdom,Country,2017,£ million,1392497,Pounds,,,,1369138,Pounds,,,
K02000001,United Kingdom,Country,2016,£ million,1187303,Pounds,,,,1274595,Pounds,,,
K99000001,UK not allocated,ITL Level 1,2020,£ million,87535,Pounds,,,,3022,Pounds,,,
K99000001,UK not allocated,ITL Level 1,2021,£ million,87590,Pounds,,,,2597,Pounds,,,
K99000001,UK not allocated,ITL Level 1,2019,£ million,176852,Pounds,,,,46752,Pounds,,,
K99000001,UK not allocated,ITL Level 1,2016,£ million,79168,Pounds,,,,27718,Pounds,,,
K99000001,UK not allocated,ITL Level 1,2017,£ million,143348,Pounds,,,,24720,Pounds,,,
K99000001,UK not allocated,ITL Level 1,2015,£ million,31485,Pounds,,,,16075,Pounds,,,
K99000001,UK not allocated,ITL Level 1,2018,£ million,185836,Pounds,,,,34911,Pounds,,,
TLC,North East,ITL Level 1,2015,£ million,15280,Pounds,,,,18069,Pounds,,,
TLC,North East,ITL Level 1,2016,£ million,17231,Pounds,,,,19089,Pounds,,,
TLC,North East,ITL Level 1,2017,£ million,23311,Pounds,,,,20185,Pounds,,,
TLC,North East,ITL Level 1,2018,£ million,24261,Pounds,,,,21233,Pounds,,,
TLC,North East,ITL Level 1,2019,£ million,23162,Pounds,,,,28638,Pounds,,,
TLC,North East,ITL Level 1,2020,£ million,30640,Pounds,,,,26718,Pounds,,,
TLC,North East,ITL Level 1,2021,£ million,27934,Pounds,,,,26878,Pounds,,,
TLC1,Tees Valley and Durham,ITL Level 2,2020,£ million,7812,Pounds,,,,16448,Pounds,,,
TLC1,Tees Valley and Durham,ITL Level 2,2021,£ million,7448,Pounds,,,,16413,Pounds,,,
TLC1,Tees Valley and Durham,ITL Level 2,2019,£ million,10653,Pounds,,,,18321,Pounds,,,
TLC1,Tees Valley and Durham,ITL Level 2,2016,£ million,5929,Pounds,,,,10916,Pounds,,,
TLC1,Tees Valley and Durham,ITL Level 2,2017,£ million,13050,Pounds,,,,9247,Pounds,,,
TLC1,Tees Valley and Durham,ITL Level 2,2015,£ million,6083,Pounds,,,,9515,Pounds,,,
TLC1,Tees Valley and Durham,ITL Level 2,2018,£ million,12828,Pounds,,,,10161,Pounds,,,
E47000006,Tees Valley,Combined Authority or City Region,2015,£ million,4423,Pounds,,,,4352,Pounds,,,
E47000006,Tees Valley,Combined Authority or City Region,2016,£ million,4587,Pounds,,,,5442,Pounds,,,
E47000006,Tees Valley,Combined Authority or City Region,2017,£ million,9740,Pounds,,,,4450,Pounds,,,
E47000006,Tees Valley,Combined Authority or City Region,2018,£ million,9882,Pounds,,,,5151,Pounds,,,
E47000006,Tees Valley,Combined Authority or City Region,2019,£ million,8725,Pounds,,,,4069,Pounds,,,
E47000006,Tees Valley,Combined Authority or City Region,2020,£ million,6006,Pounds,,,,4061,Pounds,,,
E47000006,Tees Valley,Combined Authority or City Region,2021,£ million,5549,Pounds,,,,3249,Pounds,,,
TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,2021,£ million,20486,Pounds,,,,10465,Pounds,,,
TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,2020,£ million,22828,Pounds,,,,10271,Pounds,,,
TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,2019,£ million,12510,Pounds,,,,10317,Pounds,,,
TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,2018,£ million,11433,Pounds,,,,11072,Pounds,,,
TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,2016,£ million,11303,Pounds,,,,8173,Pounds,,,
TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,2015,£ million,9197,Pounds,,,,8554,Pounds,,,
TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,2017,£ million,10261,Pounds,,,,10938,Pounds,,,
E47000011,North of Tyne,Combined Authority or City Region,2015,£ million,4099,Pounds,,,,5294,Pounds,,,
E47000011,North of Tyne,Combined Authority or City Region,2016,£ million,3240,Pounds,,,,5168,Pounds,,,
E47000011,North of Tyne,Combined Authority or City Region,2017,£ million,3067,Pounds,,,,6763,Pounds,,,
E47000011,North of Tyne,Combined Authority or City Region,2018,£ million,4691,Pounds,,,,7211,Pounds,,,
E47000011,North of Tyne,Combined Authority or City Region,2019,£ million,5820,Pounds,,,,6760,Pounds,,,
E47000011,North of Tyne,Combined Authority or City Region,2020,£ million,5800,Pounds,,,,6630,Pounds,,,
E47000011,North of Tyne,Combined Authority or City Region,2021,£ million,5313,Pounds,,,,7025,Pounds,,,
TLD,North West,ITL Level 1,2020,£ million,94029,Pounds,,,,79472,Pounds,,,
TLD,North West,ITL Level 1,2021,£ million,122856,Pounds,,,,92135,Pounds,,,
TLD,North West,ITL Level 1,2018,£ million,80222,Pounds,,,,67035,Pounds,,,
TLD,North West,ITL Level 1,2019,£ million,77556,Pounds,,,,73067,Pounds,,,
TLD,North West,ITL Level 1,2016,£ million,80451,Pounds,,,,61386,Pounds,,,
TLD,North West,ITL Level 1,2015,£ million,68719,Pounds,,,,46385,Pounds,,,
TLD,North West,ITL Level 1,2017,£ million,90384,Pounds,,,,61238,Pounds,,,
TLD1,Cumbria,ITL Level 2,2015,£ million,1992,Pounds,,,,2343,Pounds,,,
TLD1,Cumbria,ITL Level 2,2016,£ million,1776,Pounds,,,,2882,Pounds,,,
TLD1,Cumbria,ITL Level 2,2017,£ million,1749,Pounds,,,,2983,Pounds,,,
TLD1,Cumbria,ITL Level 2,2018,£ million,5245,Pounds,,,,4360,Pounds,,,
TLD1,Cumbria,ITL Level 2,2019,£ million,3874,Pounds,,,,6634,Pounds,,,
TLD1,Cumbria,ITL Level 2,2020,£ million,4584,Pounds,,,,4993,Pounds,,,
TLD1,Cumbria,ITL Level 2,2021,£ million,4630,Pounds,,,,5993,Pounds,,,
TLD3,Greater Manchester,ITL Level 2,2018,£ million,34208,Pounds,,,,32034,Pounds,,,
TLD3,Greater Manchester,ITL Level 2,2021,£ million,41792,Pounds,,,,38487,Pounds,,,
TLD3,Greater Manchester,ITL Level 2,2020,£ million,43452,Pounds,,,,35373,Pounds,,,
TLD3,Greater Manchester,ITL Level 2,2019,£ million,34182,Pounds,,,,36693,Pounds,,,
TLD3,Greater Manchester,ITL Level 2,2016,£ million,33188,Pounds,,,,34154,Pounds,,,
TLD3,Greater Manchester,ITL Level 2,2015,£ million,28770,Pounds,,,,23938,Pounds,,,
TLD3,Greater Manchester,ITL Level 2,2017,£ million,29006,Pounds,,,,30749,Pounds,,,
E47000001,Greater Manchester,Combined Authority or City Region,2020,£ million,43452,Pounds,,,,35373,Pounds,,,
E47000001,Greater Manchester,Combined Authority or City Region,2015,£ million,28770,Pounds,,,,23938,Pounds,,,
E47000001,Greater Manchester,Combined Authority or City Region,2016,£ million,33188,Pounds,,,,34154,Pounds,,,
E47000001,Greater Manchester,Combined Authority or City Region,2017,£ million,29006,Pounds,,,,30749,Pounds,,,
E47000001,Greater Manchester,Combined Authority or City Region,2018,£ million,34208,Pounds,,,,32034,Pounds,,,
E47000001,Greater Manchester,Combined Authority or City Region,2019,£ million,34182,Pounds,,,,36693,Pounds,,,
E47000001,Greater Manchester,Combined Authority or City Region,2021,£ million,41792,Pounds,,,,38487,Pounds,,,
TLD4,Lancashire,ITL Level 2,2021,£ million,37193,Pounds,,,,7994,Pounds,,,
TLD4,Lancashire,ITL Level 2,2019,£ million,9716,Pounds,,,,5962,Pounds,,,
TLD4,Lancashire,ITL Level 2,2018,£ million,10877,Pounds,,,,7781,Pounds,,,
TLD4,Lancashire,ITL Level 2,2020,£ million,9416,Pounds,,,,5435,Pounds,,,
TLD4,Lancashire,ITL Level 2,2016,£ million,29207,Pounds,,,,5814,Pounds,,,
