areacd,areanm,geography,period,unit,inward_fdi,inward_fdi_measure,inward_fdi_lower_confidence_interval_95,inward_fdi_upper_confidence_interval_95,inward_fdi_observation_status,outward_fdi,outward_fdi_measure,outward_fdi_lower_confidence_interval_95,outward_fdi_upper_confidence_interval_95,outward_fdi_observation_status
TLD4,Lancashire,ITL Level 2,2015,£ million,10528,Pounds,,,,4368,Pounds,,,
TLD4,Lancashire,ITL Level 2,2017,£ million,9190,Pounds,,,,6385,Pounds,,,
TLD6,Cheshire,ITL Level 2,2015,£ million,20784,Pounds,,,,8449,Pounds,,,
TLD6,Cheshire,ITL Level 2,2016,£ million,9807,Pounds,,,,10330,Pounds,,,
TLD6,Cheshire,ITL Level 2,2017,£ million,41288,Pounds,,,,11924,Pounds,,,
TLD6,Cheshire,ITL Level 2,2018,£ million,21325,Pounds,,,,12509,Pounds,,,
TLD6,Cheshire,ITL Level 2,2019,£ million,21896,Pounds,,,,11864,Pounds,,,
TLD6,Cheshire,ITL Level 2,2020,£ million,24838,Pounds,,,,12980,Pounds,,,
TLD6,Cheshire,ITL Level 2,2021,£ million,29176,Pounds,,,,17301,Pounds,,,
TLD7,Merseyside,ITL Level 2,2021,£ million,10067,Pounds,,,,22359,Pounds,,,
TLD7,Merseyside,ITL Level 2,2019,£ million,7888,Pounds,,,,11915,Pounds,,,
TLD7,Merseyside,ITL Level 2,2018,£ million,8568,Pounds,,,,10352,Pounds,,,
TLD7,Merseyside,ITL Level 2,2020,£ million,11738,Pounds,,,,20691,Pounds,,,
TLD7,Merseyside,ITL Level 2,2016,£ million,6474,Pounds,,,,8206,Pounds,,,
TLD7,Merseyside,ITL Level 2,2015,£ million,6645,Pounds,,,,7288,Pounds,,,
TLD7,Merseyside,ITL Level 2,2017,£ million,9150,Pounds,,,,9197,Pounds,,,
E47000004,Liverpool City Region,Combined Authority or City Region,2021,£ million,10067,Pounds,,,,22359,Pounds,,,
E47000004,Liverpool City Region,Combined Authority or City Region,2019,£ million,7888,Pounds,,,,11915,Pounds,,,
E47000004,Liverpool City Region,Combined Authority or City Region,2018,£ million,8568,Pounds,,,,10352,Pounds,,,
E47000004,Liverpool City Region,Combined Authority or City Region,2020,£ million,11738,Pounds,,,,20691,Pounds,,,
E47000004,Liverpool City Region,Combined Authority or City Region,2016,£ million,6474,Pounds,,,,8206,Pounds,,,
E47000004,Liverpool City Region,Combined Authority or City Region,2015,£ million,6645,Pounds,,,,7288,Pounds,,,
E47000004,Liverpool City Region,Combined Authority or City Region,2017,£ million,9150,Pounds,,,,9197,Pounds,,,
TLE,Yorkshire and The Humber,ITL Level 1,2020,£ million,64870,Pounds,,,,45121,Pounds,,,
TLE,Yorkshire and The Humber,ITL Level 1,2015,£ million,50260,Pounds,,,,42227,Pounds,,,
TLE,Yorkshire and The Humber,ITL Level 1,2016,£ million,37220,Pounds,,,,45360,Pounds,,,
TLE,Yorkshire and The Humber,ITL Level 1,2017,£ million,36906,Pounds,,,,44856,Pounds,,,
TLE,Yorkshire and The Humber,ITL Level 1,2018,£ million,53814,Pounds,,,,42944,Pounds,,,
TLE,Yorkshire and The Humber,ITL Level 1,2019,£ million,53253,Pounds,,,,40508,Pounds,,,
TLE,Yorkshire and The Humber,ITL Level 1,2021,£ million,80922,Pounds,,,,61364,Pounds,,,
TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,2020,£ million,12607,Pounds,,,,5441,Pounds,,,
TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,2021,£ million,18174,Pounds,,,,10379,Pounds,,,
TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,2019,£ million,10235,Pounds,,,,4739,Pounds,,,
TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,2016,£ million,11477,Pounds,,,,3623,Pounds,,,
TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,2017,£ million,9924,Pounds,,,,4034,Pounds,,,
TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,2018,£ million,10249,Pounds,,,,4893,Pounds,,,
TLE1,East Yorkshire and Northern Lincolnshire,ITL Level 2,2015,£ million,5647,Pounds,,,,3058,Pounds,,,
TLE2,North Yorkshire,ITL Level 2,2015,£ million,4292,Pounds,,,,13402,Pounds,,,
TLE2,North Yorkshire,ITL Level 2,2016,£ million,3717,Pounds,,,,15683,Pounds,,,
TLE2,North Yorkshire,ITL Level 2,2017,£ million,3241,Pounds,,,,12696,Pounds,,,
TLE2,North Yorkshire,ITL Level 2,2018,£ million,11222,Pounds,,,,6175,Pounds,,,
TLE2,North Yorkshire,ITL Level 2,2019,£ million,5863,Pounds,,,,5270,Pounds,,,
TLE2,North Yorkshire,ITL Level 2,2020,£ million,6067,Pounds,,,,4803,Pounds,,,
TLE2,North Yorkshire,ITL Level 2,2021,£ million,7508,Pounds,,,,5185,Pounds,,,
TLE3,South Yorkshire,ITL Level 2,2021,£ million,13624,Pounds,,,,8513,Pounds,,,
TLE3,South Yorkshire,ITL Level 2,2020,£ million,13914,Pounds,,,,10012,Pounds,,,
TLE3,South Yorkshire,ITL Level 2,2019,£ million,13672,Pounds,,,,8694,Pounds,,,
TLE3,South Yorkshire,ITL Level 2,2018,£ million,10033,Pounds,,,,8244,Pounds,,,
TLE3,South Yorkshire,ITL Level 2,2017,£ million,7404,Pounds,,,,7042,Pounds,,,
TLE3,South Yorkshire,ITL Level 2,2016,£ million,7698,Pounds,,,,7111,Pounds,,,
TLE3,South Yorkshire,ITL Level 2,2015,£ million,8543,Pounds,,,,6100,Pounds,,,
E47000002,South Yorkshire,Combined Authority or City Region,2015,£ million,8543,Pounds,,,,6100,Pounds,,,
E47000002,South Yorkshire,Combined Authority or City Region,2016,£ million,7698,Pounds,,,,7111,Pounds,,,
E47000002,South Yorkshire,Combined Authority or City Region,2017,£ million,7404,Pounds,,,,7042,Pounds,,,
E47000002,South Yorkshire,Combined Authority or City Region,2018,£ million,10033,Pounds,,,,8244,Pounds,,,
E47000002,South Yorkshire,Combined Authority or City Region,2019,£ million,13672,Pounds,,,,8694,Pounds,,,
E47000002,South Yorkshire,Combined Authority or City Region,2020,£ million,13914,Pounds,,,,10012,Pounds,,,
E47000002,South Yorkshire,Combined Authority or City Region,2021,£ million,13624,Pounds,,,,8513,Pounds,,,
TLE4,West Yorkshire,ITL Level 2,2021,£ million,41616,Pounds,,,,37288,Pounds,,,
TLE4,West Yorkshire,ITL Level 2,2020,£ million,32282,Pounds,,,,24865,Pounds,,,
TLE4,West Yorkshire,ITL Level 2,2019,£ million,23482,Pounds,,,,21806,Pounds,,,
TLE4,West Yorkshire,ITL Level 2,2018,£ million,22310,Pounds,,,,23632,Pounds,,,
TLE4,West Yorkshire,ITL Level 2,2017,£ million,16337,Pounds,,,,21083,Pounds,,,
TLE4,West Yorkshire,ITL Level 2,2016,£ million,14327,Pounds,,,,18944,Pounds,,,
TLE4,West Yorkshire,ITL Level 2,2015,£ million,31778,Pounds,,,,19666,Pounds,,,
E47000003,West Yorkshire,Combined Authority or City Region,2015,£ million,31778,Pounds,,,,19666,Pounds,,,
E47000003,West Yorkshire,Combined Authority or City Region,2016,£ million,14327,Pounds,,,,18944,Pounds,,,
E47000003,West Yorkshire,Combined Authority or City Region,2017,£ million,16337,Pounds,,,,21083,Pounds,,,
E47000003,West Yorkshire,Combined Authority or City Region,2018,£ million,22310,Pounds,,,,23632,Pounds,,,
E47000003,West Yorkshire,Combined Authority or City Region,2019,£ million,23482,Pounds,,,,21806,Pounds,,,
E47000003,West Yorkshire,Combined Authority or City Region,2020,£ million,32282,Pounds,,,,24865,Pounds,,,
E47000003,West Yorkshire,Combined Authority or City Region,2021,£ million,41616,Pounds,,,,37288,Pounds,,,
TLF,East Midlands,ITL Level 1,2021,£ million,56699,Pounds,,,,37563,Pounds,,,
TLF,East Midlands,ITL Level 1,2020,£ million,55379,Pounds,,,,33993,Pounds,,,
TLF,East Midlands,ITL Level 1,2019,£ million,58474,Pounds,,,,41570,Pounds,,,
TLF,East Midlands,ITL Level 1,2018,£ million,52283,Pounds,,,,45182,Pounds,,,
TLF,East Midlands,ITL Level 1,2017,£ million,42273,Pounds,,,,36809,Pounds,,,
TLF,East Midlands,ITL Level 1,2016,£ million,36572,Pounds,,,,40121,Pounds,,,
TLF,East Midlands,ITL Level 1,2015,£ million,37102,Pounds,,,,31444,Pounds,,,
TLF1,Derbyshire and Nottinghamshire,ITL Level 2,2015,£ million,20943,Pounds,,,,20706,Pounds,,,
TLF1,Derbyshire and Nottinghamshire,ITL Level 2,2016,£ million,21112,Pounds,,,,25983,Pounds,,,
TLF1,Derbyshire and Nottinghamshire,ITL Level 2,2017,£ million,19202,Pounds,,,,19285,Pounds,,,
TLF1,Derbyshire and Nottinghamshire,ITL Level 2,2018,£ million,23342,Pounds,,,,22059,Pounds,,,
TLF1,Derbyshire and Nottinghamshire,ITL Level 2,2019,£ million,31418,Pounds,,,,19006,Pounds,,,
TLF1,Derbyshire and Nottinghamshire,ITL Level 2,2020,£ million,31908,Pounds,,,,14979,Pounds,,,
TLF1,Derbyshire and Nottinghamshire,ITL Level 2,2021,£ million,27895,Pounds,,,,16894,Pounds,,,
TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,2020,£ million,18116,Pounds,,,,16786,Pounds,,,
TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,2019,£ million,22594,Pounds,,,,20249,Pounds,,,
TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,2018,£ million,23920,Pounds,,,,20361,Pounds,,,
TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,2021,£ million,23606,Pounds,,,,18004,Pounds,,,
TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,2016,£ million,12654,Pounds,,,,12584,Pounds,,,
TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,2015,£ million,12790,Pounds,,,,9456,Pounds,,,
TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,2017,£ million,19419,Pounds,,,,15195,Pounds,,,
TLF3,Lincolnshire,ITL Level 2,2015,£ million,3369,Pounds,,,,1281,Pounds,,,
TLF3,Lincolnshire,ITL Level 2,2016,£ million,2806,Pounds,,,,1554,Pounds,,,
TLF3,Lincolnshire,ITL Level 2,2017,£ million,3652,Pounds,,,,2329,Pounds,,,
TLF3,Lincolnshire,ITL Level 2,2018,£ million,5020,Pounds,,,,2762,Pounds,,,
TLF3,Lincolnshire,ITL Level 2,2019,£ million,4462,Pounds,,,,2315,Pounds,,,
TLF3,Lincolnshire,ITL Level 2,2020,£ million,5355,Pounds,,,,2228,Pounds,,,
TLF3,Lincolnshire,ITL Level 2,2021,£ million,5199,Pounds,,,,2666,Pounds,,,
TLG,West Midlands,ITL Level 1,2021,£ million,91384,Pounds,,,,107051,Pounds,,,
TLG,West Midlands,ITL Level 1,2020,£ million,88319,Pounds,,,,119432,Pounds,,,
TLG,West Midlands,ITL Level 1,2019,£ million,60836,Pounds,,,,100583,Pounds,,,
TLG,West Midlands,ITL Level 1,2018,£ million,57337,Pounds,,,,73554,Pounds,,,
TLG,West Midlands,ITL Level 1,2017,£ million,55278,Pounds,,,,70681,Pounds,,,
TLG,West Midlands,ITL Level 1,2016,£ million,63033,Pounds,,,,63809,Pounds,,,
TLG,West Midlands,ITL Level 1,2015,£ million,62431,Pounds,,,,52780,Pounds,,,
TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,2015,£ million,11599,Pounds,,,,10773,Pounds,,,
TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,2016,£ million,13523,Pounds,,,,15319,Pounds,,,
TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,2017,£ million,10215,Pounds,,,,16469,Pounds,,,
TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,2018,£ million,18928,Pounds,,,,17329,Pounds,,,
TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,2019,£ million,11908,Pounds,,,,42472,Pounds,,,
TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,2020,£ million,14429,Pounds,,,,36585,Pounds,,,
TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,2021,£ million,17247,Pounds,,,,26018,Pounds,,,
TLG2,Shropshire and Staffordshire,ITL Level 2,2020,£ million,13536,Pounds,,,,14342,Pounds,,,
TLG2,Shropshire and Staffordshire,ITL Level 2,2019,£ million,8975,Pounds,,,,11822,Pounds,,,
TLG2,Shropshire and Staffordshire,ITL Level 2,2018,£ million,13054,Pounds,,,,14020,Pounds,,,
TLG2,Shropshire and Staffordshire,ITL Level 2,2021,£ million,13494,Pounds,,,,14536,Pounds,,,
TLG2,Shropshire and Staffordshire,ITL Level 2,2016,£ million,12534,Pounds,,,,12583,Pounds,,,
TLG2,Shropshire and Staffordshire,ITL Level 2,2015,£ million,13018,Pounds,,,,10446,Pounds,,,
TLG2,Shropshire and Staffordshire,ITL Level 2,2017,£ million,9569,Pounds,,,,12965,Pounds,,,
TLG3,West Midlands,ITL Level 2,2015,£ million,37815,Pounds,,,,31561,Pounds,,,
TLG3,West Midlands,ITL Level 2,2016,£ million,36976,Pounds,,,,35907,Pounds,,,
TLG3,West Midlands,ITL Level 2,2017,£ million,35494,Pounds,,,,41247,Pounds,,,
TLG3,West Midlands,ITL Level 2,2018,£ million,25355,Pounds,,,,42205,Pounds,,,
TLG3,West Midlands,ITL Level 2,2019,£ million,39954,Pounds,,,,46288,Pounds,,,
TLG3,West Midlands,ITL Level 2,2020,£ million,60354,Pounds,,,,68505,Pounds,,,
TLG3,West Midlands,ITL Level 2,2021,£ million,60642,Pounds,,,,66497,Pounds,,,
E47000007,West Midlands,Combined Authority or City Region,2020,£ million,60354,Pounds,,,,68505,Pounds,,,
E47000007,West Midlands,Combined Authority or City Region,2019,£ million,39954,Pounds,,,,46288,Pounds,,,
E47000007,West Midlands,Combined Authority or City Region,2018,£ million,25355,Pounds,,,,42205,Pounds,,,
E47000007,West Midlands,Combined Authority or City Region,2021,£ million,60642,Pounds,,,,66497,Pounds,,,
E47000007,West Midlands,Combined Authority or City Region,2016,£ million,36976,Pounds,,,,35907,Pounds,,,
E47000007,West Midlands,Combined Authority or City Region,2015,£ million,37815,Pounds,,,,31561,Pounds,,,
E47000007,West Midlands,Combined Authority or City Region,2017,£ million,35494,Pounds,,,,41247,Pounds,,,
TLH,East of England,ITL Level 1,2020,£ million,86487,Pounds,,,,95497,Pounds,,,
TLH,East of England,ITL Level 1,2019,£ million,90480,Pounds,,,,98142,Pounds,,,
TLH,East of England,ITL Level 1,2018,£ million,80330,Pounds,,,,89322,Pounds,,,
TLH,East of England,ITL Level 1,2021,£ million,84770,Pounds,,,,98721,Pounds,,,
TLH,East of England,ITL Level 1,2016,£ million,86969,Pounds,,,,92784,Pounds,,,
TLH,East of England,ITL Level 1,2015,£ million,53318,Pounds,,,,80491,Pounds,,,
TLH,East of England,ITL Level 1,2017,£ million,63442,Pounds,,,,83241,Pounds,,,
TLH1,East Anglia,ITL Level 2,2015,£ million,24466,Pounds,,,,36669,Pounds,,,
TLH1,East Anglia,ITL Level 2,2016,£ million,28574,Pounds,,,,40840,Pounds,,,
TLH1,East Anglia,ITL Level 2,2017,£ million,26516,Pounds,,,,42200,Pounds,,,
TLH1,East Anglia,ITL Level 2,2018,£ million,28031,Pounds,,,,22686,Pounds,,,
TLH1,East Anglia,ITL Level 2,2019,£ million,28140,Pounds,,,,20436,Pounds,,,
TLH1,East Anglia,ITL Level 2,2020,£ million,36351,Pounds,,,,21601,Pounds,,,
TLH1,East Anglia,ITL Level 2,2021,£ million,32396,Pounds,,,,20853,Pounds,,,
E47000008,Cambridgeshire and Peterborough,Combined Authority or City Region,2019,£ million,14926,Pounds,,,,8173,Pounds,,,
E47000008,Cambridgeshire and Peterborough,Combined Authority or City Region,2020,£ million,19158,Pounds,,,,8374,Pounds,,,
E47000008,Cambridgeshire and Peterborough,Combined Authority or City Region,2018,£ million,13543,Pounds,,,,7445,Pounds,,,
E47000008,Cambridgeshire and Peterborough,Combined Authority or City Region,2021,£ million,19607,Pounds,,,,8517,Pounds,,,
E47000008,Cambridgeshire and Peterborough,Combined Authority or City Region,2016,£ million,15029,Pounds,,,,26877,Pounds,,,
E47000008,Cambridgeshire and Peterborough,Combined Authority or City Region,2017,£ million,14058,Pounds,,,,28185,Pounds,,,
E47000008,Cambridgeshire and Peterborough,Combined Authority or City Region,2015,£ million,12589,Pounds,,,,26132,Pounds,,,
TLH2,Bedfordshire and Hertfordshire,ITL Level 2,2015,£ million,16343,Pounds,,,,34811,Pounds,,,
TLH2,Bedfordshire and Hertfordshire,ITL Level 2,2016,£ million,48638,Pounds,,,,40649,Pounds,,,
TLH2,Bedfordshire and Hertfordshire,ITL Level 2,2017,£ million,25627,Pounds,,,,30895,Pounds,,,
TLH2,Bedfordshire and Hertfordshire,ITL Level 2,2018,£ million,40397,Pounds,,,,56303,Pounds,,,
TLH2,Bedfordshire and Hertfordshire,ITL Level 2,2019,£ million,49158,Pounds,,,,68433,Pounds,,,
TLH2,Bedfordshire and Hertfordshire,ITL Level 2,2020,£ million,39071,Pounds,,,,64715,Pounds,,,
TLH2,Bedfordshire and Hertfordshire,ITL Level 2,2021,£ million,39855,Pounds,,,,68312,Pounds,,,
TLH3,Essex,ITL Level 2,2019,£ million,13182,Pounds,,,,9272,Pounds,,,
TLH3,Essex,ITL Level 2,2021,£ million,12519,Pounds,,,,9555,Pounds,,,
TLH3,Essex,ITL Level 2,2020,£ million,11065,Pounds,,,,9181,Pounds,,,
TLH3,Essex,ITL Level 2,2015,£ million,12509,Pounds,,,,9011,Pounds,,,
TLH3,Essex,ITL Level 2,2017,£ million,11299,Pounds,,,,10146,Pounds,,,
TLH3,Essex,ITL Level 2,2016,£ million,9757,Pounds,,,,11295,Pounds,,,
TLH3,Essex,ITL Level 2,2018,£ million,11902,Pounds,,,,10333,Pounds,,,
TLI,London,ITL Level 1,2021,£ million,907427,Pounds,,,,805325,Pounds,,,
TLI,London,ITL Level 1,2020,£ million,924571,Pounds,,,,763589,Pounds,,,
TLI,London,ITL Level 1,2019,£ million,683412,Pounds,,,,701415,Pounds,,,
TLI,London,ITL Level 1,2015,£ million,412697,Pounds,,,,385164,Pounds,,,
TLI,London,ITL Level 1,2017,£ million,565190,Pounds,,,,518098,Pounds,,,
TLI,London,ITL Level 1,2016,£ million,453476,Pounds,,,,468094,Pounds,,,
TLI,London,ITL Level 1,2018,£ million,671721,Pounds,,,,569176,Pounds,,,
TLI3,Inner London - West,ITL Level 2,2019,£ million,439323,Pounds,,,,527607,Pounds,,,
TLI3,Inner London - West,ITL Level 2,2020,£ million,622487,Pounds,,,,581918,Pounds,,,
TLI3,Inner London - West,ITL Level 2,2018,£ million,446100,Pounds,,,,421423,Pounds,,,
TLI3,Inner London - West,ITL Level 2,2021,£ million,620556,Pounds,,,,609764,Pounds,,,
TLI3,Inner London - West,ITL Level 2,2016,£ million,256636,Pounds,,,,339807,Pounds,,,
TLI3,Inner London - West,ITL Level 2,2015,£ million,239276,Pounds,,,,281365,Pounds,,,
TLI3,Inner London - West,ITL Level 2,2017,£ million,364507,Pounds,,,,383025,Pounds,,,
TLI4,Inner London - East,ITL Level 2,2021,£ million,185788,Pounds,,,,120219,Pounds,,,
