areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
E92000001,England,Nation,Sports facilities,2023-10-05,17.13,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,This data has been aggregated and may show differences to other published figures
E12000001,North East,Region,Sports facilities,2023-10-05,16.86,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,This data has been aggregated and may show differences to other published figures
E47000006,Tees Valley,Combined Authority or City Region,Sports facilities,2023-10-05,16.11,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,This data has been aggregated and may show differences to other published figures
E47000014,North East,Combined Authority or City Region,Sports facilities,2023-10-05,17.11,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,This data has been aggregated and may show differences to other published figures
E06000047,County Durham,County or Unitary Authority,Sports facilities,2023-10-05,18.66,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,
E06000005,Darlington,County or Unitary Authority,Sports facilities,2023-10-05,18.55,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,
E06000001,Hartlepool,County or Unitary Authority,Sports facilities,2023-10-05,17.44,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,
E06000002,Middlesbrough,County or Unitary Authority,Sports facilities,2023-10-05,13.55,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,
E06000057,Northumberland,County or Unitary Authority,Sports facilities,2023-10-05,22.77,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,
E06000003,Redcar and Cleveland,County or Unitary Authority,Sports facilities,2023-10-05,16.48,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,
E06000004,Stockton-on-Tees,County or Unitary Authority,Sports facilities,2023-10-05,15.77,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,
E08000037,Gateshead,Local Authority District,Sports facilities,2023-10-05,13.76,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,
E08000021,Newcastle upon Tyne,Local Authority District,Sports facilities,2023-10-05,14.36,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,
E08000022,North Tyneside,Local Authority District,Sports facilities,2023-10-05,15.55,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,
E08000023,South Tyneside,Local Authority District,Sports facilities,2023-10-05,15.16,"Counts of sports facilities per 10,000 people","Count per 10,000 people",,,,
