AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
K02000001,United Kingdom,Country,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,13447,Pounds,£ million,,,,1,
E92000001,England,Nation,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,11586,Pounds,£ million,,,,1,
E12000001,North East,Region,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,408,Pounds,£ million,,,,1,
E12000002,North West ,Region,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,1120,Pounds,£ million,,,,1,
E12000003,Yorkshire and The Humber,Region,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,788,Pounds,£ million,,,,1,
E12000004,East Midlands,Region,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,651,Pounds,£ million,,,,1,
E12000005,West Midlands,Region,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,747,Pounds,£ million,,,,1,
E12000006,East of England,Region,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,1277,Pounds,£ million,,,,1,
E12000007,London,Region,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,2737,Pounds,£ million,,,,1,
E12000008,South East,Region,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,2690,Pounds,£ million,,,,1,
E12000009,South West,Region,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,1168,Pounds,£ million,,,,1,
W92000004,Wales,Nation,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,361,Pounds,£ million,,,,1,
S92000003,Scotland,Nation,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,1283,Pounds,£ million,,,,1,
N92000002,Northern Ireland,Nation,Public-funded gross regional capital and non-capital expenditure on research and development,Public-funded gross regional capital and non-capital expenditure on research and development,Mission 2,"Boosting productivity, pay, jobs and living standards",2020-2021,218,Pounds,£ million,,,,1,
