Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2017-08-01t00-00-00/p1y,2017-08-01T00:00:00/P1Y,2017-08-01t00-00-00/p1y,,0,,http://reference.data.gov.uk/id/gregorian-interval/2017-08-01T00:00:00/P1Y
2018-08-01t00-00-00/p1y,2018-08-01T00:00:00/P1Y,2018-08-01t00-00-00/p1y,,1,,http://reference.data.gov.uk/id/gregorian-interval/2018-08-01T00:00:00/P1Y
2020-08-01t00-00-00/p1y,2020-08-01T00:00:00/P1Y,2020-08-01t00-00-00/p1y,,2,,http://reference.data.gov.uk/id/gregorian-interval/2020-08-01T00:00:00/P1Y
2021-08-01t00-00-00/p1y,2021-08-01T00:00:00/P1Y,2021-08-01t00-00-00/p1y,,3,,http://reference.data.gov.uk/id/gregorian-interval/2021-08-01T00:00:00/P1Y
2022-08-01t00-00-00/p1y,2022-08-01T00:00:00/P1Y,2022-08-01t00-00-00/p1y,,4,,http://reference.data.gov.uk/id/gregorian-interval/2022-08-01T00:00:00/P1Y
