Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2023-07,2023-07,2023-07,,0,,http://reference.data.gov.uk/id/month/2023-07
2023-08,2023-08,2023-08,,1,,http://reference.data.gov.uk/id/month/2023-08
2023-09,2023-09,2023-09,,2,,http://reference.data.gov.uk/id/month/2023-09
2023-10,2023-10,2023-10,,3,,http://reference.data.gov.uk/id/month/2023-10
2023-11,2023-11,2023-11,,4,,http://reference.data.gov.uk/id/month/2023-11
2023-12,2023-12,2023-12,,5,,http://reference.data.gov.uk/id/month/2023-12
2024-01,2024-01,2024-01,,6,,http://reference.data.gov.uk/id/month/2024-01
2024-02,2024-02,2024-02,,7,,http://reference.data.gov.uk/id/month/2024-02
2024-03,2024-03,2024-03,,8,,http://reference.data.gov.uk/id/month/2024-03
2024-04,2024-04,2024-04,,9,,http://reference.data.gov.uk/id/month/2024-04
2024-05,2024-05,2024-05,,10,,http://reference.data.gov.uk/id/month/2024-05
2024-06,2024-06,2024-06,,11,,http://reference.data.gov.uk/id/month/2024-06
2024-07,2024-07,2024-07,,12,,http://reference.data.gov.uk/id/month/2024-07
2024-08,2024-08,2024-08,,13,,http://reference.data.gov.uk/id/month/2024-08
2024-09,2024-09,2024-09,,14,,http://reference.data.gov.uk/id/month/2024-09
2024-10,2024-10,2024-10,,15,,http://reference.data.gov.uk/id/month/2024-10
2024-11,2024-11,2024-11,,16,,http://reference.data.gov.uk/id/month/2024-11
2024-12,2024-12,2024-12,,17,,http://reference.data.gov.uk/id/month/2024-12
