Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
95aa01s1,95AA01S1,95aa01s1,,0,
95aa01s2,95AA01S2,95aa01s2,,1,
95aa01s3,95AA01S3,95aa01s3,,2,
95aa02w1,95AA02W1,95aa02w1,,3,
95aa03w1,95AA03W1,95aa03w1,,4,
95aa04w1,95AA04W1,95aa04w1,,5,
95aa05w1,95AA05W1,95aa05w1,,6,
95aa06s1,95AA06S1,95aa06s1,,7,
95aa06s2,95AA06S2,95aa06s2,,8,
95aa07w1,95AA07W1,95aa07w1,,9,
95aa08w1,95AA08W1,95aa08w1,,10,
95aa09w1,95AA09W1,95aa09w1,,11,
95aa10w1,95AA10W1,95aa10w1,,12,
95aa11s1,95AA11S1,95aa11s1,,13,
95aa11s2,95AA11S2,95aa11s2,,14,
95aa12w1,95AA12W1,95aa12w1,,15,
95aa13s1,95AA13S1,95aa13s1,,16,
95aa13s2,95AA13S2,95aa13s2,,17,
95aa14w1,95AA14W1,95aa14w1,,18,
95aa15s1,95AA15S1,95aa15s1,,19,
95aa15s2,95AA15S2,95aa15s2,,20,
95aa16w1,95AA16W1,95aa16w1,,21,
95aa17w1,95AA17W1,95aa17w1,,22,
95aa18w1,95AA18W1,95aa18w1,,23,
95aa19w1,95AA19W1,95aa19w1,,24,
95bb01s1,95BB01S1,95bb01s1,,25,
95bb01s2,95BB01S2,95bb01s2,,26,
95bb02w1,95BB02W1,95bb02w1,,27,
95bb03s1,95BB03S1,95bb03s1,,28,
95bb03s2,95BB03S2,95bb03s2,,29,
95bb04s1,95BB04S1,95bb04s1,,30,
95bb04s2,95BB04S2,95bb04s2,,31,
95bb05s1,95BB05S1,95bb05s1,,32,
95bb05s2,95BB05S2,95bb05s2,,33,
95bb06w1,95BB06W1,95bb06w1,,34,
95bb07s1,95BB07S1,95bb07s1,,35,
95bb07s2,95BB07S2,95bb07s2,,36,
95bb08s1,95BB08S1,95bb08s1,,37,
95bb08s2,95BB08S2,95bb08s2,,38,
95bb09s1,95BB09S1,95bb09s1,,39,
95bb09s2,95BB09S2,95bb09s2,,40,
95bb10s1,95BB10S1,95bb10s1,,41,
95bb10s2,95BB10S2,95bb10s2,,42,
95bb11s1,95BB11S1,95bb11s1,,43,
95bb11s2,95BB11S2,95bb11s2,,44,
95bb12s1,95BB12S1,95bb12s1,,45,
95bb12s2,95BB12S2,95bb12s2,,46,
95bb13s1,95BB13S1,95bb13s1,,47,
95bb13s2,95BB13S2,95bb13s2,,48,
95bb13s3,95BB13S3,95bb13s3,,49,
95bb14s1,95BB14S1,95bb14s1,,50,
95bb14s2,95BB14S2,95bb14s2,,51,
95bb15s1,95BB15S1,95bb15s1,,52,
95bb15s2,95BB15S2,95bb15s2,,53,
95bb16s1,95BB16S1,95bb16s1,,54,
95bb16s2,95BB16S2,95bb16s2,,55,
95bb17s1,95BB17S1,95bb17s1,,56,
95bb17s2,95BB17S2,95bb17s2,,57,
95bb18s1,95BB18S1,95bb18s1,,58,
95bb18s2,95BB18S2,95bb18s2,,59,
95bb19s1,95BB19S1,95bb19s1,,60,
95bb19s2,95BB19S2,95bb19s2,,61,
95bb19s3,95BB19S3,95bb19s3,,62,
95bb20s1,95BB20S1,95bb20s1,,63,
95bb20s2,95BB20S2,95bb20s2,,64,
95bb21s1,95BB21S1,95bb21s1,,65,
95bb21s2,95BB21S2,95bb21s2,,66,
95bb22s1,95BB22S1,95bb22s1,,67,
95bb22s2,95BB22S2,95bb22s2,,68,
95bb23s1,95BB23S1,95bb23s1,,69,
95bb23s2,95BB23S2,95bb23s2,,70,
95cc01w1,95CC01W1,95cc01w1,,71,
95cc02w1,95CC02W1,95cc02w1,,72,
95cc03w1,95CC03W1,95cc03w1,,73,
95cc04w1,95CC04W1,95cc04w1,,74,
95cc05w1,95CC05W1,95cc05w1,,75,
95cc06s1,95CC06S1,95cc06s1,,76,
95cc06s2,95CC06S2,95cc06s2,,77,
95cc07w1,95CC07W1,95cc07w1,,78,
95cc08w1,95CC08W1,95cc08w1,,79,
95cc09s1,95CC09S1,95cc09s1,,80,
95cc09s2,95CC09S2,95cc09s2,,81,
95cc10w1,95CC10W1,95cc10w1,,82,
95cc11w1,95CC11W1,95cc11w1,,83,
95cc12w1,95CC12W1,95cc12w1,,84,
95cc13w1,95CC13W1,95cc13w1,,85,
95cc14w1,95CC14W1,95cc14w1,,86,
95cc15w1,95CC15W1,95cc15w1,,87,
95cc16w1,95CC16W1,95cc16w1,,88,
95cc17w1,95CC17W1,95cc17w1,,89,
95cc18w1,95CC18W1,95cc18w1,,90,
95cc19w1,95CC19W1,95cc19w1,,91,
95cc20s1,95CC20S1,95cc20s1,,92,
