Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
e23000036,Avon and Somerset,E23000036,,0,,http://statistics.data.gov.uk/id/statistical-geography/E23000036
e23000026,Bedfordshire,E23000026,,1,,http://statistics.data.gov.uk/id/statistical-geography/E23000026
e23000023,Cambridgeshire,E23000023,,2,,http://statistics.data.gov.uk/id/statistical-geography/E23000023
e23000006,Cheshire,E23000006,,3,,http://statistics.data.gov.uk/id/statistical-geography/E23000006
e23000013,Cleveland,E23000013,,4,,http://statistics.data.gov.uk/id/statistical-geography/E23000013
e23000002,Cumbria,E23000002,,5,,http://statistics.data.gov.uk/id/statistical-geography/E23000002
e23000018,Derbyshire,E23000018,,6,,http://statistics.data.gov.uk/id/statistical-geography/E23000018
e23000035,Devon and Cornwall,E23000035,,7,,http://statistics.data.gov.uk/id/statistical-geography/E23000035
e23000039,Dorset,E23000039,,8,,http://statistics.data.gov.uk/id/statistical-geography/E23000039
e23000008,Durham,E23000008,,9,,http://statistics.data.gov.uk/id/statistical-geography/E23000008
w15000004,Dyfed-Powys,W15000004,,10,,http://statistics.data.gov.uk/id/statistical-geography/W15000004
e12000004,East Midlands,E12000004,,11,,http://statistics.data.gov.uk/id/statistical-geography/E12000004
e12000006,East of England,E12000006,,12,,http://statistics.data.gov.uk/id/statistical-geography/E12000006
e92000001,England,E92000001,,13,,http://statistics.data.gov.uk/id/statistical-geography/E92000001
k04000001,England and Wales,K04000001,,14,,http://statistics.data.gov.uk/id/statistical-geography/K04000001
e23000028,Essex,E23000028,,15,,http://statistics.data.gov.uk/id/statistical-geography/E23000028
e23000037,Gloucestershire,E23000037,,16,,http://statistics.data.gov.uk/id/statistical-geography/E23000037
e23000005,Greater Manchester,E23000005,,17,,http://statistics.data.gov.uk/id/statistical-geography/E23000005
w15000002,Gwent,W15000002,,18,,http://statistics.data.gov.uk/id/statistical-geography/W15000002
e23000030,Hampshire,E23000030,,19,,http://statistics.data.gov.uk/id/statistical-geography/E23000030
e23000027,Hertfordshire,E23000027,,20,,http://statistics.data.gov.uk/id/statistical-geography/E23000027
e23000012,Humberside,E23000012,,21,,http://statistics.data.gov.uk/id/statistical-geography/E23000012
e23000032,Kent,E23000032,,22,,http://statistics.data.gov.uk/id/statistical-geography/E23000032
e23000003,Lancashire,E23000003,,23,,http://statistics.data.gov.uk/id/statistical-geography/E23000003
e23000021,Leicestershire,E23000021,,24,,http://statistics.data.gov.uk/id/statistical-geography/E23000021
e23000020,Lincolnshire,E23000020,,25,,http://statistics.data.gov.uk/id/statistical-geography/E23000020
e12000007,London,E12000007,,26,,http://statistics.data.gov.uk/id/statistical-geography/E12000007
e23000034,"London, City of",E23000034,,27,,http://statistics.data.gov.uk/id/statistical-geography/E23000034
e23000004,Merseyside,E23000004,,28,,http://statistics.data.gov.uk/id/statistical-geography/E23000004
e23000001,Metropolitan Police,E23000001,,29,,http://statistics.data.gov.uk/id/statistical-geography/E23000001
e23000024,Norfolk,E23000024,,30,,http://statistics.data.gov.uk/id/statistical-geography/E23000024
e12000001,North East,E12000001,,31,,http://statistics.data.gov.uk/id/statistical-geography/E12000001
w15000001,North Wales,W15000001,,32,,http://statistics.data.gov.uk/id/statistical-geography/W15000001
e12000002,North West,E12000002,,33,,http://statistics.data.gov.uk/id/statistical-geography/E12000002
e23000009,North Yorkshire,E23000009,,34,,http://statistics.data.gov.uk/id/statistical-geography/E23000009
e23000022,Northamptonshire,E23000022,,35,,http://statistics.data.gov.uk/id/statistical-geography/E23000022
e23000007,Northumbria,E23000007,,36,,http://statistics.data.gov.uk/id/statistical-geography/E23000007
e23000019,Nottinghamshire,E23000019,,37,,http://statistics.data.gov.uk/id/statistical-geography/E23000019
e12000008,South East,E12000008,,38,,http://statistics.data.gov.uk/id/statistical-geography/E12000008
w15000003,South Wales,W15000003,,39,,http://statistics.data.gov.uk/id/statistical-geography/W15000003
e12000009,South West,E12000009,,40,,http://statistics.data.gov.uk/id/statistical-geography/E12000009
e23000011,South Yorkshire,E23000011,,41,,http://statistics.data.gov.uk/id/statistical-geography/E23000011
e23000015,Staffordshire,E23000015,,42,,http://statistics.data.gov.uk/id/statistical-geography/E23000015
e23000025,Suffolk,E23000025,,43,,http://statistics.data.gov.uk/id/statistical-geography/E23000025
e23000031,Surrey,E23000031,,44,,http://statistics.data.gov.uk/id/statistical-geography/E23000031
e23000033,Sussex,E23000033,,45,,http://statistics.data.gov.uk/id/statistical-geography/E23000033
e23000029,Thames Valley,E23000029,,46,,http://statistics.data.gov.uk/id/statistical-geography/E23000029
w92000004,Wales,W92000004,,47,,http://statistics.data.gov.uk/id/statistical-geography/W92000004
e23000017,Warwickshire,E23000017,,48,,http://statistics.data.gov.uk/id/statistical-geography/E23000017
e23000016,West Mercia,E23000016,,49,,http://statistics.data.gov.uk/id/statistical-geography/E23000016
e23000014,West Midlands (Police Force Area),E23000014,,50,,http://statistics.data.gov.uk/id/statistical-geography/E23000014
e12000005,West Midlands (Region),E12000005,,51,,http://statistics.data.gov.uk/id/statistical-geography/E12000005
e23000010,West Yorkshire,E23000010,,52,,http://statistics.data.gov.uk/id/statistical-geography/E23000010
e23000038,Wiltshire,E23000038,,53,,http://statistics.data.gov.uk/id/statistical-geography/E23000038
e12000003,Yorkshire and The Humber,E12000003,,54,,http://statistics.data.gov.uk/id/statistical-geography/E12000003
