AREACD,AREANM,Geography,Variable Name,Indicator,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
k04000001,england-and-wales,country,Homicide Offences,Homicide Offences,2013-04-01t00-00-00/p3y,9.063883030972466,Homicide Offences (rate per million population),"Rate per 1,000,000 population",,,,-1,
k04000001,england-and-wales,country,Homicide Offences,Homicide Offences,2014-04-01t00-00-00/p3y,9.968657469759508,Homicide Offences (rate per million population),"Rate per 1,000,000 population",,,,-1,
k04000001,england-and-wales,country,Homicide Offences,Homicide Offences,2015-04-01t00-00-00/p3y,10.988094896043055,Homicide Offences (rate per million population),"Rate per 1,000,000 population",,,,-1,
k04000001,england-and-wales,country,Homicide Offences,Homicide Offences,2016-04-01t00-00-00/p3y,11.510326170844062,Homicide Offences (rate per million population),"Rate per 1,000,000 population",,,,-1,
k04000001,england-and-wales,country,Homicide Offences,Homicide Offences,2017-04-01t00-00-00/p3y,11.376917479455344,Homicide Offences (rate per million population),"Rate per 1,000,000 population",,,,-1,
k04000001,england-and-wales,country,Homicide Offences,Homicide Offences,2018-04-01t00-00-00/p3y,10.51961007042272,Homicide Offences (rate per million population),"Rate per 1,000,000 population",,,,-1,
k04000001,england-and-wales,country,Homicide Offences,Homicide Offences,2019-04-01t00-00-00/p3y,10.69597707644026,Homicide Offences (rate per million population),"Rate per 1,000,000 population",,,,-1,
k04000001,england-and-wales,country,Homicide Offences,Homicide Offences,2020-04-01t00-00-00/p3y,10.146295954982447,Homicide Offences (rate per million population),"Rate per 1,000,000 population",,,,-1,
k04000001,england-and-wales,country,Homicide Offences,Homicide Offences,2021-04-01t00-00-00/p3y,10.130817907129714,Homicide Offences (rate per million population),"Rate per 1,000,000 population",,,,-1,
e92000001,england,nation,Homicide Offences,Homicide Offences,2021-04-01t00-00-00/p3y,10.167060444738508,Homicide Offences (rate per million population),"Rate per 1,000,000 population",,,,-1,
e92000001,england,nation,Homicide Offences,Homicide Offences,2020-04-01t00-00-00/p3y,10.237841321274937,Homicide Offences (rate per million population),"Rate per 1,000,000 population",,,,-1,
e92000001,england,nation,Homicide Offences,Homicide Offences,2018-04-01t00-00-00/p3y,10.569673509365408,Homicide Offences (rate per million population),"Rate per 1,000,000 population",,,,-1,
e92000001,england,nation,Homicide Offences,Homicide Offences,2017-04-01t00-00-00/p3y,11.31882597203145,Homicide Offences (rate per million population),"Rate per 1,000,000 population",,,,-1,
