areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
K02000001,United Kingdom,Country,Public-funded expenditure on research and development,2020-04-01/P1Y,13447,Pounds,£ million,,,,
K02000001,United Kingdom,Country,Public-funded expenditure on research and development,2021-04-01/P1Y,13446,Pounds,£ million,,,,
E92000001,England,Nation,Public-funded expenditure on research and development,2020-04-01/P1Y,11586,Pounds,£ million,,,,
E92000001,England,Nation,Public-funded expenditure on research and development,2021-04-01/P1Y,11813,Pounds,£ million,,,,
E12000001,North East,Region,Public-funded expenditure on research and development,2020-04-01/P1Y,408,Pounds,£ million,,,,
E12000001,North East,Region,Public-funded expenditure on research and development,2021-04-01/P1Y,363,Pounds,£ million,,,,
E12000002,North West,Region,Public-funded expenditure on research and development,2020-04-01/P1Y,1120,Pounds,£ million,,,,
E12000002,North West,Region,Public-funded expenditure on research and development,2021-04-01/P1Y,1221,Pounds,£ million,,,,
E12000003,Yorkshire and The Humber,Region,Public-funded expenditure on research and development,2020-04-01/P1Y,788,Pounds,£ million,,,,
E12000003,Yorkshire and The Humber,Region,Public-funded expenditure on research and development,2021-04-01/P1Y,751,Pounds,£ million,,,,
E12000004,East Midlands,Region,Public-funded expenditure on research and development,2020-04-01/P1Y,651,Pounds,£ million,,,,
E12000004,East Midlands,Region,Public-funded expenditure on research and development,2021-04-01/P1Y,648,Pounds,£ million,,,,
E12000005,West Midlands,Region,Public-funded expenditure on research and development,2021-04-01/P1Y,765,Pounds,£ million,,,,
E12000005,West Midlands,Region,Public-funded expenditure on research and development,2020-04-01/P1Y,747,Pounds,£ million,,,,
E12000006,East of England,Region,Public-funded expenditure on research and development,2020-04-01/P1Y,1277,Pounds,£ million,,,,
E12000006,East of England,Region,Public-funded expenditure on research and development,2021-04-01/P1Y,1304,Pounds,£ million,,,,
E12000007,London,Region,Public-funded expenditure on research and development,2020-04-01/P1Y,2737,Pounds,£ million,,,,
E12000007,London,Region,Public-funded expenditure on research and development,2021-04-01/P1Y,2674,Pounds,£ million,,,,
E12000008,South East,Region,Public-funded expenditure on research and development,2020-04-01/P1Y,2690,Pounds,£ million,,,,
E12000008,South East,Region,Public-funded expenditure on research and development,2021-04-01/P1Y,2881,Pounds,£ million,,,,
E12000009,South West,Region,Public-funded expenditure on research and development,2020-04-01/P1Y,1168,Pounds,£ million,,,,
E12000009,South West,Region,Public-funded expenditure on research and development,2021-04-01/P1Y,1207,Pounds,£ million,,,,
W92000004,Wales,Nation,Public-funded expenditure on research and development,2020-04-01/P1Y,361,Pounds,£ million,,,,
W92000004,Wales,Nation,Public-funded expenditure on research and development,2021-04-01/P1Y,352,Pounds,£ million,,,,
S92000003,Scotland,Nation,Public-funded expenditure on research and development,2020-04-01/P1Y,1283,Pounds,£ million,,,,
S92000003,Scotland,Nation,Public-funded expenditure on research and development,2021-04-01/P1Y,1082,Pounds,£ million,,,,
N92000002,Northern Ireland,Nation,Public-funded expenditure on research and development,2020-04-01/P1Y,218,Pounds,£ million,,,,
N92000002,Northern Ireland,Nation,Public-funded expenditure on research and development,2021-04-01/P1Y,199,Pounds,£ million,,,,
