Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
1997,1997,1997,,0,,http://reference.data.gov.uk/id/year/1997
1998,1998,1998,,1,,http://reference.data.gov.uk/id/year/1998
1999,1999,1999,,2,,http://reference.data.gov.uk/id/year/1999
2000,2000,2000,,3,,http://reference.data.gov.uk/id/year/2000
2001,2001,2001,,4,,http://reference.data.gov.uk/id/year/2001
2002,2002,2002,,5,,http://reference.data.gov.uk/id/year/2002
2003,2003,2003,,6,,http://reference.data.gov.uk/id/year/2003
2004,2004,2004,,7,,http://reference.data.gov.uk/id/year/2004
2005,2005,2005,,8,,http://reference.data.gov.uk/id/year/2005
2006,2006,2006,,9,,http://reference.data.gov.uk/id/year/2006
2007,2007,2007,,10,,http://reference.data.gov.uk/id/year/2007
2008,2008,2008,,11,,http://reference.data.gov.uk/id/year/2008
2009,2009,2009,,12,,http://reference.data.gov.uk/id/year/2009
2010,2010,2010,,13,,http://reference.data.gov.uk/id/year/2010
2011,2011,2011,,14,,http://reference.data.gov.uk/id/year/2011
2012,2012,2012,,15,,http://reference.data.gov.uk/id/year/2012
2013,2013,2013,,16,,http://reference.data.gov.uk/id/year/2013
2014,2014,2014,,17,,http://reference.data.gov.uk/id/year/2014
2015,2015,2015,,18,,http://reference.data.gov.uk/id/year/2015
2016,2016,2016,,19,,http://reference.data.gov.uk/id/year/2016
2017,2017,2017,,20,,http://reference.data.gov.uk/id/year/2017
2018,2018,2018,,21,,http://reference.data.gov.uk/id/year/2018
2019,2019,2019,,22,,http://reference.data.gov.uk/id/year/2019
2020,2020,2020,,23,,http://reference.data.gov.uk/id/year/2020
