Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
01/2004-12/2004,01/2004 - 12/2004,01/2004-12/2004,,0,,http://reference.data.gov.uk/id/gregorian-interval/01/2004%20-%2012/2004
01/2005-12/2005,01/2005 - 12/2005,01/2005-12/2005,,1,,http://reference.data.gov.uk/id/gregorian-interval/01/2005%20-%2012/2005
01/2006-12/2006,01/2006 - 12/2006,01/2006-12/2006,,2,,http://reference.data.gov.uk/id/gregorian-interval/01/2006%20-%2012/2006
01/2007-12/2007,01/2007 - 12/2007,01/2007-12/2007,,3,,http://reference.data.gov.uk/id/gregorian-interval/01/2007%20-%2012/2007
01/2008-12/2008,01/2008 - 12/2008,01/2008-12/2008,,4,,http://reference.data.gov.uk/id/gregorian-interval/01/2008%20-%2012/2008
01/2009-12/2009,01/2009 - 12/2009,01/2009-12/2009,,5,,http://reference.data.gov.uk/id/gregorian-interval/01/2009%20-%2012/2009
01/2010-12/2010,01/2010 - 12/2010,01/2010-12/2010,,6,,http://reference.data.gov.uk/id/gregorian-interval/01/2010%20-%2012/2010
01/2011-12/2011,01/2011 - 12/2011,01/2011-12/2011,,7,,http://reference.data.gov.uk/id/gregorian-interval/01/2011%20-%2012/2011
01/2012-12/2012,01/2012 - 12/2012,01/2012-12/2012,,8,,http://reference.data.gov.uk/id/gregorian-interval/01/2012%20-%2012/2012
01/2013-12/2013,01/2013 - 12/2013,01/2013-12/2013,,9,,http://reference.data.gov.uk/id/gregorian-interval/01/2013%20-%2012/2013
01/2014-12/2014,01/2014 - 12/2014,01/2014-12/2014,,10,,http://reference.data.gov.uk/id/gregorian-interval/01/2014%20-%2012/2014
01/2015-12/2015,01/2015 - 12/2015,01/2015-12/2015,,11,,http://reference.data.gov.uk/id/gregorian-interval/01/2015%20-%2012/2015
01/2016-12/2016,01/2016 - 12/2016,01/2016-12/2016,,12,,http://reference.data.gov.uk/id/gregorian-interval/01/2016%20-%2012/2016
01/2017-12/2017,01/2017 - 12/2017,01/2017-12/2017,,13,,http://reference.data.gov.uk/id/gregorian-interval/01/2017%20-%2012/2017
01/2018-12/2018,01/2018 - 12/2018,01/2018-12/2018,,14,,http://reference.data.gov.uk/id/gregorian-interval/01/2018%20-%2012/2018
01/2019-12/2019,01/2019 - 12/2019,01/2019-12/2019,,15,,http://reference.data.gov.uk/id/gregorian-interval/01/2019%20-%2012/2019
01/2020-12/2020,01/2020 - 12/2020,01/2020-12/2020,,16,,http://reference.data.gov.uk/id/gregorian-interval/01/2020%20-%2012/2020
01/2021-12/2021,01/2021 - 12/2021,01/2021-12/2021,,17,,http://reference.data.gov.uk/id/gregorian-interval/01/2021%20-%2012/2021
01/2022-12/2022,01/2022 - 12/2022,01/2022-12/2022,,18,,http://reference.data.gov.uk/id/gregorian-interval/01/2022%20-%2012/2022
