AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
E92000001,England,Nation,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.20222,Percentage,%,na,na,,-1,
E12000001,North East,Region,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.01075,Percentage,%,na,na,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,22.341279999999998,Percentage,%,na,na,,-1,
E06000005,Darlington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,21.26717,Percentage,%,na,na,,-1,
E06000001,Hartlepool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,26.52582,Percentage,%,na,na,,-1,
E06000002,Middlesbrough,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.86576,Percentage,%,na,na,,-1,
E06000057,Northumberland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,24.58239,Percentage,%,na,na,,-1,
E06000003,Redcar and Cleveland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,21.004,Percentage,%,na,na,,-1,
E06000004,Stockton-on-Tees,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.196170000000002,Percentage,%,na,na,,-1,
E08000037,Gateshead,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,24.01941,Percentage,%,na,na,,-1,
E08000021,Newcastle upon Tyne,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,25.16476,Percentage,%,na,na,,-1,
E08000022,North Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,18.681910000000002,Percentage,%,na,na,,-1,
E08000023,South Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,19.68281,Percentage,%,na,na,,-1,
E08000024,Sunderland,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.43552,Percentage,%,na,na,,-1,
E12000002,North West ,Region,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.38932,Percentage,%,na,na,,-1,
E06000008,Blackburn with Darwen,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,24.0926,Percentage,%,na,na,,-1,
E06000009,Blackpool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,21.32445,Percentage,%,na,na,,-1,
E06000049,Cheshire East,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,26.83698,Percentage,%,na,na,,-1,
E06000050,Cheshire West and Chester,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,26.347309999999997,Percentage,%,na,na,,-1,
E06000006,Halton,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,25.87943,Percentage,%,na,na,,-1,
E06000007,Warrington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,20.87371,Percentage,%,na,na,,-1,
E07000026,Allerdale,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,21.06608,Percentage,%,na,na,,-1,
E07000027,Barrow-in-Furness,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,17.47948,Percentage,%,na,na,,-1,
E07000028,Carlisle,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,25.30038,Percentage,%,na,na,,-1,
E07000029,Copeland,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,16.456970000000002,Percentage,%,na,na,,-1,
E07000030,Eden,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,19.46903,Percentage,%,na,na,,-1,
E07000031,South Lakeland,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,21.37405,Percentage,%,na,na,,-1,
E08000001,Bolton,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,17.29666,Percentage,%,na,na,,-1,
E08000002,Bury,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,22.78912,Percentage,%,na,na,,-1,
E08000003,Manchester,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,19.78239,Percentage,%,na,na,,-1,
E08000004,Oldham ,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,25.003729999999997,Percentage,%,na,na,,-1,
E08000005,Rochdale,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.68797,Percentage,%,na,na,,-1,
E08000006,Salford,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,28.643729999999998,Percentage,%,na,na,,-1,
E08000007,Stockport,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,25.29509,Percentage,%,na,na,,-1,
E08000008,Tameside,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,18.30579,Percentage,%,na,na,,-1,
E08000009,Trafford,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,21.746579999999998,Percentage,%,na,na,,-1,
E08000010,Wigan,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.73394,Percentage,%,na,na,,-1,
E07000117,Burnley,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,27.095470000000002,Percentage,%,na,na,,-1,
E07000118,Chorley,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,20.16321,Percentage,%,na,na,,-1,
E07000119,Fylde,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,24.983610000000002,Percentage,%,na,na,,-1,
E07000120,Hyndburn,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,20.26569,Percentage,%,na,na,,-1,
E07000121,Lancaster,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.342670000000002,Percentage,%,na,na,,-1,
E07000122,Pendle,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,21.057270000000003,Percentage,%,na,na,,-1,
E07000123,Preston,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,22.69951,Percentage,%,na,na,,-1,
E07000124,Ribble Valley,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,19.659570000000002,Percentage,%,na,na,,-1,
E07000125,Rossendale,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,22.191010000000002,Percentage,%,na,na,,-1,
E07000126,South Ribble,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,24.67858,Percentage,%,na,na,,-1,
E07000127,West Lancashire,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,25.37445,Percentage,%,na,na,,-1,
E07000128,Wyre,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.32834,Percentage,%,na,na,,-1,
E08000011,Knowsley ,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,27.240309999999997,Percentage,%,na,na,,-1,
E08000012,Liverpool,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,25.15661,Percentage,%,na,na,,-1,
E08000014,Sefton,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,27.47036,Percentage,%,na,na,,-1,
E08000013,St. Helens,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,27.737640000000003,Percentage,%,na,na,,-1,
E08000015,Wirral,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,24.85091,Percentage,%,na,na,,-1,
E12000003,Yorkshire and The Humber,Region,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,25.34579,Percentage,%,na,na,,-1,
E06000011,East Riding of Yorkshire,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,20.78665,Percentage,%,na,na,,-1,
E06000010,"Kingston upon Hull, City of",County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,24.11616,Percentage,%,na,na,,-1,
E06000012,North East Lincolnshire,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,26.05671,Percentage,%,na,na,,-1,
E06000013,North Lincolnshire,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,25.261879999999998,Percentage,%,na,na,,-1,
E06000014,York,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,27.058159999999997,Percentage,%,na,na,,-1,
E07000163,Craven,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,18.555670000000003,Percentage,%,na,na,,-1,
E07000164,Hambleton,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,24.42529,Percentage,%,na,na,,-1,
E07000165,Harrogate,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,28.7187,Percentage,%,na,na,,-1,
E07000166,Richmondshire,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,19.38232,Percentage,%,na,na,,-1,
E07000167,Ryedale,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.261589999999998,Percentage,%,na,na,,-1,
E07000168,Scarborough,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,28.07487,Percentage,%,na,na,,-1,
E07000169,Selby,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,22.050720000000002,Percentage,%,na,na,,-1,
E08000016,Barnsley,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.568279999999998,Percentage,%,na,na,,-1,
E08000017,Doncaster,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,25.9168,Percentage,%,na,na,,-1,
E08000018,Rotherham ,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.70896,Percentage,%,na,na,,-1,
E08000019,Sheffield,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,28.724859999999996,Percentage,%,na,na,,-1,
E08000032,Bradford ,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,29.492140000000003,Percentage,%,na,na,,-1,
E08000033,Calderdale,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.233729999999998,Percentage,%,na,na,,-1,
E08000034,Kirklees ,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.340320000000002,Percentage,%,na,na,,-1,
E08000035,Leeds ,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.190070000000002,Percentage,%,na,na,,-1,
E08000036,Wakefield,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,25.91814,Percentage,%,na,na,,-1,
E12000004,East Midlands,Region,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,22.66098,Percentage,%,na,na,,-1,
E06000015,Derby ,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.15914,Percentage,%,na,na,,-1,
E06000016,Leicester,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,21.22099,Percentage,%,na,na,,-1,
E06000061,North Northamptonshire,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,24.18168,Percentage,%,na,na,,-1,
E06000018,Nottingham,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.12452,Percentage,%,na,na,,-1,
E06000017,Rutland ,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,18.507460000000002,Percentage,%,na,na,,-1,
E06000062,West Northamptonshire,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,22.74203,Percentage,%,na,na,,-1,
E07000032,Amber Valley,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,20.80856,Percentage,%,na,na,,-1,
E07000033,Bolsover,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,20.93094,Percentage,%,na,na,,-1,
E07000034,Chesterfield,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,21.7529,Percentage,%,na,na,,-1,
E07000035,Derbyshire Dales,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,17.539089999999998,Percentage,%,na,na,,-1,
E07000036,Erewash,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.375339999999998,Percentage,%,na,na,,-1,
E07000037,High Peak,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,20.93379,Percentage,%,na,na,,-1,
E07000038,North East Derbyshire,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,21.41527,Percentage,%,na,na,,-1,
E07000039,South Derbyshire,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,18.52811,Percentage,%,na,na,,-1,
E07000129,Blaby,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,26.30992,Percentage,%,na,na,,-1,
E07000130,Charnwood,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.938029999999998,Percentage,%,na,na,,-1,
E07000131,Harborough,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.9291,Percentage,%,na,na,,-1,
E07000132,Hinckley and Bosworth,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.66771,Percentage,%,na,na,,-1,
E07000133,Melton,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,22.53275,Percentage,%,na,na,,-1,
E07000134,North West Leicestershire,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,28.220370000000003,Percentage,%,na,na,,-1,
E07000135,Oadby and Wigston,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.14593,Percentage,%,na,na,,-1,
E07000136,Boston,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,22.18605,Percentage,%,na,na,,-1,
E07000137,East Lindsey,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.99488,Percentage,%,na,na,,-1,
E07000138,Lincoln,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,26.48582,Percentage,%,na,na,,-1,
E07000139,North Kesteven,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,22.66714,Percentage,%,na,na,,-1,
E07000140,South Holland,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,22.72404,Percentage,%,na,na,,-1,
E07000141,South Kesteven,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,21.23959,Percentage,%,na,na,,-1,
E07000142,West Lindsey,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,20.901770000000003,Percentage,%,na,na,,-1,
E07000170,Ashfield,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,21.52937,Percentage,%,na,na,,-1,
E07000171,Bassetlaw,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,26.96448,Percentage,%,na,na,,-1,
E07000172,Broxtowe,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.47915,Percentage,%,na,na,,-1,
E07000173,Gedling,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,22.06215,Percentage,%,na,na,,-1,
E07000174,Mansfield,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,20.93076,Percentage,%,na,na,,-1,
E07000175,Newark and Sherwood,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.540370000000003,Percentage,%,na,na,,-1,
E07000176,Rushcliffe,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,17.86611,Percentage,%,na,na,,-1,
E12000005,West Midlands,Region,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.08973,Percentage,%,na,na,,-1,
E06000019,"Herefordshire, County of",County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,25.14415,Percentage,%,na,na,,-1,
E06000051,Shropshire,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.8308,Percentage,%,na,na,,-1,
E06000021,Stoke-on-Trent,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,24.273139999999998,Percentage,%,na,na,,-1,
E06000020,Telford and Wrekin,County or Unitary Authority,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,24.593729999999997,Percentage,%,na,na,,-1,
E07000192,Cannock Chase,Local Authority District,Persistent absences for pupils eligible for free school meals in the past 6 years,Persistent absences for pupils eligible for free school meals,Mission 5,Spreading opportunity and improving public services,202021,23.20127,Percentage,%,na,na,,-1,
