AREACD,AREANM,Geography,Variable Name,Indicator,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
n92000002,northern-ireland,nation,Apprenticeship starts (Northern Ireland),Apprenticeships starts (Northern Ireland),2022-08-01t00-00-00/p1y,408.6494844547527,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
n92000002,northern-ireland,nation,Apprenticeship starts (Northern Ireland),Apprenticeships starts (Northern Ireland),2019-08-01t00-00-00/p1y,343.1632470901469,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
n92000002,northern-ireland,nation,Apprenticeship starts (Northern Ireland),Apprenticeships starts (Northern Ireland),2020-08-01t00-00-00/p1y,416.1781131096106,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
n92000002,northern-ireland,nation,Apprenticeship starts (Northern Ireland),Apprenticeships starts (Northern Ireland),2021-08-01t00-00-00/p1y,501.125041875826,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
n09000001,antrim-and-newtownabbey,local-authority-district,Apprenticeship starts (Northern Ireland),Apprenticeships starts (Northern Ireland),2022-08-01t00-00-00/p1y,386.3313902801757,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
n09000001,antrim-and-newtownabbey,local-authority-district,Apprenticeship starts (Northern Ireland),Apprenticeships starts (Northern Ireland),2019-08-01t00-00-00/p1y,329.8844105805446,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
n09000001,antrim-and-newtownabbey,local-authority-district,Apprenticeship starts (Northern Ireland),Apprenticeships starts (Northern Ireland),2021-08-01t00-00-00/p1y,455.2664294594247,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
n09000001,antrim-and-newtownabbey,local-authority-district,Apprenticeship starts (Northern Ireland),Apprenticeships starts (Northern Ireland),2020-08-01t00-00-00/p1y,320.4189563989044,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
n09000002,armagh-city-banbridge-and-craigavon,local-authority-district,Apprenticeship starts (Northern Ireland),Apprenticeships starts (Northern Ireland),2022-08-01t00-00-00/p1y,516.1094897739255,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
n09000002,armagh-city-banbridge-and-craigavon,local-authority-district,Apprenticeship starts (Northern Ireland),Apprenticeships starts (Northern Ireland),2019-08-01t00-00-00/p1y,341.58433456287884,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
n09000002,armagh-city-banbridge-and-craigavon,local-authority-district,Apprenticeship starts (Northern Ireland),Apprenticeships starts (Northern Ireland),2021-08-01t00-00-00/p1y,536.6276143771726,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
