areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
E92000001,England,Nation,Percentage of households fuel poor,2024-01-01/P1Y,9.94941840055504,Percentage,%,,,,
E12000001,North East,Region,Percentage of households fuel poor,2024-01-01/P1Y,9.182154070405845,Percentage,%,,,,
E47000006,Tees Valley,Combined Authority or City Region,Percentage of households fuel poor,2024-01-01/P1Y,8.811927119159215,Percentage,%,,,,This data has been aggregated and may show differences to other published figures.
E47000014,North East,Combined Authority or City Region,Percentage of households fuel poor,2024-01-01/P1Y,9.306511688886692,Percentage,%,,,,This data has been aggregated and may show differences to other published figures.
E06000047,County Durham,County or Unitary Authority,Percentage of households fuel poor,2024-01-01/P1Y,9.975757429077369,Percentage,%,,,,
E06000005,Darlington,County or Unitary Authority,Percentage of households fuel poor,2024-01-01/P1Y,9.51339847151011,Percentage,%,,,,
E06000001,Hartlepool,County or Unitary Authority,Percentage of households fuel poor,2024-01-01/P1Y,8.710503842869342,Percentage,%,,,,
E06000002,Middlesbrough,County or Unitary Authority,Percentage of households fuel poor,2024-01-01/P1Y,9.648806066219759,Percentage,%,,,,
E06000057,Northumberland,County or Unitary Authority,Percentage of households fuel poor,2024-01-01/P1Y,9.319005646516478,Percentage,%,,,,
E06000003,Redcar and Cleveland,County or Unitary Authority,Percentage of households fuel poor,2024-01-01/P1Y,8.892704915519303,Percentage,%,,,,
E06000004,Stockton-on-Tees,County or Unitary Authority,Percentage of households fuel poor,2024-01-01/P1Y,7.791592391181713,Percentage,%,,,,
E11000007,Tyne and Wear (Met County),County or Unitary Authority,Percentage of households fuel poor,2024-01-01/P1Y,8.988192993169156,Percentage,%,,,,
E08000037,Gateshead,Local Authority District,Percentage of households fuel poor,2024-01-01/P1Y,9.14609555748944,Percentage,%,,,,
E08000021,Newcastle upon Tyne,Local Authority District,Percentage of households fuel poor,2024-01-01/P1Y,9.499784323391669,Percentage,%,,,,
E08000022,North Tyneside,Local Authority District,Percentage of households fuel poor,2024-01-01/P1Y,7.794418641265843,Percentage,%,,,,
E08000023,South Tyneside,Local Authority District,Percentage of households fuel poor,2024-01-01/P1Y,8.945023932711727,Percentage,%,,,,
E08000024,Sunderland,Local Authority District,Percentage of households fuel poor,2024-01-01/P1Y,9.321706325277919,Percentage,%,,,,
E12000002,North West,Region,Percentage of households fuel poor,2024-01-01/P1Y,10.21900955606335,Percentage,%,,,,
E06000008,Blackburn with Darwen,County or Unitary Authority,Percentage of households fuel poor,2024-01-01/P1Y,11.729169041376952,Percentage,%,,,,
E06000009,Blackpool,County or Unitary Authority,Percentage of households fuel poor,2024-01-01/P1Y,13.856887879279572,Percentage,%,,,,
E06000049,Cheshire East,County or Unitary Authority,Percentage of households fuel poor,2024-01-01/P1Y,8.549466925259964,Percentage,%,,,,
E06000050,Cheshire West and Chester,County or Unitary Authority,Percentage of households fuel poor,2024-01-01/P1Y,8.71002763521516,Percentage,%,,,,
E06000006,Halton,County or Unitary Authority,Percentage of households fuel poor,2024-01-01/P1Y,9.021642353263475,Percentage,%,,,,
