Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
greenwich,Greenwich,greenwich,,86,
gwynedd,Gwynedd,gwynedd,,87,
hackney,Hackney,hackney,,88,
halton,Halton,halton,,89,
hammersmith-and-fulham,Hammersmith and Fulham ,hammersmith-and-fulham,,90,
hampshire,Hampshire,hampshire,,91,
haringey,Haringey,haringey,,92,
harrow,Harrow,harrow,,93,
hartlepool,Hartlepool,hartlepool,,94,
havering,Havering,havering,,95,
herefordshire-county-of,"Herefordshire, County of",herefordshire-county-of,,96,
hertfordshire,Hertfordshire ,hertfordshire,,97,
highland,Highland,highland,,98,
hillingdon,Hillingdon,hillingdon,,99,
hounslow,Hounslow,hounslow,,100,
hywel-dda-university-health-board,Hywel Dda University Health Board,hywel-dda-university-health-board,,101,
inverclyde,Inverclyde,inverclyde,,102,
isle-of-anglesey,Isle of Anglesey,isle-of-anglesey,,103,
isle-of-wight,Isle of Wight,isle-of-wight,,104,
isles-of-scilly,Isles of Scilly,isles-of-scilly,,105,
islington,Islington,islington,,106,
kensington-and-chelsea,Kensington and Chelsea,kensington-and-chelsea,,107,
kent,Kent,kent,,108,
kingston-upon-hull-city-of,"Kingston upon Hull, City of",kingston-upon-hull-city-of,,109,
kingston-upon-thames,Kingston upon Thames,kingston-upon-thames,,110,
kirklees,Kirklees ,kirklees,,111,
knowsley,Knowsley ,knowsley,,112,
lambeth,Lambeth ,lambeth,,113,
lancashire,Lancashire,lancashire,,114,
leeds,Leeds ,leeds,,115,
leicester,Leicester,leicester,,116,
leicestershire,Leicestershire,leicestershire,,117,
lewisham,Lewisham ,lewisham,,118,
lincolnshire,Lincolnshire ,lincolnshire,,119,
lisburn-and-castlereagh,Lisburn and Castlereagh,lisburn-and-castlereagh,,120,
liverpool,Liverpool,liverpool,,121,
liverpool-city-region,Liverpool City Region,liverpool-city-region,,122,
london,London,london,,123,
luton,Luton,luton,,124,
manchester,Manchester,manchester,,125,
medway,Medway,medway,,126,
merseyside-met-county,Merseyside (Met County),merseyside-met-county,,127,
merthyr-tydfil,Merthyr Tydfil,merthyr-tydfil,,128,
merton,Merton,merton,,129,
mid-ulster,Mid Ulster,mid-ulster,,130,
mid-and-east-antrim,Mid and East Antrim,mid-and-east-antrim,,131,
middlesbrough,Middlesbrough,middlesbrough,,132,
midlothian,Midlothian,midlothian,,133,
milton-keynes,Milton Keynes,milton-keynes,,134,
monmouthshire,Monmouthshire,monmouthshire,,135,
moray,Moray,moray,,136,
na-h-eileanan-siar,Na h-Eileanan Siar,na-h-eileanan-siar,,137,
neath-port-talbot,Neath Port Talbot,neath-port-talbot,,138,
newcastle-upon-tyne,Newcastle upon Tyne,newcastle-upon-tyne,,139,
newham,Newham ,newham,,140,
newport,Newport,newport,,141,
newry-mourne-and-down,"Newry, Mourne and Down",newry-mourne-and-down,,142,
norfolk,Norfolk ,norfolk,,143,
north-ayrshire,North Ayrshire,north-ayrshire,,144,
north-east,North East,north-east,,145,
north-east-lincolnshire,North East Lincolnshire,north-east-lincolnshire,,146,
north-lanarkshire,North Lanarkshire,north-lanarkshire,,147,
north-lincolnshire,North Lincolnshire,north-lincolnshire,,148,
north-northamptonshire,North Northamptonshire,north-northamptonshire,,149,
north-somerset,North Somerset,north-somerset,,150,
north-tyneside,North Tyneside,north-tyneside,,151,
north-west,North West ,north-west,,152,
north-yorkshire,North Yorkshire,north-yorkshire,,153,
north-of-tyne,North of Tyne,north-of-tyne,,154,
northern-ireland,Northern Ireland,northern-ireland,,155,
northumberland,Northumberland,northumberland,,156,
nottingham,Nottingham,nottingham,,157,
nottinghamshire,Nottinghamshire,nottinghamshire,,158,
oldham,Oldham ,oldham,,159,
orkney-islands,Orkney Islands,orkney-islands,,160,
oxfordshire,Oxfordshire ,oxfordshire,,161,
pembrokeshire,Pembrokeshire,pembrokeshire,,162,
perth-and-kinross,Perth and Kinross,perth-and-kinross,,163,
peterborough,Peterborough,peterborough,,164,
plymouth,Plymouth,plymouth,,165,
portsmouth,Portsmouth,portsmouth,,166,
powys,Powys,powys,,167,
powys-teaching-health-board,Powys Teaching Health Board,powys-teaching-health-board,,168,
reading,Reading,reading,,169,
redbridge,Redbridge,redbridge,,170,
redcar-and-cleveland,Redcar and Cleveland,redcar-and-cleveland,,171,
renfrewshire,Renfrewshire,renfrewshire,,172,
rhondda-cynon-taf,Rhondda Cynon Taf,rhondda-cynon-taf,,173,
richmond-upon-thames,Richmond upon Thames,richmond-upon-thames,,174,
rochdale,Rochdale,rochdale,,175,
rotherham,Rotherham ,rotherham,,176,
rutland,Rutland ,rutland,,177,
salford,Salford,salford,,178,
sandwell,Sandwell ,sandwell,,179,
scotland,Scotland,scotland,,180,
scottish-borders,Scottish Borders ,scottish-borders,,181,
sefton,Sefton,sefton,,182,
sheffield,Sheffield,sheffield,,183,
shetland-islands,Shetland Islands,shetland-islands,,184,
shropshire,Shropshire,shropshire,,185,
slough,Slough,slough,,186,
solihull,Solihull,solihull,,187,
somerset,Somerset ,somerset,,188,
south-ayrshire,South Ayrshire,south-ayrshire,,189,
south-east,South East,south-east,,190,
south-gloucestershire,South Gloucestershire,south-gloucestershire,,191,
south-lanarkshire,South Lanarkshire,south-lanarkshire,,192,
south-tyneside,South Tyneside,south-tyneside,,193,
south-west,South West,south-west,,194,
south-yorkshire,South Yorkshire,south-yorkshire,,195,
south-yorkshire-met-county,South Yorkshire (Met County),south-yorkshire-met-county,,196,
southampton,Southampton,southampton,,197,
southend-on-sea,Southend-on-Sea,southend-on-sea,,198,
southwark,Southwark,southwark,,199,
st-helens,St. Helens,st-helens,,200,
staffordshire,Staffordshire,staffordshire,,201,
stirling,Stirling,stirling,,202,
stockport,Stockport,stockport,,203,
stockton-on-tees,Stockton-on-Tees,stockton-on-tees,,204,
stoke-on-trent,Stoke-on-Trent,stoke-on-trent,,205,
suffolk,Suffolk,suffolk,,206,
sunderland,Sunderland,sunderland,,207,
surrey,Surrey,surrey,,208,
sutton,Sutton,sutton,,209,
swansea,Swansea,swansea,,210,
swansea-bay-university-health-board,Swansea Bay University Health Board,swansea-bay-university-health-board,,211,
swindon,Swindon,swindon,,212,
tameside,Tameside,tameside,,213,
tees-valley,Tees Valley,tees-valley,,214,
telford-and-wrekin,Telford and Wrekin,telford-and-wrekin,,215,
thurrock,Thurrock,thurrock,,216,
torbay,Torbay,torbay,,217,
torfaen,Torfaen,torfaen,,218,
tower-hamlets,Tower Hamlets,tower-hamlets,,219,
trafford,Trafford,trafford,,220,
tyne-and-wear-met-county,Tyne and Wear (Met County),tyne-and-wear-met-county,,221,
united-kingdom,United Kingdom,united-kingdom,,222,
vale-of-glamorgan,Vale of Glamorgan,vale-of-glamorgan,,223,
wakefield,Wakefield,wakefield,,224,
wales,Wales,wales,,225,
walsall,Walsall,walsall,,226,
waltham-forest,Waltham Forest,waltham-forest,,227,
wandsworth,Wandsworth,wandsworth,,228,
warrington,Warrington,warrington,,229,
warwickshire,Warwickshire,warwickshire,,230,
west-berkshire,West Berkshire,west-berkshire,,231,
west-dunbartonshire,West Dunbartonshire,west-dunbartonshire,,232,
west-lothian,West Lothian,west-lothian,,233,
west-midlands,West Midlands,west-midlands,,234,
west-midlands-met-county,West Midlands (Met County),west-midlands-met-county,,235,
west-northamptonshire,West Northamptonshire,west-northamptonshire,,236,
west-sussex,West Sussex,west-sussex,,237,
west-yorkshire,West Yorkshire,west-yorkshire,,238,
west-yorkshire-met-county,West Yorkshire (Met County),west-yorkshire-met-county,,239,
west-of-england,West of England,west-of-england,,240,
westminster,Westminster,westminster,,241,
wigan,Wigan,wigan,,242,
wiltshire,Wiltshire,wiltshire,,243,
windsor-and-maidenhead,Windsor and Maidenhead,windsor-and-maidenhead,,244,
wirral,Wirral,wirral,,245,
wokingham,Wokingham,wokingham,,246,
wolverhampton,Wolverhampton,wolverhampton,,247,
worcestershire,Worcestershire,worcestershire,,248,
wrexham,Wrexham,wrexham,,249,
york,York,york,,250,
yorkshire-and-the-humber,Yorkshire and The Humber,yorkshire-and-the-humber,,251,
