Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
aberdeen-city,Aberdeen City,aberdeen-city,,0,
aberdeenshire,Aberdeenshire,aberdeenshire,,1,
aneurin-bevan-university-health-board,Aneurin Bevan University Health Board,aneurin-bevan-university-health-board,,2,
angus,Angus,angus,,3,
antrim-and-newtownabbey,Antrim and Newtownabbey,antrim-and-newtownabbey,,4,
ards-and-north-down,Ards and North Down,ards-and-north-down,,5,
argyll-and-bute,Argyll and Bute,argyll-and-bute,,6,
armagh-city-banbridge-and-craigavon,"Armagh City, Banbridge and Craigavon",armagh-city-banbridge-and-craigavon,,7,
barking-and-dagenham,Barking and Dagenham,barking-and-dagenham,,8,
barnet,Barnet,barnet,,9,
barnsley,Barnsley,barnsley,,10,
bath-and-north-east-somerset,Bath and North East Somerset,bath-and-north-east-somerset,,11,
bedford,Bedford,bedford,,12,
belfast,Belfast,belfast,,13,
betsi-cadwaladr-university-health-board,Betsi Cadwaladr University Health Board,betsi-cadwaladr-university-health-board,,14,
bexley,Bexley,bexley,,15,
birmingham,Birmingham,birmingham,,16,
blackburn-with-darwen,Blackburn with Darwen,blackburn-with-darwen,,17,
blackpool,Blackpool,blackpool,,18,
blaenau-gwent,Blaenau Gwent,blaenau-gwent,,19,
bolton,Bolton,bolton,,20,
bournemouth-christchurch-and-poole,"Bournemouth, Christchurch and Poole",bournemouth-christchurch-and-poole,,21,
bracknell-forest,Bracknell Forest,bracknell-forest,,22,
bradford,Bradford ,bradford,,23,
brent,Brent ,brent,,24,
bridgend,Bridgend,bridgend,,25,
brighton-and-hove,Brighton and Hove,brighton-and-hove,,26,
bristol-city-of,"Bristol, City of",bristol-city-of,,27,
bromley,Bromley,bromley,,28,
buckinghamshire,Buckinghamshire,buckinghamshire,,29,
bury,Bury,bury,,30,
caerphilly,Caerphilly,caerphilly,,31,
calderdale,Calderdale,calderdale,,32,
cambridgeshire,Cambridgeshire,cambridgeshire,,33,
cambridgeshire-and-peterborough,Cambridgeshire and Peterborough,cambridgeshire-and-peterborough,,34,
camden,Camden,camden,,35,
cardiff,Cardiff,cardiff,,36,
cardiff-and-vale-university-health-board,Cardiff and Vale University Health Board,cardiff-and-vale-university-health-board,,37,
carmarthenshire,Carmarthenshire,carmarthenshire,,38,
causeway-coast-and-glens,Causeway Coast and Glens,causeway-coast-and-glens,,39,
central-bedfordshire,Central Bedfordshire,central-bedfordshire,,40,
ceredigion,Ceredigion,ceredigion,,41,
cheshire-east,Cheshire East,cheshire-east,,42,
cheshire-west-and-chester,Cheshire West and Chester,cheshire-west-and-chester,,43,
city-of-edinburgh,City of Edinburgh,city-of-edinburgh,,44,
city-of-london,City of London,city-of-london,,45,
clackmannanshire,Clackmannanshire,clackmannanshire,,46,
conwy,Conwy,conwy,,47,
cornwall,Cornwall,cornwall,,48,
county-durham,County Durham,county-durham,,49,
coventry,Coventry,coventry,,50,
croydon,Croydon,croydon,,51,
cumbria,Cumbria ,cumbria,,52,
cwm-taf-morgannwg-university-health-board,Cwm Taf Morgannwg University Health Board,cwm-taf-morgannwg-university-health-board,,53,
darlington,Darlington,darlington,,54,
denbighshire,Denbighshire,denbighshire,,55,
derby,Derby ,derby,,56,
derbyshire,Derbyshire,derbyshire,,57,
derry-city-and-strabane,Derry City and Strabane,derry-city-and-strabane,,58,
devon,Devon,devon,,59,
doncaster,Doncaster,doncaster,,60,
dorset,Dorset,dorset,,61,
dudley,Dudley ,dudley,,62,
dumfries-and-galloway,Dumfries and Galloway,dumfries-and-galloway,,63,
dundee-city,Dundee City,dundee-city,,64,
ealing,Ealing,ealing,,65,
east-ayrshire,East Ayrshire,east-ayrshire,,66,
east-dunbartonshire,East Dunbartonshire,east-dunbartonshire,,67,
east-lothian,East Lothian,east-lothian,,68,
east-midlands,East Midlands,east-midlands,,69,
east-renfrewshire,East Renfrewshire,east-renfrewshire,,70,
east-riding-of-yorkshire,East Riding of Yorkshire,east-riding-of-yorkshire,,71,
east-sussex,East Sussex,east-sussex,,72,
east-of-england,East of England,east-of-england,,73,
enfield,Enfield,enfield,,74,
england,England,england,,75,
essex,Essex,essex,,76,
falkirk,Falkirk,falkirk,,77,
fermanagh-and-omagh,Fermanagh and Omagh,fermanagh-and-omagh,,78,
fife,Fife,fife,,79,
flintshire,Flintshire,flintshire,,80,
gateshead,Gateshead,gateshead,,81,
glasgow-city,Glasgow City,glasgow-city,,82,
gloucestershire,Gloucestershire,gloucestershire,,83,
greater-manchester,Greater Manchester,greater-manchester,,84,
greater-manchester-met-county,Greater Manchester (Met County),greater-manchester-met-county,,85,
