Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2011-01-01t00-00-00/p3y,2011-01-01T00:00:00/P3Y,2011-01-01t00-00-00/p3y,,0,,http://reference.data.gov.uk/id/gregorian-interval/2011-01-01T00:00:00/P3Y
2012-01-01t00-00-00/p3y,2012-01-01T00:00:00/P3Y,2012-01-01t00-00-00/p3y,,1,,http://reference.data.gov.uk/id/gregorian-interval/2012-01-01T00:00:00/P3Y
2013-01-01t00-00-00/p3y,2013-01-01T00:00:00/P3Y,2013-01-01t00-00-00/p3y,,2,,http://reference.data.gov.uk/id/gregorian-interval/2013-01-01T00:00:00/P3Y
2014-01-01t00-00-00/p3y,2014-01-01T00:00:00/P3Y,2014-01-01t00-00-00/p3y,,3,,http://reference.data.gov.uk/id/gregorian-interval/2014-01-01T00:00:00/P3Y
2015-01-01t00-00-00/p3y,2015-01-01T00:00:00/P3Y,2015-01-01t00-00-00/p3y,,4,,http://reference.data.gov.uk/id/gregorian-interval/2015-01-01T00:00:00/P3Y
2016-01-01t00-00-00/p3y,2016-01-01T00:00:00/P3Y,2016-01-01t00-00-00/p3y,,5,,http://reference.data.gov.uk/id/gregorian-interval/2016-01-01T00:00:00/P3Y
2017-01-01t00-00-00/p3y,2017-01-01T00:00:00/P3Y,2017-01-01t00-00-00/p3y,,6,,http://reference.data.gov.uk/id/gregorian-interval/2017-01-01T00:00:00/P3Y
2018-01-01t00-00-00/p3y,2018-01-01T00:00:00/P3Y,2018-01-01t00-00-00/p3y,,7,,http://reference.data.gov.uk/id/gregorian-interval/2018-01-01T00:00:00/P3Y
2019-01-01t00-00-00/p3y,2019-01-01T00:00:00/P3Y,2019-01-01t00-00-00/p3y,,8,,http://reference.data.gov.uk/id/gregorian-interval/2019-01-01T00:00:00/P3Y
2020-01-01t00-00-00/p3y,2020-01-01T00:00:00/P3Y,2020-01-01t00-00-00/p3y,,9,,http://reference.data.gov.uk/id/gregorian-interval/2020-01-01T00:00:00/P3Y
2021-01-01t00-00-00/p3y,2021-01-01T00:00:00/P3Y,2021-01-01t00-00-00/p3y,,10,,http://reference.data.gov.uk/id/gregorian-interval/2021-01-01T00:00:00/P3Y
