Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
blaenau-gwent,Blaenau Gwent,blaenau-gwent,,0,
bridgend,Bridgend,bridgend,,1,
caerphilly,Caerphilly,caerphilly,,2,
cardiff,Cardiff,cardiff,,3,
carmarthenshire,Carmarthenshire,carmarthenshire,,4,
ceredigion,Ceredigion,ceredigion,,5,
conwy,Conwy,conwy,,6,
denbighshire,Denbighshire,denbighshire,,7,
flintshire,Flintshire,flintshire,,8,
gwynedd,Gwynedd,gwynedd,,9,
isle-of-anglesey,Isle of Anglesey,isle-of-anglesey,,10,
merthyr-tydfil,Merthyr Tydfil,merthyr-tydfil,,11,
monmouthshire,Monmouthshire,monmouthshire,,12,
neath-port-talbot,Neath Port Talbot,neath-port-talbot,,13,
newport,Newport,newport,,14,
north-wales,North Wales,north-wales,,15,
pembrokeshire,Pembrokeshire,pembrokeshire,,16,
powys,Powys,powys,,17,
rhondda-cynon-taf,Rhondda Cynon Taf,rhondda-cynon-taf,,18,
swansea,Swansea,swansea,,19,
torfaen,Torfaen,torfaen,,20,
vale-of-glamorgan,Vale of Glamorgan,vale-of-glamorgan,,21,
wales,Wales,wales,,22,
wrexham,Wrexham,wrexham,,23,
