Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
w06000001,W06000001,w06000001,,0,,http://statistics.data.gov.uk/id/statistical-geography/W06000001
w06000002,W06000002,w06000002,,1,,http://statistics.data.gov.uk/id/statistical-geography/W06000002
w06000003,W06000003,w06000003,,2,,http://statistics.data.gov.uk/id/statistical-geography/W06000003
w06000004,W06000004,w06000004,,3,,http://statistics.data.gov.uk/id/statistical-geography/W06000004
w06000005,W06000005,w06000005,,4,,http://statistics.data.gov.uk/id/statistical-geography/W06000005
w06000006,W06000006,w06000006,,5,,http://statistics.data.gov.uk/id/statistical-geography/W06000006
w06000008,W06000008,w06000008,,6,,http://statistics.data.gov.uk/id/statistical-geography/W06000008
w06000009,W06000009,w06000009,,7,,http://statistics.data.gov.uk/id/statistical-geography/W06000009
w06000010,W06000010,w06000010,,8,,http://statistics.data.gov.uk/id/statistical-geography/W06000010
w06000011,W06000011,w06000011,,9,,http://statistics.data.gov.uk/id/statistical-geography/W06000011
w06000012,W06000012,w06000012,,10,,http://statistics.data.gov.uk/id/statistical-geography/W06000012
w06000013,W06000013,w06000013,,11,,http://statistics.data.gov.uk/id/statistical-geography/W06000013
w06000014,W06000014,w06000014,,12,,http://statistics.data.gov.uk/id/statistical-geography/W06000014
w06000015,W06000015,w06000015,,13,,http://statistics.data.gov.uk/id/statistical-geography/W06000015
w06000016,W06000016,w06000016,,14,,http://statistics.data.gov.uk/id/statistical-geography/W06000016
w06000018,W06000018,w06000018,,15,,http://statistics.data.gov.uk/id/statistical-geography/W06000018
w06000019,W06000019,w06000019,,16,,http://statistics.data.gov.uk/id/statistical-geography/W06000019
w06000020,W06000020,w06000020,,17,,http://statistics.data.gov.uk/id/statistical-geography/W06000020
w06000021,W06000021,w06000021,,18,,http://statistics.data.gov.uk/id/statistical-geography/W06000021
w06000022,W06000022,w06000022,,19,,http://statistics.data.gov.uk/id/statistical-geography/W06000022
w06000023,W06000023,w06000023,,20,,http://statistics.data.gov.uk/id/statistical-geography/W06000023
w06000024,W06000024,w06000024,,21,,http://statistics.data.gov.uk/id/statistical-geography/W06000024
w15000001,W15000001,w15000001,,22,,http://statistics.data.gov.uk/id/statistical-geography/W15000001
w92000004,W92000004,w92000004,,23,,http://statistics.data.gov.uk/id/statistical-geography/W92000004
