Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2014,2014,2014,,0,,http://reference.data.gov.uk/id/year/2014
2015,2015,2015,,1,,http://reference.data.gov.uk/id/year/2015
2016,2016,2016,,2,,http://reference.data.gov.uk/id/year/2016
2017,2017,2017,,3,,http://reference.data.gov.uk/id/year/2017
2019,2019,2019,,4,,http://reference.data.gov.uk/id/year/2019
