areacd,areanm,geography,period,unit,communication_and_language,communication_measure,communication_lower_confidence_interval_95,communication_upper_confidence_interval_95,communication_observation_status,literacy,literacy_measure,literacy_lower_confidence_interval_95,literacy_upper_confidence_interval_95,literacy_observation_status,mathematics,mathematics_measure,mathematics_lower_confidence_interval_95,mathematics_upper_confidence_interval_95,mathematics_observation_status
E92000001,England,Nation,2022-09-01T00:00:00/P1Y,%,79.7,Percentage,,,,69.7,Percentage,,,,77.1,Percentage,,,
E92000001,England,Nation,2021-09-01T00:00:00/P1Y,%,79.5,Percentage,,,,68.0,Percentage,,,,75.9,Percentage,,,
K99000004,Outside of England and Unknown,Region,2021-09-01T00:00:00/P1Y,%,75.8,Percentage,,,,60.7,Percentage,,,,68.1,Percentage,,,
K99000004,Outside of England and Unknown,Region,2022-09-01T00:00:00/P1Y,%,76.0,Percentage,,,,60.9,Percentage,,,,71.2,Percentage,,,
E12000001,North East,Region,2021-09-01T00:00:00/P1Y,%,79.0,Percentage,,,,66.6,Percentage,,,,74.2,Percentage,,,
E12000001,North East,Region,2022-09-01T00:00:00/P1Y,%,78.9,Percentage,,,,68.4,Percentage,,,,75.6,Percentage,,,
E47000006,Tees Valley,Combined Authority or City Region,2022-09-01T00:00:00/P1Y,%,76.7,Percentage,,,,67.4,Percentage,,,,74.0,Percentage,,,
E47000006,Tees Valley,Combined Authority or City Region,2021-09-01T00:00:00/P1Y,%,76.3,Percentage,,,,66.2,Percentage,,,,72.9,Percentage,,,
E47000014,North East,Combined Authority or City Region,2021-09-01T00:00:00/P1Y,%,80.1,Percentage,,,,66.8,Percentage,,,,74.7,Percentage,,,
E47000014,North East,Combined Authority or City Region,2022-09-01T00:00:00/P1Y,%,79.7,Percentage,,,,68.8,Percentage,,,,76.2,Percentage,,,
E06000047,County Durham,County or Unitary Authority,2022-09-01T00:00:00/P1Y,%,77.9,Percentage,,,,68.7,Percentage,,,,75.1,Percentage,,,
E06000047,County Durham,County or Unitary Authority,2021-09-01T00:00:00/P1Y,%,79.1,Percentage,,,,67.2,Percentage,,,,74.8,Percentage,,,
