Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
n09000001,N09000001,n09000001,,0,,http://statistics.data.gov.uk/id/statistical-geography/N09000001
n09000002,N09000002,n09000002,,1,,http://statistics.data.gov.uk/id/statistical-geography/N09000002
n09000003,N09000003,n09000003,,2,,http://statistics.data.gov.uk/id/statistical-geography/N09000003
n09000004,N09000004,n09000004,,3,,http://statistics.data.gov.uk/id/statistical-geography/N09000004
n09000005,N09000005,n09000005,,4,,http://statistics.data.gov.uk/id/statistical-geography/N09000005
n09000006,N09000006,n09000006,,5,,http://statistics.data.gov.uk/id/statistical-geography/N09000006
n09000007,N09000007,n09000007,,6,,http://statistics.data.gov.uk/id/statistical-geography/N09000007
n09000008,N09000008,n09000008,,7,,http://statistics.data.gov.uk/id/statistical-geography/N09000008
n09000009,N09000009,n09000009,,8,,http://statistics.data.gov.uk/id/statistical-geography/N09000009
n09000010,N09000010,n09000010,,9,,http://statistics.data.gov.uk/id/statistical-geography/N09000010
n09000011,N09000011,n09000011,,10,,http://statistics.data.gov.uk/id/statistical-geography/N09000011
n92000002,N92000002,n92000002,,11,,http://statistics.data.gov.uk/id/statistical-geography/N92000002
