Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
aberdeen-city,Aberdeen City,aberdeen-city,,0,
aberdeenshire,Aberdeenshire,aberdeenshire,,1,
angus,Angus,angus,,2,
argyll-and-bute,Argyll and Bute,argyll-and-bute,,3,
city-of-edinburgh,City of Edinburgh,city-of-edinburgh,,4,
clackmannanshire,Clackmannanshire,clackmannanshire,,5,
dumfries-and-galloway,Dumfries and Galloway,dumfries-and-galloway,,6,
dundee-city,Dundee City,dundee-city,,7,
east-ayrshire,East Ayrshire,east-ayrshire,,8,
east-dunbartonshire,East Dunbartonshire,east-dunbartonshire,,9,
east-lothian,East Lothian,east-lothian,,10,
east-renfrewshire,East Renfrewshire,east-renfrewshire,,11,
falkirk,Falkirk,falkirk,,12,
fife,Fife,fife,,13,
glasgow-city,Glasgow City,glasgow-city,,14,
highland,Highland,highland,,15,
inverclyde,Inverclyde,inverclyde,,16,
midlothian,Midlothian,midlothian,,17,
moray,Moray,moray,,18,
na-h-eileanan-siar,Na h-Eileanan Siar,na-h-eileanan-siar,,19,
north-ayrshire,North Ayrshire,north-ayrshire,,20,
north-lanarkshire,North Lanarkshire,north-lanarkshire,,21,
orkney-islands,Orkney Islands,orkney-islands,,22,
perth-and-kinross,Perth and Kinross,perth-and-kinross,,23,
renfrewshire,Renfrewshire,renfrewshire,,24,
scotland,Scotland,scotland,,25,
scottish-borders,Scottish Borders,scottish-borders,,26,
shetland-islands,Shetland Islands,shetland-islands,,27,
south-ayrshire,South Ayrshire,south-ayrshire,,28,
south-lanarkshire,South Lanarkshire,south-lanarkshire,,29,
stirling,Stirling,stirling,,30,
west-dunbartonshire,West Dunbartonshire,west-dunbartonshire,,31,
west-lothian,West Lothian,west-lothian,,32,
