AREACD,AREANM,Geography,Indicator,Observation,Unit,Measure,Period,Lower_confidence_interval_95,Upper_confidence_interval_95,Observation_status
s92000003,scotland,nation,apprenticeships-starts-scotland,572.5386601,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,569.0671532,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,578.783152,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,585.0583555,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,602.237497,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,603.5057777,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,613.7295314,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,410.0705682,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,556.0179127,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,557.0248346,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,555.2298868,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,389.4137913,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,362.2696664,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,370.0997025,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,244.2166699,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,421.7400529,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,446.8216123,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,344.8187128,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,336.8208001,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,470.8073835,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,470.7665812,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,388.1137568,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,382.8274542,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,513.7498132,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,539.9043491,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,466.1111941,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,542.8994222,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,508.2025678,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,465.4505148,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,473.9380927,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,591.4255101,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,600.0248023,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,492.8519985,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000041,angus,local-authority-district,apprenticeships-starts-scotland,664.7449247,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
