Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
barking-and-dagenham,Barking and Dagenham,barking-and-dagenham,,0,
barnet,Barnet,barnet,,1,
barnsley,Barnsley,barnsley,,2,
bath-and-north-east-somerset,Bath and North East Somerset,bath-and-north-east-somerset,,3,
bedford,Bedford,bedford,,4,
bexley,Bexley,bexley,,5,
birmingham,Birmingham,birmingham,,6,
blackburn-with-darwen,Blackburn with Darwen,blackburn-with-darwen,,7,
blackpool,Blackpool,blackpool,,8,
bolton,Bolton,bolton,,9,
bournemouth,Bournemouth,bournemouth,,10,
bournemouth-christchurch-and-poole,"Bournemouth, Christchurch and Poole",bournemouth-christchurch-and-poole,,11,
bracknell-forest,Bracknell Forest,bracknell-forest,,12,
bradford,Bradford ,bradford,,13,
brent,Brent ,brent,,14,
brighton-and-hove,Brighton and Hove,brighton-and-hove,,15,
bristol-city-of,"Bristol, City of",bristol-city-of,,16,
bromley,Bromley,bromley,,17,
buckinghamshire,Buckinghamshire,buckinghamshire,,18,
bury,Bury,bury,,19,
calderdale,Calderdale,calderdale,,20,
cambridgeshire,Cambridgeshire,cambridgeshire,,21,
camden,Camden,camden,,22,
central-bedfordshire,Central Bedfordshire,central-bedfordshire,,23,
cheshire-east,Cheshire East,cheshire-east,,24,
cheshire-west-and-chester,Cheshire West and Chester,cheshire-west-and-chester,,25,
city-of-london,City of London,city-of-london,,26,
cornwall,Cornwall,cornwall,,27,
county-durham,County Durham,county-durham,,28,
coventry,Coventry,coventry,,29,
croydon,Croydon,croydon,,30,
cumberland,Cumberland,cumberland,,31,
cumbria,Cumbria ,cumbria,,32,
darlington,Darlington,darlington,,33,
derby,Derby ,derby,,34,
derbyshire,Derbyshire,derbyshire,,35,
devon,Devon,devon,,36,
doncaster,Doncaster,doncaster,,37,
dorset,Dorset,dorset,,38,
dudley,Dudley ,dudley,,39,
ealing,Ealing,ealing,,40,
east-midlands,East Midlands,east-midlands,,41,
east-riding-of-yorkshire,East Riding of Yorkshire,east-riding-of-yorkshire,,42,
east-sussex,East Sussex,east-sussex,,43,
east-of-england,East of England,east-of-england,,44,
enfield,Enfield,enfield,,45,
england,England,england,,46,
essex,Essex,essex,,47,
gateshead,Gateshead,gateshead,,48,
gloucestershire,Gloucestershire,gloucestershire,,49,
greenwich,Greenwich,greenwich,,50,
hackney,Hackney,hackney,,51,
halton,Halton,halton,,52,
hammersmith-and-fulham,Hammersmith and Fulham ,hammersmith-and-fulham,,53,
hampshire,Hampshire,hampshire,,54,
haringey,Haringey,haringey,,55,
harrow,Harrow,harrow,,56,
hartlepool,Hartlepool,hartlepool,,57,
havering,Havering,havering,,58,
herefordshire-county-of,"Herefordshire, County of",herefordshire-county-of,,59,
hertfordshire,Hertfordshire ,hertfordshire,,60,
hillingdon,Hillingdon,hillingdon,,61,
hounslow,Hounslow,hounslow,,62,
isle-of-wight,Isle of Wight,isle-of-wight,,63,
isles-of-scilly,Isles of Scilly,isles-of-scilly,,64,
islington,Islington,islington,,65,
kensington-and-chelsea,Kensington and Chelsea,kensington-and-chelsea,,66,
kent,Kent,kent,,67,
kingston-upon-hull-city-of,"Kingston upon Hull, City of",kingston-upon-hull-city-of,,68,
kingston-upon-thames,Kingston upon Thames,kingston-upon-thames,,69,
kirklees,Kirklees ,kirklees,,70,
knowsley,Knowsley ,knowsley,,71,
lambeth,Lambeth ,lambeth,,72,
lancashire,Lancashire,lancashire,,73,
leeds,Leeds ,leeds,,74,
leicester,Leicester,leicester,,75,
leicestershire,Leicestershire,leicestershire,,76,
lewisham,Lewisham ,lewisham,,77,
lincolnshire,Lincolnshire ,lincolnshire,,78,
liverpool,Liverpool,liverpool,,79,
london,London,london,,80,
luton,Luton,luton,,81,
manchester,Manchester,manchester,,82,
medway,Medway,medway,,83,
merton,Merton,merton,,84,
middlesbrough,Middlesbrough,middlesbrough,,85,
milton-keynes,Milton Keynes,milton-keynes,,86,
newcastle-upon-tyne,Newcastle upon Tyne,newcastle-upon-tyne,,87,
newham,Newham ,newham,,88,
norfolk,Norfolk ,norfolk,,89,
north-east,North East,north-east,,90,
north-east-lincolnshire,North East Lincolnshire,north-east-lincolnshire,,91,
north-lincolnshire,North Lincolnshire,north-lincolnshire,,92,
north-northamptonshire,North Northamptonshire,north-northamptonshire,,93,
north-somerset,North Somerset,north-somerset,,94,
north-tyneside,North Tyneside,north-tyneside,,95,
north-west,North West ,north-west,,96,
north-yorkshire,North Yorkshire,north-yorkshire,,97,
northamptonshire,Northamptonshire ,northamptonshire,,98,
northumberland,Northumberland,northumberland,,99,
nottingham,Nottingham,nottingham,,100,
nottinghamshire,Nottinghamshire,nottinghamshire,,101,
oldham,Oldham ,oldham,,102,
oxfordshire,Oxfordshire ,oxfordshire,,103,
peterborough,Peterborough,peterborough,,104,
plymouth,Plymouth,plymouth,,105,
poole,Poole,poole,,106,
portsmouth,Portsmouth,portsmouth,,107,
reading,Reading,reading,,108,
redbridge,Redbridge,redbridge,,109,
redcar-and-cleveland,Redcar and Cleveland,redcar-and-cleveland,,110,
richmond-upon-thames,Richmond upon Thames,richmond-upon-thames,,111,
rochdale,Rochdale,rochdale,,112,
rotherham,Rotherham ,rotherham,,113,
rutland,Rutland ,rutland,,114,
salford,Salford,salford,,115,
sandwell,Sandwell ,sandwell,,116,
sefton,Sefton,sefton,,117,
sheffield,Sheffield,sheffield,,118,
shropshire,Shropshire,shropshire,,119,
slough,Slough,slough,,120,
solihull,Solihull,solihull,,121,
somerset,Somerset ,somerset,,122,
south-east,South East,south-east,,123,
south-gloucestershire,South Gloucestershire,south-gloucestershire,,124,
south-tyneside,South Tyneside,south-tyneside,,125,
south-west,South West,south-west,,126,
southampton,Southampton,southampton,,127,
southend-on-sea,Southend-on-Sea,southend-on-sea,,128,
southwark,Southwark,southwark,,129,
st-helens,St. Helens,st-helens,,130,
staffordshire,Staffordshire,staffordshire,,131,
stockport,Stockport,stockport,,132,
stockton-on-tees,Stockton-on-Tees,stockton-on-tees,,133,
stoke-on-trent,Stoke-on-Trent,stoke-on-trent,,134,
suffolk,Suffolk,suffolk,,135,
sunderland,Sunderland,sunderland,,136,
surrey,Surrey,surrey,,137,
sutton,Sutton,sutton,,138,
swindon,Swindon,swindon,,139,
tameside,Tameside,tameside,,140,
telford-and-wrekin,Telford and Wrekin,telford-and-wrekin,,141,
thurrock,Thurrock,thurrock,,142,
torbay,Torbay,torbay,,143,
tower-hamlets,Tower Hamlets,tower-hamlets,,144,
trafford,Trafford,trafford,,145,
wakefield,Wakefield,wakefield,,146,
walsall,Walsall,walsall,,147,
waltham-forest,Waltham Forest,waltham-forest,,148,
wandsworth,Wandsworth,wandsworth,,149,
warrington,Warrington,warrington,,150,
warwickshire,Warwickshire,warwickshire,,151,
west-berkshire,West Berkshire,west-berkshire,,152,
west-midlands,West Midlands,west-midlands,,153,
west-northamptonshire,West Northamptonshire,west-northamptonshire,,154,
west-sussex,West Sussex,west-sussex,,155,
westminster,Westminster,westminster,,156,
westmorland-and-furness,Westmorland and Furness,westmorland-and-furness,,157,
wigan,Wigan,wigan,,158,
wiltshire,Wiltshire,wiltshire,,159,
windsor-and-maidenhead,Windsor and Maidenhead,windsor-and-maidenhead,,160,
wirral,Wirral,wirral,,161,
wokingham,Wokingham,wokingham,,162,
wolverhampton,Wolverhampton,wolverhampton,,163,
worcestershire,Worcestershire,worcestershire,,164,
york,York,york,,165,
yorkshire-and-the-humber,Yorkshire and The Humber,yorkshire-and-the-humber,,166,
