Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2004,2004,2004,,0,,http://reference.data.gov.uk/id/year/2004
2005,2005,2005,,1,,http://reference.data.gov.uk/id/year/2005
2006,2006,2006,,2,,http://reference.data.gov.uk/id/year/2006
2007,2007,2007,,3,,http://reference.data.gov.uk/id/year/2007
2008,2008,2008,,4,,http://reference.data.gov.uk/id/year/2008
2009,2009,2009,,5,,http://reference.data.gov.uk/id/year/2009
2010,2010,2010,,6,,http://reference.data.gov.uk/id/year/2010
2011,2011,2011,,7,,http://reference.data.gov.uk/id/year/2011
2012,2012,2012,,8,,http://reference.data.gov.uk/id/year/2012
2013,2013,2013,,9,,http://reference.data.gov.uk/id/year/2013
2014,2014,2014,,10,,http://reference.data.gov.uk/id/year/2014
2015,2015,2015,,11,,http://reference.data.gov.uk/id/year/2015
2016,2016,2016,,12,,http://reference.data.gov.uk/id/year/2016
2017,2017,2017,,13,,http://reference.data.gov.uk/id/year/2017
2018,2018,2018,,14,,http://reference.data.gov.uk/id/year/2018
2019,2019,2019,,15,,http://reference.data.gov.uk/id/year/2019
2020,2020,2020,,16,,http://reference.data.gov.uk/id/year/2020
2021,2021,2021,,17,,http://reference.data.gov.uk/id/year/2021
2022,2022,2022,,18,,http://reference.data.gov.uk/id/year/2022
2023,2023,2023,,19,,http://reference.data.gov.uk/id/year/2023
