Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
chorley-and-west-lancashire,Chorley and West Lancashire,chorley-and-west-lancashire,,43,
city-of-edinburgh,City of Edinburgh,city-of-edinburgh,,44,
clackmannanshire-and-fife,Clackmannanshire and Fife,clackmannanshire-and-fife,,45,
conwy-and-denbighshire,Conwy and Denbighshire,conwy-and-denbighshire,,46,
cornwall-and-isles-of-scilly,Cornwall and Isles of Scilly,cornwall-and-isles-of-scilly,,47,
coventry,Coventry,coventry,,48,
croydon,Croydon,croydon,,49,
cumbria,Cumbria,cumbria,,50,
darlington,Darlington,darlington,,51,
derby,Derby,derby,,52,
derbyshire-and-nottinghamshire,Derbyshire and Nottinghamshire,derbyshire-and-nottinghamshire,,53,
derry-city-and-strabane,Derry City and Strabane,derry-city-and-strabane,,54,
devon,Devon,devon,,55,
devon-cc,Devon CC,devon-cc,,56,
dorset,Dorset,dorset,,57,
dorset-and-somerset,Dorset and Somerset,dorset-and-somerset,,58,
dudley,Dudley,dudley,,59,
dumfries-and-galloway,Dumfries and Galloway,dumfries-and-galloway,,60,
durham,Durham,durham,,61,
ealing,Ealing,ealing,,62,
east-anglia,East Anglia,east-anglia,,63,
east-ayrshire-and-north-ayrshire-mainland,East Ayrshire and North Ayrshire mainland,east-ayrshire-and-north-ayrshire-mainland,,64,
east-cumbria,East Cumbria,east-cumbria,,65,
east-derbyshire,East Derbyshire,east-derbyshire,,66,
east-dunbartonshire-west-dunbartonshire-and-helensburgh-and-lomond,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",east-dunbartonshire-west-dunbartonshire-and-helensburgh-and-lomond,,67,
east-kent,East Kent,east-kent,,68,
east-lancashire,East Lancashire,east-lancashire,,69,
east-lothian-and-midlothian,East Lothian and Midlothian,east-lothian-and-midlothian,,70,
east-merseyside,East Merseyside,east-merseyside,,71,
east-midlands,East Midlands,east-midlands,,72,
east-riding-of-yorkshire,East Riding of Yorkshire,east-riding-of-yorkshire,,73,
east-surrey,East Surrey,east-surrey,,74,
east-sussex-cc,East Sussex CC,east-sussex-cc,,75,
east-wales,East Wales,east-wales,,76,
east-yorkshire-and-northern-lincolnshire,East Yorkshire and Northern Lincolnshire,east-yorkshire-and-northern-lincolnshire,,77,
east-of-england,East of England,east-of-england,,78,
eastern-scotland,Eastern Scotland,eastern-scotland,,79,
edinburgh-and-south-east-scotland-city-region,Edinburgh and South East Scotland City Region,edinburgh-and-south-east-scotland-city-region,,80,
enfield,Enfield,enfield,,81,
england,England,england,,82,
essex,Essex,essex,,83,
essex-haven-gateway,Essex Haven Gateway,essex-haven-gateway,,84,
essex-thames-gateway,Essex Thames Gateway,essex-thames-gateway,,85,
falkirk,Falkirk,falkirk,,86,
fermanagh-and-omagh,Fermanagh and Omagh,fermanagh-and-omagh,,87,
flintshire-and-wrexham,Flintshire and Wrexham,flintshire-and-wrexham,,88,
glasgow-city,Glasgow City,glasgow-city,,89,
glasgow-city-region,Glasgow City Region,glasgow-city-region,,90,
gloucestershire-cc,Gloucestershire CC,gloucestershire-cc,,91,
gloucestershire-wiltshire-and-bath/bristol-area,"Gloucestershire, Wiltshire and Bath/Bristol area",gloucestershire-wiltshire-and-bath/bristol-area,,92,
greater-manchester,Greater Manchester,greater-manchester,,93,
greater-manchester-north-east,Greater Manchester North East,greater-manchester-north-east,,94,
greater-manchester-north-west,Greater Manchester North West,greater-manchester-north-west,,95,
greater-manchester-south-east,Greater Manchester South East,greater-manchester-south-east,,96,
greater-manchester-south-west,Greater Manchester South West,greater-manchester-south-west,,97,
gwent-valleys,Gwent Valleys,gwent-valleys,,98,
gwynedd,Gwynedd,gwynedd,,99,
hackney-and-newham,Hackney and Newham,hackney-and-newham,,100,
hampshire-and-isle-of-wight,Hampshire and Isle of Wight,hampshire-and-isle-of-wight,,101,
haringey-and-islington,Haringey and Islington,haringey-and-islington,,102,
harrow-and-hillingdon,Harrow and Hillingdon,harrow-and-hillingdon,,103,
hartlepool-and-stockton-on-tees,Hartlepool and Stockton-on-Tees,hartlepool-and-stockton-on-tees,,104,
heart-of-essex,Heart of Essex,heart-of-essex,,105,
herefordshire-county-of,"Herefordshire, County of",herefordshire-county-of,,106,
herefordshire-worcestershire-and-warwickshire,"Herefordshire, Worcestershire and Warwickshire",herefordshire-worcestershire-and-warwickshire,,107,
hertfordshire-cc,Hertfordshire CC,hertfordshire-cc,,108,
highlands-and-islands,Highlands and Islands,highlands-and-islands,,109,
hounslow-and-richmond-upon-thames,Hounslow and Richmond upon Thames,hounslow-and-richmond-upon-thames,,110,
inner-london,Inner London,inner-london,,111,
inner-london-east,Inner London - East,inner-london-east,,112,
inner-london-west,Inner London - West,inner-london-west,,113,
inverclyde-east-renfrewshire-and-renfrewshire,"Inverclyde, East Renfrewshire, and Renfrewshire",inverclyde-east-renfrewshire-and-renfrewshire,,114,
inverness-and-nairn-moray-and-badenoch-and-strathspey,"Inverness and Nairn, Moray, and Badenoch and Strathspey",inverness-and-nairn-moray-and-badenoch-and-strathspey,,115,
isle-of-anglesey,Isle of Anglesey,isle-of-anglesey,,116,
isle-of-wight,Isle of Wight,isle-of-wight,,117,
kensington-chelsea-and-hammersmith-fulham,Kensington & Chelsea and Hammersmith & Fulham,kensington-chelsea-and-hammersmith-fulham,,118,
kent,Kent,kent,,119,
kent-thames-gateway,Kent Thames Gateway,kent-thames-gateway,,120,
kingston-upon-hull-city-of,"Kingston upon Hull, City of",kingston-upon-hull-city-of,,121,
lambeth,Lambeth,lambeth,,122,
lancashire,Lancashire,lancashire,,123,
lancaster-and-wyre,Lancaster and Wyre,lancaster-and-wyre,,124,
leeds,Leeds,leeds,,125,
leicester,Leicester,leicester,,126,
leicestershire-cc-and-rutland,Leicestershire CC and Rutland,leicestershire-cc-and-rutland,,127,
leicestershire-rutland-and-northamptonshire,"Leicestershire, Rutland and Northamptonshire",leicestershire-rutland-and-northamptonshire,,128,
lewisham-and-southwark,Lewisham and Southwark,lewisham-and-southwark,,129,
lincolnshire,Lincolnshire,lincolnshire,,130,
lincolnshire-cc,Lincolnshire CC,lincolnshire-cc,,131,
lisburn-and-castlereagh,Lisburn and Castlereagh,lisburn-and-castlereagh,,132,
liverpool,Liverpool,liverpool,,133,
liverpool-city-region,Liverpool City Region,liverpool-city-region,,134,
lochaber-skye-and-lochalsh-arran-and-cumbrae-and-argyll-and-bute,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",lochaber-skye-and-lochalsh-arran-and-cumbrae-and-argyll-and-bute,,135,
london,London,london,,136,
luton,Luton,luton,,137,
manchester,Manchester,manchester,,138,
medway,Medway,medway,,139,
merseyside,Merseyside,merseyside,,140,
merton-kingston-upon-thames-and-sutton,"Merton, Kingston upon Thames and Sutton",merton-kingston-upon-thames-and-sutton,,141,
mid-kent,Mid Kent,mid-kent,,142,
mid-lancashire,Mid Lancashire,mid-lancashire,,143,
mid-ulster,Mid Ulster,mid-ulster,,144,
mid-and-east-antrim,Mid and East Antrim,mid-and-east-antrim,,145,
milton-keynes,Milton Keynes,milton-keynes,,146,
monmouthshire-and-newport,Monmouthshire and Newport,monmouthshire-and-newport,,147,
na-h-eileanan-siar,Na h-Eileanan Siar,na-h-eileanan-siar,,148,
newry-mourne-and-down,"Newry, Mourne and Down",newry-mourne-and-down,,149,
north-east,North East,north-east,,150,
north-eastern-scotland,North Eastern Scotland,north-eastern-scotland,,151,
north-hampshire,North Hampshire,north-hampshire,,152,
north-lanarkshire,North Lanarkshire,north-lanarkshire,,153,
north-northamptonshire,North Northamptonshire,north-northamptonshire,,154,
north-nottinghamshire,North Nottinghamshire,north-nottinghamshire,,155,
north-west,North West,north-west,,156,
north-yorkshire,North Yorkshire,north-yorkshire,,157,
north-yorkshire-cc,North Yorkshire CC,north-yorkshire-cc,,158,
north-and-north-east-lincolnshire,North and North East Lincolnshire,north-and-north-east-lincolnshire,,159,
north-and-west-norfolk,North and West Norfolk,north-and-west-norfolk,,160,
north-of-tyne,North of Tyne,north-of-tyne,,161,
northern-ireland,Northern Ireland,northern-ireland,,162,
northumberland,Northumberland,northumberland,,163,
northumberland-and-tyne-and-wear,"Northumberland, and Tyne and Wear",northumberland-and-tyne-and-wear,,164,
norwich-and-east-norfolk,Norwich and East Norfolk,norwich-and-east-norfolk,,165,
nottingham,Nottingham,nottingham,,166,
orkney-islands,Orkney Islands,orkney-islands,,167,
outer-london,Outer London,outer-london,,168,
outer-london-east-and-north-east,Outer London - East and North East,outer-london-east-and-north-east,,169,
outer-london-south,Outer London - South,outer-london-south,,170,
outer-london-west-and-north-west,Outer London - West and North West,outer-london-west-and-north-west,,171,
oxfordshire-cc,Oxfordshire CC,oxfordshire-cc,,172,
perth-and-kinross-and-stirling,"Perth and Kinross, and Stirling",perth-and-kinross-and-stirling,,173,
peterborough,Peterborough,peterborough,,174,
plymouth,Plymouth,plymouth,,175,
portsmouth,Portsmouth,portsmouth,,176,
powys,Powys,powys,,177,
redbridge-and-waltham-forest,Redbridge and Waltham Forest,redbridge-and-waltham-forest,,178,
sandwell,Sandwell,sandwell,,179,
scotland,Scotland,scotland,,180,
scottish-borders,Scottish Borders,scottish-borders,,181,
sefton,Sefton,sefton,,182,
sheffield,Sheffield,sheffield,,183,
shetland-islands,Shetland Islands,shetland-islands,,184,
shropshire,Shropshire,shropshire,,185,
shropshire-and-staffordshire,Shropshire and Staffordshire,shropshire-and-staffordshire,,186,
solihull,Solihull,solihull,,187,
somerset-cc,Somerset CC,somerset-cc,,188,
south-ayrshire,South Ayrshire,south-ayrshire,,189,
south-east-england,South East (England),south-east-england,,190,
south-hampshire,South Hampshire,south-hampshire,,191,
south-lanarkshire,South Lanarkshire,south-lanarkshire,,192,
south-nottinghamshire,South Nottinghamshire,south-nottinghamshire,,193,
south-teesside,South Teesside,south-teesside,,194,
south-west-england,South West (England),south-west-england,,195,
south-west-wales,South West Wales,south-west-wales,,196,
south-yorkshire,South Yorkshire,south-yorkshire,,197,
south-and-west-derbyshire,South and West Derbyshire,south-and-west-derbyshire,,198,
southampton,Southampton,southampton,,199,
southend-on-sea,Southend-on-Sea,southend-on-sea,,200,
southern-scotland,Southern Scotland,southern-scotland,,201,
staffordshire-cc,Staffordshire CC,staffordshire-cc,,202,
stoke-on-trent,Stoke-on-Trent,stoke-on-trent,,203,
suffolk-cc,Suffolk CC,suffolk-cc,,204,
sunderland,Sunderland,sunderland,,205,
surrey-east-and-west-sussex,"Surrey, East and West Sussex",surrey-east-and-west-sussex,,206,
swansea,Swansea,swansea,,207,
swansea-bay-city-region,Swansea Bay City Region,swansea-bay-city-region,,208,
swindon,Swindon,swindon,,209,
tees-valley,Tees Valley,tees-valley,,210,
tees-valley-and-durham,Tees Valley and Durham,tees-valley-and-durham,,211,
telford-and-wrekin,Telford and Wrekin,telford-and-wrekin,,212,
thurrock,Thurrock,thurrock,,213,
torbay,Torbay,torbay,,214,
tower-hamlets,Tower Hamlets,tower-hamlets,,215,
tyneside,Tyneside,tyneside,,216,
united-kingdom,United Kingdom,united-kingdom,,217,
wakefield,Wakefield,wakefield,,218,
wales,Wales,wales,,219,
walsall,Walsall,walsall,,220,
wandsworth,Wandsworth,wandsworth,,221,
warrington,Warrington,warrington,,222,
warwickshire-cc,Warwickshire CC,warwickshire-cc,,223,
west-central-scotland,West Central Scotland,west-central-scotland,,224,
west-cumbria,West Cumbria,west-cumbria,,225,
west-essex,West Essex,west-essex,,226,
west-kent,West Kent,west-kent,,227,
west-lothian,West Lothian,west-lothian,,228,
west-midlands,West Midlands,west-midlands,,229,
west-northamptonshire,West Northamptonshire,west-northamptonshire,,230,
west-surrey,West Surrey,west-surrey,,231,
west-sussex-north-east,West Sussex (North East),west-sussex-north-east,,232,
west-sussex-south-west,West Sussex (South West),west-sussex-south-west,,233,
west-wales-and-the-valleys,West Wales and The Valleys,west-wales-and-the-valleys,,234,
west-yorkshire,West Yorkshire,west-yorkshire,,235,
west-of-england,West of England,west-of-england,,236,
westminster,Westminster,westminster,,237,
wiltshire,Wiltshire,wiltshire,,238,
wirral,Wirral,wirral,,239,
wolverhampton,Wolverhampton,wolverhampton,,240,
worcestershire-cc,Worcestershire CC,worcestershire-cc,,241,
york,York,york,,242,
yorkshire-and-the-humber,Yorkshire and The Humber,yorkshire-and-the-humber,,243,
