Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
aberdeen-city-region,Aberdeen City Region,aberdeen-city-region,,0,
aberdeen-city-and-aberdeenshire,Aberdeen City and Aberdeenshire,aberdeen-city-and-aberdeenshire,,1,
angus-and-dundee-city,Angus and Dundee City,angus-and-dundee-city,,2,
antrim-and-newtownabbey,Antrim and Newtownabbey,antrim-and-newtownabbey,,3,
ards-and-north-down,Ards and North Down,ards-and-north-down,,4,
armagh-city-banbridge-and-craigavon,"Armagh City, Banbridge and Craigavon",armagh-city-banbridge-and-craigavon,,5,
barking-dagenham-and-havering,Barking & Dagenham and Havering,barking-dagenham-and-havering,,6,
barnet,Barnet,barnet,,7,
barnsley-doncaster-and-rotherham,"Barnsley, Doncaster and Rotherham",barnsley-doncaster-and-rotherham,,8,
bath-and-north-east-somerset-north-somerset-and-south-gloucestershire,"Bath and North East Somerset, North Somerset and South Gloucestershire",bath-and-north-east-somerset-north-somerset-and-south-gloucestershire,,9,
bedford,Bedford,bedford,,10,
bedfordshire-and-hertfordshire,Bedfordshire and Hertfordshire,bedfordshire-and-hertfordshire,,11,
belfast,Belfast,belfast,,12,
belfast-city-region,Belfast City Region,belfast-city-region,,13,
berkshire,Berkshire,berkshire,,14,
berkshire-buckinghamshire-and-oxfordshire,"Berkshire, Buckinghamshire and Oxfordshire",berkshire-buckinghamshire-and-oxfordshire,,15,
bexley-and-greenwich,Bexley and Greenwich,bexley-and-greenwich,,16,
birmingham,Birmingham,birmingham,,17,
blackburn-with-darwen,Blackburn with Darwen,blackburn-with-darwen,,18,
blackpool,Blackpool,blackpool,,19,
bournemouth-christchurch-and-poole,"Bournemouth, Christchurch and Poole",bournemouth-christchurch-and-poole,,20,
bradford,Bradford,bradford,,21,
breckland-and-south-norfolk,Breckland and South Norfolk,breckland-and-south-norfolk,,22,
brent,Brent,brent,,23,
bridgend-and-neath-port-talbot,Bridgend and Neath Port Talbot,bridgend-and-neath-port-talbot,,24,
brighton-and-hove,Brighton and Hove,brighton-and-hove,,25,
bristol-city-of,"Bristol, City of",bristol-city-of,,26,
bromley,Bromley,bromley,,27,
buckinghamshire,Buckinghamshire,buckinghamshire,,28,
caithness-and-sutherland-and-ross-and-cromarty,"Caithness and Sutherland, and Ross and Cromarty",caithness-and-sutherland-and-ross-and-cromarty,,29,
calderdale-and-kirklees,Calderdale and Kirklees,calderdale-and-kirklees,,30,
cambridgeshire-cc,Cambridgeshire CC,cambridgeshire-cc,,31,
cambridgeshire-and-peterborough,Cambridgeshire and Peterborough,cambridgeshire-and-peterborough,,32,
camden-and-city-of-london,Camden and City of London,camden-and-city-of-london,,33,
cardiff-capital-region,Cardiff Capital Region,cardiff-capital-region,,34,
cardiff-and-vale-of-glamorgan,Cardiff and Vale of Glamorgan,cardiff-and-vale-of-glamorgan,,35,
causeway-coast-and-glens,Causeway Coast and Glens,causeway-coast-and-glens,,36,
central-bedfordshire,Central Bedfordshire,central-bedfordshire,,37,
central-hampshire,Central Hampshire,central-hampshire,,38,
central-valleys,Central Valleys,central-valleys,,39,
cheshire,Cheshire,cheshire,,40,
cheshire-east,Cheshire East,cheshire-east,,41,
cheshire-west-and-chester,Cheshire West and Chester,cheshire-west-and-chester,,42,
