AREACD,AREANM,Geography,Period,Unit,Employment_Rate,Employment_Rate_Lower_Confidence_Interval,Employment_Rate_Upper_Confidence_Interval,Employment_Rate_Numerator,Employment_Rate_Total,Economic_Inactivity_Rate,Economic_Inactivity_Rate_Lower_Confidence_Interval,Economic_Inactivity_Rate_Upper_Confidence_Interval,Economic_Inactivity_Numerator,Economic_Inactivity_Total
N92000002,Northern Ireland,Nation,2022,%,71.9,70.9,73,841000,1169000,26.3,25.3,27.4,308000,1169000
N09000001,Antrim and Newtownabbey,Local Authority District,2022,%,74.8,71.1,78.5,69000,92000,23.6,20,27.1,22000,92000
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,2022,%,75.2,72.1,78.4,102000,136000,22.6,19.6,25.7,31000,136000
N09000003,Belfast,Local Authority District,2022,%,65.5,62.9,68.2,144000,220000,32.1,29.5,34.8,71000,220000
N09000004,Causeway Coast and Glens,Local Authority District,2022,%,67.6,63,72.1,53000,78000,30.1,25.6,34.5,24000,78000
N09000005,Derry City and Strabane,Local Authority District,2022,%,67.6,63.4,71.9,59000,88000,30.6,26.4,34.8,27000,88000
N09000006,Fermanagh and Omagh,Local Authority District,2022,%,73.3,69.1,77.6,50000,68000,25.2,21,29.3,17000,68000
N09000007,Lisburn and Castlereagh,Local Authority District,2022,%,75,71.5,78.5,74000,98000,23.4,20,26.7,23000,98000
N09000008,Mid and East Antrim,Local Authority District,2022,%,76.9,73.2,80.5,67000,87000,22.1,18.5,25.6,19000,87000
N09000009,Mid Ulster,Local Authority District,2022,%,73.8,70.1,77.5,68000,92000,25.1,21.5,28.8,23000,92000
N09000010,"Newry, Mourne and Down",Local Authority District,2022,%,74.9,71.5,78.3,82000,110000,24.6,21.2,27.9,27000,110000
N09000011,Ards and North Down,Local Authority District,2022,%,72.8,69.3,76.3,73000,100000,25.2,21.7,28.6,25000,100000
